F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-91,-524,118,-198,130,931,91,-422
-89,-522,119,-199,128,931,96,-419
-86,-516,118,-200,126,931,98,-415
-85,-506,115,-199,124,931,97,-406
-83,-492,111,-197,121,931,96,-395
-83,-475,104,-193,119,931,92,-383
-80,-456,97,-189,116,932,89,-369
-77,-433,87,-184,114,933,84,-351
-74,-407,77,-179,112,935,83,-332
-71,-377,65,-173,109,937,78,-310
-68,-344,52,-167,105,937,70,-284
-64,-309,37,-159,101,937,64,-258
-61,-271,21,-152,97,937,57,-231
-57,-232,3,-144,94,938,51,-205
-55,-191,-14,-137,91,938,40,-173
-54,-148,-32,-128,87,938,31,-142
-52,-104,-53,-121,84,939,19,-111
-51,-60,-75,-114,83,938,8,-81
-48,-16,-97,-108,81,938,1,-51
-47,26,-119,-102,80,939,-9,-23
-47,69,-142,-97,78,940,-20,7
-48,112,-165,-93,75,943,-31,35
-50,154,-188,-90,73,943,-42,65
-53,194,-210,-89,72,945,-52,93
-57,232,-233,-90,71,946,-63,119
-61,267,-257,-92,71,947,-73,141
-66,300,-281,-97,70,949,-84,162
-72,331,-303,-102,71,949,-92,180
-80,361,-324,-110,72,950,-101,200
-91,387,-343,-119,73,953,-112,217
-103,409,-363,-131,74,957,-122,229
-116,427,-382,-147,76,961,-128,239
-130,441,-400,-166,78,964,-135,249
-144,452,-417,-187,80,966,-139,252
-160,462,-432,-211,83,969,-142,260
-178,467,-445,-237,86,973,-146,260
-199,469,-458,-266,90,977,-150,262
-221,466,-468,-298,94,982,-152,258
-245,461,-478,-334,99,986,-152,253
-270,453,-486,-373,102,991,-152,249
-296,443,-492,-413,106,996,-151,240
-324,430,-496,-455,110,1001,-150,235
-353,415,-497,-498,114,1008,-150,224
-383,397,-498,-546,120,1016,-145,216
-416,378,-497,-596,126,1024,-141,205
-450,356,-496,-648,131,1032,-139,192
-486,332,-493,-702,137,1040,-135,180
-522,307,-487,-756,142,1048,-130,168
-559,281,-479,-812,146,1057,-124,155
-595,255,-471,-868,149,1066,-119,144
-631,229,-463,-924,153,1076,-113,131
-666,202,-454,-980,157,1086,-104,120
-700,176,-443,-1035,161,1096,-97,108
-734,151,-429,-1090,164,1108,-86,101
-768,127,-415,-1143,166,1121,-79,93
-801,103,-400,-1195,168,1134,-70,87
-833,79,-386,-1246,169,1147,-63,80
-863,55,-373,-1293,169,1160,-53,73
-890,33,-358,-1337,169,1173,-46,67
-914,13,-343,-1378,170,1187,-36,61
-936,-5,-328,-1415,169,1203,-26,57
-954,-22,-313,-1450,167,1220,-15,54
-970,-38,-300,-1481,163,1237,-6,51
-982,-53,-287,-1507,159,1254,4,48
-991,-66,-274,-1529,155,1271,13,46
-996,-78,-260,-1545,150,1288,25,46
-998,-88,-248,-1557,144,1305,35,43
-997,-97,-237,-1563,137,1322,43,42
-993,-104,-227,-1564,130,1341,50,40
-985,-109,-219,-1559,122,1362,58,40
-974,-113,-210,-1549,113,1384,64,39
-959,-117,-202,-1535,104,1404,72,37
-941,-119,-195,-1515,93,1423,78,36
-921,-119,-189,-1491,81,1443,84,36
-897,-118,-184,-1463,69,1464,87,34
-872,-118,-180,-1430,58,1486,91,31
-844,-118,-176,-1393,46,1508,95,26
-813,-117,-172,-1351,34,1527,96,23
-780,-115,-169,-1306,21,1546,97,17
-747,-113,-169,-1257,7,1565,96,12
-715,-111,-168,-1205,-5,1586,92,4
-681,-108,-168,-1149,-19,1607,85,-1
-646,-105,-168,-1091,-33,1626,79,-8
-610,-103,-168,-1031,-46,1644,73,-15
-576,-101,-168,-971,-58,1663,65,-25
-542,-100,-169,-910,-69,1682,56,-36
-510,-99,-171,-846,-82,1700,41,-47
-479,-100,-172,-781,-95,1717,26,-61
-450,-101,-173,-715,-108,1733,7,-72
-425,-104,-175,-650,-118,1748,-13,-86
-403,-107,-178,-586,-127,1761,-37,-106
-383,-111,-181,-520,-136,1775,-64,-122
-365,-117,-185,-455,-144,1789,-93,-142
-349,-124,-189,-390,-153,1803,-124,-163
-337,-133,-194,-327,-161,1814,-158,-187
-330,-142,-199,-265,-169,1825,-197,-208
