F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-378,-243,-91,-35,1993,9894,-375,-294
-375,-238,-90,-33,1994,9894,-372,-288
-371,-232,-90,-32,1994,9894,-372,-283
-368,-227,-89,-32,1993,9894,-366,-278
-365,-223,-87,-32,1992,9894,-363,-271
-362,-220,-85,-32,1990,9894,-360,-267
-360,-216,-83,-31,1989,9895,-357,-264
-357,-214,-83,-31,1988,9895,-356,-262
-356,-211,-83,-31,1988,9895,-354,-260
-354,-209,-83,-30,1989,9895,-352,-257
-352,-207,-81,-28,1989,9895,-350,-252
-351,-205,-80,-28,1989,9895,-349,-250
-349,-202,-79,-27,1988,9895,-350,-247
-348,-200,-80,-28,1989,9895,-349,-246
-347,-199,-80,-28,1989,9895,-345,-245
-346,-198,-80,-28,1989,9895,-344,-242
-345,-196,-80,-28,1989,9895,-343,-241
-344,-195,-80,-28,1989,9895,-345,-240
-344,-194,-80,-28,1989,9895,-345,-239
-344,-193,-80,-28,1989,9895,-343,-239
-343,-193,-80,-28,1989,9895,-344,-238
-342,-192,-80,-28,1989,9895,-343,-238
-340,-191,-80,-28,1989,9895,-341,-236
-339,-191,-80,-28,1989,9895,-338,-236
-338,-191,-80,-28,1989,9895,-336,-236
-337,-190,-80,-28,1989,9895,-338,-235
-336,-188,-79,-27,1989,9895,-336,-233
-336,-185,-78,-26,1989,9895,-336,-230
-335,-183,-78,-26,1989,9895,-336,-228
-334,-182,-77,-25,1989,9895,-335,-228
-332,-182,-76,-25,1989,9895,-333,-227
-329,-180,-76,-24,1989,9895,-330,-223
-327,-178,-76,-24,1989,9895,-328,-220
-325,-174,-76,-24,1989,9895,-327,-217
-325,-171,-76,-25,1989,9895,-325,-216
-324,-168,-77,-25,1988,9895,-325,-212
-321,-165,-76,-24,1988,9895,-323,-207
-318,-161,-75,-23,1989,9895,-319,-203
-314,-157,-74,-22,1989,9895,-314,-200
-311,-153,-73,-21,1989,9895,-314,-195
-309,-149,-72,-21,1988,9895,-313,-191
-307,-146,-72,-21,1987,9895,-311,-189
-305,-143,-72,-20,1987,9895,-310,-185
-301,-140,-70,-19,1987,9895,-306,-181
-298,-136,-69,-18,1987,9895,-302,-175
-294,-132,-68,-17,1987,9895,-299,-172
-292,-129,-68,-17,1987,9895,-296,-168
-290,-126,-68,-17,1987,9895,-294,-166
-288,-123,-68,-17,1985,9895,-292,-162
-286,-120,-68,-16,1984,9895,-290,-159
-284,-118,-67,-15,1983,9895,-289,-157
-281,-116,-66,-14,1984,9895,-289,-156
-279,-115,-65,-14,1984,9895,-286,-155
-278,-113,-65,-14,1984,9895,-285,-152
-278,-111,-66,-14,1984,9895,-285,-150
-278,-109,-66,-15,1984,9895,-285,-148
-279,-109,-66,-14,1985,9895,-286,-148
-279,-109,-65,-14,1985,9895,-286,-148
-279,-109,-65,-14,1985,9895,-286,-148
-280,-110,-64,-13,1986,9895,-288,-148
-281,-111,-64,-13,1987,9895,-289,-150
-282,-113,-64,-13,1987,9895,-289,-152
-282,-115,-64,-13,1987,9895,-289,-153
-282,-116,-65,-14,1987,9895,-289,-156
-283,-118,-65,-14,1988,9895,-290,-157
-285,-120,-65,-14,1989,9895,-292,-159
-287,-122,-65,-14,1989,9895,-294,-162
-289,-125,-66,-14,1989,9895,-296,-164
-291,-127,-67,-15,1988,9895,-296,-167
-293,-130,-68,-17,1988,9895,-297,-169
-296,-133,-69,-18,1989,9895,-300,-172
-297,-135,-69,-18,1989,9895,-301,-174
-299,-137,-69,-18,1989,9895,-303,-177
-301,-139,-69,-18,1989,9895,-305,-179
-303,-142,-69,-18,1989,9895,-307,-181
-306,-145,-69,-18,1989,9895,-310,-185
-308,-147,-70,-19,1989,9895,-312,-190
-311,-149,-72,-20,1989,9895,-316,-191
-314,-151,-72,-21,1989,9895,-318,-194
-315,-153,-73,-21,1989,9895,-317,-195
-315,-154,-73,-21,1989,9895,-319,-196
-316,-155,-72,-21,1989,9895,-321,-197
-318,-157,-72,-21,1989,9895,-322,-200
-320,-159,-72,-21,1989,9895,-324,-201
-322,-160,-73,-21,1989,9895,-323,-202
-322,-162,-74,-22,1989,9895,-324,-203
-322,-163,-74,-22,1989,9895,-323,-206
-322,-165,-74,-22,1989,9895,-324,-207
-323,-167,-73,-21,1989,9895,-327,-209
-324,-168,-73,-21,1989,9895,-328,-211
-325,-169,-73,-21,1989,9895,-329,-211
-326,-169,-74,-22,1989,9895,-328,-211
-328,-169,-75,-23,1989,9895,-329,-211
-329,-170,-75,-24,1989,9895,-330,-213
-330,-173,-76,-24,1989,9895,-330,-216
-330,-175,-77,-24,1989,9895,-332,-220
-332,-176,-77,-24,1989,9895,-333,-220
-333,-177,-76,-24,1989,9895,-334,-219
-334,-179,-76,-25,1989,9895,-335,-224
-334,-181,-76,-25,1989,9895,-335,-227
-335,-183,-77,-24,1989,9895,-336,-228
-337,-184,-77,-23,1989,9895,-340,-229
-339,-185,-78,-23,1989,9895,-343,-230
-340,-188,-79,-25,1989,9895,-341,-233
-342,-191,-79,-27,1989,9895,-343,-235
-343,-193,-79,-28,1989,9895,-341,-238
-345,-195,-80,-28,1989,9895,-346,-240
-347,-197,-81,-27,1989,9895,-347,-242
-349,-199,-83,-27,1989,9895,-350,-247
