F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-737,-846,-202,-144,960,9957,-805,-1153
-717,-816,-197,-141,960,9957,-783,-1113
-698,-787,-191,-138,961,9957,-761,-1075
-679,-759,-186,-135,960,9957,-740,-1038
-661,-731,-180,-133,959,9957,-722,-1001
-643,-702,-175,-129,958,9957,-701,-960
-625,-675,-170,-125,957,9957,-681,-926
-606,-649,-166,-121,956,9958,-661,-892
-588,-626,-162,-117,956,9958,-643,-860
-571,-603,-156,-113,955,9958,-623,-830
-555,-581,-150,-111,956,9958,-606,-800
-540,-560,-145,-108,955,9958,-589,-771
-525,-539,-141,-105,954,9958,-574,-743
-510,-519,-138,-102,952,9958,-556,-716
-496,-501,-134,-98,950,9958,-544,-693
-484,-484,-131,-95,950,9958,-529,-670
-473,-468,-127,-91,951,9958,-520,-650
-461,-453,-123,-88,951,9958,-506,-628
-448,-439,-120,-85,949,9958,-494,-609
-437,-426,-116,-82,947,9958,-483,-592
-427,-412,-112,-78,946,9958,-472,-573
-417,-400,-109,-75,945,9958,-463,-555
-407,-388,-106,-72,946,9958,-452,-540
-397,-378,-104,-71,946,9958,-440,-528
-387,-369,-103,-69,946,9958,-429,-513
-379,-360,-101,-68,944,9958,-422,-502
-372,-350,-98,-65,943,9958,-413,-488
-365,-342,-96,-63,941,9959,-408,-478
-358,-333,-94,-61,941,9959,-401,-467
-352,-325,-92,-59,941,9959,-394,-454
-346,-316,-90,-58,941,9959,-386,-444
-339,-309,-89,-56,941,9959,-382,-434
-331,-301,-87,-54,940,9959,-373,-422
-324,-293,-85,-53,939,9959,-365,-412
-318,-285,-84,-52,938,9959,-357,-402
-313,-277,-83,-50,937,9959,-355,-391
-307,-270,-81,-48,936,9959,-349,-380
-302,-263,-79,-46,936,9959,-341,-373
-296,-256,-76,-45,936,9959,-335,-361
-291,-249,-74,-45,936,9959,-329,-352
-287,-242,-73,-45,936,9959,-324,-344
-282,-236,-71,-44,936,9959,-318,-333
-277,-230,-69,-44,936,9959,-312,-325
-272,-224,-68,-43,936,9959,-307,-318
-267,-217,-66,-42,936,9959,-301,-307
-263,-211,-65,-41,936,9959,-296,-300
-259,-205,-64,-39,936,9959,-291,-292
-254,-200,-64,-39,936,9959,-290,-286
-250,-195,-63,-38,936,9959,-285,-280
-246,-190,-61,-38,936,9959,-277,-272
-242,-185,-59,-38,936,9959,-272,-266
-237,-180,-57,-37,936,9959,-267,-256
-233,-174,-57,-38,937,9959,-262,-249
-229,-170,-56,-38,936,9959,-258,-244
-226,-166,-55,-38,934,9959,-255,-239
-223,-162,-54,-37,933,9959,-250,-234
-219,-159,-53,-36,933,9959,-246,-227
-216,-155,-52,-35,934,9959,-241,-222
-213,-150,-51,-34,935,9959,-239,-217
-210,-145,-50,-33,933,9959,-235,-211
-206,-141,-49,-32,932,9959,-234,-205
-203,-137,-49,-32,931,9959,-230,-200
-199,-133,-48,-31,931,9959,-227,-196
-197,-130,-46,-30,932,9959,-224,-189
-196,-127,-46,-29,932,9959,-222,-185
-193,-125,-45,-29,931,9959,-219,-183
-189,-122,-46,-29,931,9959,-214,-179
-184,-120,-46,-29,931,9959,-208,-177
-181,-116,-44,-28,931,9959,-205,-172
-179,-113,-43,-26,931,9959,-205,-168
-177,-110,-42,-25,931,9959,-202,-161
-174,-107,-42,-25,931,9959,-200,-159
-171,-103,-42,-26,931,9959,-196,-153
-169,-101,-42,-26,931,9959,-194,-150
-166,-99,-41,-25,931,9959,-190,-147
-165,-98,-39,-23,931,9959,-189,-146
-162,-96,-38,-22,931,9959,-186,-144
-160,-93,-38,-22,931,9959,-183,-141
-157,-91,-37,-23,932,9959,-180,-137
-155,-89,-37,-24,932,9959,-178,-135
-154,-87,-36,-24,931,9959,-173,-130
-152,-84,-35,-24,930,9959,-172,-126
-151,-81,-32,-23,928,9959,-170,-120
-150,-79,-31,-22,926,9960,-168,-118
-147,-78,-31,-22,926,9960,-166,-115
-145,-77,-32,-22,928,9959,-163,-114
-144,-75,-32,-22,928,9959,-162,-112
-143,-72,-31,-21,928,9959,-163,-109
-143,-70,-29,-20,927,9959,-163,-107
-142,-69,-28,-19,926,9960,-162,-104
-141,-67,-27,-19,926,9960,-162,-100
-140,-65,-28,-19,926,9960,-159,-97
-137,-62,-28,-19,927,9960,-157,-93
-135,-60,-28,-19,926,9960,-155,-91
-135,-58,-28,-19,926,9960,-153,-91
-135,-57,-28,-19,926,9960,-153,-90
-135,-55,-28,-19,926,9960,-155,-85
-133,-53,-27,-18,926,9960,-152,-83
-131,-51,-25,-17,926,9960,-150,-80
-129,-50,-24,-16,926,9960,-147,-79
-128,-50,-24,-15,926,9960,-146,-78
-126,-48,-24,-16,926,9960,-145,-76
