F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4099,-2206,-2455,1339,254,2018,-5710,-3885
-4607,-2581,-2676,1284,283,2007,-6234,-4382
-5151,-3007,-2909,1217,314,1997,-6789,-4935
-5774,-3511,-3155,1135,346,1987,-7417,-5570
-6499,-4111,-3414,1039,381,1978,-8136,-6310
-7248,-4770,-3687,927,418,1969,-8874,-7112
-7837,-5396,-3976,796,458,1963,-9439,-7884
-8104,-5908,-4279,648,500,1959,-9680,-8541
-7987,-6279,-4597,480,546,1957,-9527,-9054
-7778,-6671,-4926,293,595,1955,-9275,-9591
-7506,-7103,-5268,86,647,1956,-8944,-10000
-7233,-7619,-5623,-143,701,1958,-8614,-10000
-6948,-8207,-5991,-394,757,1963,-8259,-10000
-6624,-8841,-6370,-669,814,1971,-7853,-10000
-6255,-9535,-6760,-967,875,1984,-7385,-10000
-5823,-10000,-7159,-1286,939,1999,-6844,-10000
-5321,-10000,-7560,-1623,1008,2017,-6219,-10000
-4803,-10000,-7961,-1976,1079,2039,-5570,-10000
-4384,-10000,-8373,-2356,1152,2066,-5002,-10000
-4154,-10000,-8812,-2781,1230,2098,-4599,-10000
-4133,-10000,-9258,-3232,1310,2135,-4389,-10000
-4133,-10000,-9637,-3639,1392,2177,-4211,-10000
-4157,-10000,-9865,-3925,1477,2224,-4099,-10000
-4153,-10000,-9897,-4048,1564,2277,-4017,-10000
-4140,-10000,-9841,-4108,1653,2337,-3945,-10000
-4134,-10000,-9758,-4162,1745,2403,-3877,-10000
-4135,-10000,-9678,-4236,1838,2475,-3802,-10000
-4136,-10000,-9605,-4335,1933,2555,-3709,-10000
-4136,-10000,-9520,-4443,2029,2641,-3609,-10000
-4136,-10000,-9419,-4553,2127,2736,-3499,-10000
-4136,-10000,-9308,-4670,2227,2838,-3385,-10000
-4136,-10000,-9191,-4795,2329,2947,-3260,-10000
-4136,-10000,-9067,-4928,2430,3065,-3131,-10000
-4136,-10000,-8938,-5067,2532,3192,-2994,-10000
-4136,-10000,-8803,-5211,2634,3326,-2850,-10000
-4136,-10000,-8665,-5360,2735,3469,-2703,-10000
-4136,-10000,-8522,-5512,2837,3619,-2555,-10000
-4136,-10000,-8377,-5668,2938,3778,-2401,-10000
-4136,-10000,-8229,-5827,3039,3947,-2244,-10000
-4136,-10000,-8080,-5986,3138,4125,-2086,-10000
-4136,-10000,-7931,-6146,3235,4311,-1929,-10000
-4136,-10000,-7784,-6304,3332,4505,-1773,-10000
