F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-5445,-7584,-1290,-1216,2382,9870,-4819,-8194
-5340,-7417,-1262,-1185,2374,9871,-4732,-8016
-5238,-7254,-1235,-1157,2367,9871,-4646,-7842
-5140,-7094,-1209,-1129,2360,9872,-4563,-7668
-5044,-6938,-1184,-1102,2354,9872,-4481,-7501
-4951,-6785,-1160,-1074,2348,9873,-4403,-7340
-4859,-6637,-1136,-1047,2341,9873,-4327,-7180
-4769,-6494,-1112,-1021,2335,9873,-4251,-7026
-4680,-6354,-1088,-996,2328,9874,-4174,-6877
-4592,-6217,-1066,-972,2321,9874,-4100,-6729
-4508,-6084,-1044,-949,2315,9874,-4028,-6588
-4427,-5954,-1023,-926,2310,9875,-3961,-6446
-4348,-5828,-1002,-902,2305,9875,-3894,-6312
-4269,-5704,-981,-879,2301,9875,-3828,-6180
-4192,-5584,-960,-857,2296,9876,-3763,-6051
-4117,-5467,-939,-836,2291,9876,-3700,-5923
-4044,-5352,-919,-815,2286,9876,-3635,-5800
-3972,-5241,-901,-795,2281,9877,-3576,-5681
-3902,-5133,-883,-775,2276,9877,-3518,-5564
-3834,-5027,-865,-755,2271,9877,-3459,-5453
-3768,-4924,-848,-737,2266,9877,-3402,-5341
-3704,-4824,-831,-719,2261,9878,-3349,-5233
-3640,-4725,-815,-702,2257,9878,-3294,-5128
-3578,-4629,-799,-685,2253,9878,-3239,-5023
-3517,-4535,-783,-669,2250,9878,-3188,-4923
-3458,-4444,-766,-653,2247,9879,-3138,-4824
-3400,-4356,-751,-636,2242,9879,-3088,-4731
-3342,-4270,-737,-621,2237,9879,-3039,-4637
-3286,-4185,-723,-605,2233,9880,-2993,-4546
-3233,-4101,-709,-589,2230,9880,-2948,-4456
-3180,-4020,-694,-573,2228,9880,-2902,-4370
-3129,-3941,-679,-560,2225,9880,-2857,-4282
-3078,-3864,-665,-547,2221,9880,-2815,-4199
-3028,-3788,-654,-534,2217,9880,-2771,-4117
-2979,-3712,-642,-520,2213,9881,-2728,-4036
-2932,-3639,-629,-506,2209,9881,-2690,-3957
-2885,-3568,-615,-493,2207,9881,-2649,-3881
-2838,-3499,-603,-481,2204,9881,-2608,-3807
-2793,-3431,-591,-469,2202,9881,-2569,-3733
-2749,-3364,-580,-456,2198,9882,-2535,-3661
-2707,-3296,-569,-443,2195,9882,-2498,-3590
-2664,-3231,-557,-432,2192,9882,-2462,-3519
-2622,-3167,-545,-422,2190,9882,-2423,-3449
-2580,-3105,-534,-411,2187,9882,-2386,-3382
-2539,-3044,-523,-401,2184,9883,-2352,-3315
-2501,-2983,-512,-389,2180,9883,-2320,-3249
-2464,-2924,-502,-376,2177,9883,-2290,-3187
-2426,-2867,-492,-365,2175,9883,-2258,-3125
