F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-5867,-10000,-6144,-700,520,1934,-7005,-10000
-5362,-10000,-6609,-1019,589,1951,-6412,-10000
-4828,-10000,-7082,-1363,663,1974,-5771,-10000
-4394,-10000,-7555,-1729,741,2003,-5218,-10000
-4155,-10000,-8041,-2131,823,2038,-4836,-10000
-4133,-10000,-8561,-2586,910,2078,-4643,-10000
-4133,-10000,-9096,-3081,1001,2126,-4448,-10000
-4157,-10000,-9566,-3541,1098,2181,-4286,-10000
-4154,-10000,-9866,-3870,1199,2245,-4135,-10000
-4140,-10000,-9933,-4009,1305,2318,-4044,-10000
-4134,-10000,-9880,-4065,1414,2401,-3982,-10000
-4135,-10000,-9797,-4120,1528,2495,-3919,-10000
-4136,-10000,-9707,-4197,1645,2600,-3839,-10000
-4136,-10000,-9625,-4309,1765,2717,-3736,-10000
-4136,-10000,-9530,-4433,1887,2845,-3619,-10000
-4136,-10000,-9413,-4560,2011,2987,-3494,-10000
-4136,-10000,-9282,-4697,2138,3141,-3358,-10000
-4136,-10000,-9143,-4846,2267,3309,-3211,-10000
-4136,-10000,-8996,-5005,2398,3489,-3055,-10000
-4136,-10000,-8841,-5171,2528,3682,-2891,-10000
-4136,-10000,-8679,-5344,2657,3889,-2721,-10000
-4136,-10000,-8512,-5524,2786,4112,-2542,-10000
-4136,-10000,-8340,-5707,2913,4348,-2362,-10000
-4136,-10000,-8167,-5893,3041,4600,-2179,-10000
-4136,-10000,-7994,-6079,3167,4864,-1995,-10000
-4136,-10000,-7821,-6264,3289,5141,-1812,-10000
-4136,-10000,-7652,-6446,3408,5430,-1634,-10000
-4136,-10000,-7486,-6624,3523,5732,-1458,-10000
-4136,-10000,-7325,-6797,3635,6045,-1287,-10000
-4136,-10000,-7170,-6962,3743,6370,-1124,-10000
-4136,-10000,-7024,-7119,3845,6705,-970,-10000
-4136,-10000,-6886,-7267,3942,7050,-823,-10000
-4136,-10000,-6758,-7404,4033,7402,-687,-10000
-4136,-10000,-6640,-7531,4118,7755,-562,-10000
-4136,-10000,-6534,-7644,4197,8108,-450,-10000
-4136,-10000,-6439,-7746,4270,8478,-350,-10000
-4136,-10000,-6357,-7834,4338,8868,-264,-10000
-4136,-10000,-6287,-7909,4398,9247,-191,-10000
-4136,-10000,-6230,-7971,4445,9548,-130,-10000
-4136,-10000,-6184,-8019,4476,9717,-81,-10000
-4136,-10000,-6151,-8055,4492,9743,-45,-10000
-4136,-10000,-6129,-8079,4499,9743,-23,-10000
-4136,-10000,-6118,-8091,4498,9728,-10,-10000
-4136,-10000,-6118,-8091,4489,9729,-10,-10000
-4136,-10000,-6128,-8081,4473,9739,-20,-10000
-4136,-10000,-6146,-8063,4448,9745,-40,-10000
-4136,-10000,-6166,-8030,4418,9747,-69,-10000
-4136,-10000,-6187,-7983,4380,9748,-108,-10000
-4136,-10000,-6225,-7938,4336,9751,-152,-10000
-4136,-10000,-6295,-7911,4286,9754,-191,-10000
-4136,-10000,-6345,-7857,4229,9757,-245,-10000
-4136,-10000,-6369,-7773,4167,9761,-311,-10000
-4136,-10000,-6196,-7500,4102,9765,-455,-10000
-4136,-10000,-5857,-7068,4034,9769,-662,-10000
-4136,-10000,-5450,-6571,3961,9774,-894,-10000
-4136,-10000,-5083,-6110,3884,9779,-1114,-10000
-4136,-10000,-4792,-5721,3805,9783,-1304,-10000
-4136,-10000,-4549,-5380,3725,9788,-1475,-10000
-4136,-10000,-4319,-5053,3645,9793,-1641,-10000
-4134,-10000,-4093,-4734,3566,9798,-1799,-10000
-4136,-10000,-3877,-4429,3486,9803,-1955,-10000
-4145,-10000,-3674,-4143,3407,9808,-2108,-10000
-4153,-10000,-3482,-3874,3328,9812,-2249,-10000
-4139,-10000,-3303,-3624,3252,9817,-2360,-10000
-4133,-10000,-3137,-3392,3178,9822,-2470,-10000
-4133,-10000,-2983,-3179,3107,9826,-2575,-10000
-4234,-10000,-2840,-2983,3039,9830,-2774,-10000
-4485,-10000,-2707,-2804,2975,9834,-3114,-10000
-4804,-10000,-2584,-2639,2915,9838,-3513,-10000
-5096,-10000,-2468,-2490,2858,9841,-3878,-10000
-5313,-10000,-2359,-2352,2805,9844,-4161,-10000
-5474,-10000,-2259,-2228,2756,9848,-4381,-10000
-5612,-10000,-2166,-2115,2711,9850,-4570,-10000
-5741,-10000,-2078,-2013,2670,9853,-4748,-10000
-5863,-10000,-1995,-1919,2633,9855,-4912,-10000
-5997,-9992,-1916,-1833,2599,9857,-5081,-10000
-6129,-9772,-1840,-1753,2569,9859,-5249,-10000
-6245,-9555,-1769,-1680,2542,9861,-5395,-10000
-6278,-9307,-1700,-1612,2517,9862,-5459,-10000
-6122,-8969,-1634,-1549,2496,9863,-5333,-9693
-5842,-8575,-1570,-1488,2477,9865,-5085,-9271
-5539,-8176,-1509,-1432,2461,9866,-4812,-8843
-5284,-7809,-1450,-1378,2446,9866,-4586,-8449
-5083,-7476,-1392,-1326,2434,9867,-4410,-8092
-4901,-7157,-1336,-1275,2422,9868,-4254,-7748
-4714,-6841,-1281,-1225,2412,9869,-4091,-7407
-4522,-6528,-1228,-1178,2403,9869,-3923,-7069
-4334,-6222,-1176,-1131,2395,9869,-3761,-6740
-4150,-5923,-1126,-1084,2388,9870,-3599,-6418
-3970,-5632,-1078,-1038,2381,9870,-3444,-6106
-3796,-5349,-1031,-992,2375,9871,-3293,-5803
-3627,-5076,-985,-947,2369,9871,-3148,-5510
-3464,-4811,-940,-904,2364,9872,-3007,-5227
-3308,-4557,-897,-861,2359,9872,-2873,-4952
-3158,-4313,-857,-819,2352,9872,-2747,-4691
-3014,-4080,-819,-777,2346,9873,-2627,-4442
-2875,-3858,-781,-735,2340,9873,-2509,-4206
-2741,-3648,-744,-696,2334,9873,-2396,-3978
-2614,-3447,-708,-658,2328,9874,-2291,-3764
-2493,-3258,-675,-622,2322,9874,-2187,-3560
-2378,-3079,-644,-588,2315,9874,-2093,-3368
-2269,-2911,-616,-555,2308,9875,-2002,-3188
-2165,-2755,-589,-522,2302,9875,-1915,-3023
-2068,-2609,-563,-491,2296,9876,-1835,-2867
-1976,-2474,-538,-462,2290,9876,-1760,-2722
-1890,-2347,-515,-433,2284,9877,-1689,-2584
-1808,-2229,-493,-407,2278,9877,-1621,-2458
-1731,-2121,-472,-382,2272,9877,-1558,-2342
-1658,-2021,-453,-360,2265,9877,-1497,-2236
-1590,-1929,-436,-339,2260,9878,-1441,-2135
-1528,-1842,-421,-320,2255,9878,-1387,-2042
-1469,-1761,-405,-302,2250,9878,-1340,-1955
-1415,-1686,-390,-285,2246,9879,-1295,-1875
-1363,-1616,-375,-269,2242,9879,-1251,-1796
-1314,-1551,-362,-255,2237,9879,-1208,-1726
-1267,-1490,-350,-241,2232,9880,-1170,-1662
-1223,-1433,-339,-229,2227,9880,-1132,-1600
