F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-4536,-4943,3424,9807,-1771,-10000
-4136,-10000,-4482,-4878,3408,9808,-1803,-10000
-4136,-10000,-4430,-4813,3392,9809,-1832,-10000
-4136,-10000,-4378,-4750,3377,9809,-1864,-10000
-4136,-10000,-4326,-4688,3362,9810,-1893,-10000
-4136,-10000,-4275,-4627,3347,9812,-1920,-10000
-4136,-10000,-4225,-4568,3330,9812,-1947,-10000
-4136,-10000,-4176,-4509,3314,9813,-1976,-10000
-4136,-10000,-4128,-4450,3299,9814,-2003,-10000
-4136,-10000,-4080,-4392,3285,9815,-2030,-10000
-4136,-10000,-4033,-4335,3270,9816,-2056,-10000
-4136,-10000,-3986,-4277,3254,9817,-2083,-10000
-4136,-10000,-3940,-4221,3239,9818,-2110,-10000
-4136,-10000,-3894,-4167,3225,9819,-2137,-10000
-4136,-10000,-3848,-4114,3211,9820,-2159,-10000
-4136,-10000,-3805,-4062,3197,9821,-2186,-10000
-4136,-10000,-3763,-4010,3183,9821,-2210,-10000
-4136,-10000,-3721,-3957,3169,9822,-2235,-10000
-4136,-10000,-3678,-3905,3156,9823,-2259,-10000
-4136,-10000,-3635,-3855,3143,9824,-2284,-10000
-4136,-10000,-3592,-3806,3129,9825,-2305,-10000
-4136,-10000,-3552,-3758,3115,9826,-2327,-10000
-4136,-10000,-3513,-3709,3103,9826,-2349,-10000
-4136,-10000,-3475,-3661,3091,9827,-2374,-10000
-4136,-10000,-3437,-3614,3079,9828,-2396,-10000
-4136,-10000,-3399,-3569,3067,9829,-2418,-10000
-4136,-10000,-3361,-3526,3054,9829,-2437,-10000
-4136,-10000,-3324,-3483,3043,9830,-2457,-10000
-4136,-10000,-3288,-3440,3031,9831,-2476,-10000
-4136,-10000,-3251,-3397,3020,9831,-2496,-10000
-4136,-10000,-3214,-3353,3009,9832,-2515,-10000
-4136,-10000,-3179,-3311,2998,9833,-2535,-10000
-4136,-10000,-3144,-3270,2987,9833,-2555,-10000
-4136,-10000,-3110,-3229,2976,9834,-2574,-10000
-4136,-10000,-3077,-3189,2965,9835,-2594,-10000
-4136,-10000,-3043,-3151,2953,9835,-2611,-10000
-4136,-10000,-3010,-3114,2943,9836,-2628,-10000
-4136,-10000,-2977,-3076,2934,9837,-2645,-10000
-4138,-10000,-2946,-3039,2924,9837,-2664,-10000
-4138,-10000,-2915,-3000,2914,9838,-2681,-10000
-4136,-10000,-2885,-2963,2905,9838,-2699,-10000
-4133,-10000,-2854,-2927,2895,9839,-2710,-10000
