F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-6234,-7967,4102,9431,-133,-10000
-4136,-10000,-6231,-7969,4117,9555,-130,-10000
-4136,-10000,-6230,-7971,4130,9664,-130,-10000
-4136,-10000,-6230,-7971,4139,9739,-130,-10000
-4136,-10000,-6230,-7970,4144,9765,-130,-10000
-4136,-10000,-6231,-7969,4147,9765,-130,-10000
-4136,-10000,-6233,-7968,4152,9760,-133,-10000
-4136,-10000,-6235,-7965,4157,9757,-135,-10000
-4136,-10000,-6238,-7962,4162,9759,-137,-10000
-4136,-10000,-6242,-7958,4166,9762,-142,-10000
-4136,-10000,-6247,-7952,4168,9762,-147,-10000
-4136,-10000,-6252,-7947,4170,9761,-152,-10000
-4136,-10000,-6258,-7940,4173,9761,-159,-10000
-4136,-10000,-6264,-7933,4175,9761,-167,-10000
-4136,-10000,-6271,-7926,4176,9761,-174,-10000
-4136,-10000,-6279,-7918,4177,9761,-181,-10000
-4136,-10000,-6287,-7909,4177,9761,-189,-10000
-4136,-10000,-6296,-7900,4176,9761,-198,-10000
-4136,-10000,-6304,-7891,4174,9761,-208,-10000
-4136,-10000,-6313,-7881,4173,9761,-218,-10000
-4136,-10000,-6324,-7870,4172,9761,-228,-10000
-4136,-10000,-6335,-7858,4170,9761,-240,-10000
-4136,-10000,-6346,-7847,4167,9761,-252,-10000
-4136,-10000,-6356,-7835,4162,9761,-262,-10000
-4136,-10000,-6367,-7824,4156,9762,-274,-10000
-4136,-10000,-6378,-7812,4149,9762,-286,-10000
-4136,-10000,-6390,-7799,4141,9763,-299,-10000
-4136,-10000,-6403,-7786,4132,9763,-311,-10000
-4136,-10000,-6414,-7773,4122,9764,-325,-10000
-4136,-10000,-6427,-7760,4110,9765,-338,-10000
-4136,-10000,-6439,-7746,4097,9765,-350,-10000
-4136,-10000,-6452,-7733,4084,9766,-365,-10000
-4136,-10000,-6465,-7718,4069,9767,-379,-10000
-4136,-10000,-6479,-7704,4053,9768,-394,-10000
-4136,-10000,-6492,-7689,4035,9769,-406,-10000
-4136,-10000,-6506,-7675,4017,9770,-421,-10000
-4136,-10000,-6519,-7661,4000,9772,-435,-10000
-4136,-10000,-6530,-7647,3980,9773,-448,-10000
-4136,-10000,-6540,-7632,3959,9774,-462,-10000
-4136,-10000,-6551,-7617,3937,9775,-474,-10000
-4136,-10000,-6568,-7607,3914,9777,-487,-10000
-4136,-10000,-6587,-7598,3892,9778,-499,-10000
-4136,-10000,-6595,-7577,3869,9779,-516,-10000
-4136,-10000,-6568,-7526,3845,9781,-545,-10000
-4136,-10000,-6503,-7438,3821,9783,-589,-10000
-4136,-10000,-6411,-7329,3797,9784,-640,-10000
-4136,-10000,-6315,-7215,3772,9785,-692,-10000
-4136,-10000,-6224,-7108,3747,9787,-740,-10000
-4136,-10000,-6139,-7004,3720,9789,-789,-10000
-4136,-10000,-6054,-6900,3692,9790,-838,-10000
-4136,-10000,-5968,-6795,3666,9792,-887,-10000
-4136,-10000,-5884,-6692,3641,9794,-936,-10000
-4136,-10000,-5800,-6591,3616,9795,-985,-10000
-4136,-10000,-5716,-6491,3590,9797,-1029,-10000
-4136,-10000,-5632,-6392,3563,9798,-1075,-10000
-4136,-10000,-5551,-6293,3535,9800,-1121,-10000
-4136,-10000,-5472,-6196,3509,9801,-1168,-10000
-4136,-10000,-5395,-6100,3484,9803,-1214,-10000
-4136,-10000,-5317,-6007,3460,9804,-1258,-10000
-4136,-10000,-5240,-5913,3436,9806,-1300,-10000
-4136,-10000,-5164,-5821,3411,9808,-1344,-10000
-4136,-10000,-5090,-5730,3387,9809,-1387,-10000
-4136,-10000,-5018,-5641,3364,9810,-1429,-10000
-4136,-10000,-4945,-5554,3342,9812,-1468,-10000
-4136,-10000,-4874,-5468,3320,9813,-1510,-10000
-4136,-10000,-4806,-5384,3298,9814,-1549,-10000
-4136,-10000,-4739,-5301,3276,9816,-1588,-10000
-4136,-10000,-4673,-5220,3256,9817,-1627,-10000
-4136,-10000,-4607,-5141,3236,9818,-1663,-10000
-4136,-10000,-4543,-5064,3216,9819,-1700,-10000
-4136,-10000,-4481,-4988,3195,9821,-1734,-10000
-4136,-10000,-4419,-4913,3174,9822,-1771,-10000
-4136,-10000,-4359,-4839,3155,9823,-1805,-10000
-4136,-10000,-4300,-4766,3136,9824,-1839,-10000
-4136,-10000,-4242,-4695,3118,9825,-1873,-10000
-4136,-10000,-4185,-4625,3100,9826,-1905,-10000
-4136,-10000,-4127,-4556,3082,9828,-1937,-10000
-4136,-10000,-4072,-4488,3064,9829,-1969,-10000
-4136,-10000,-4018,-4422,3046,9830,-2000,-10000
-4136,-10000,-3963,-4357,3028,9831,-2030,-10000
-4136,-10000,-3910,-4293,3010,9832,-2061,-10000
-4136,-10000,-3857,-4228,2993,9833,-2091,-10000
-4136,-10000,-3805,-4164,2977,9834,-2122,-10000
-4136,-10000,-3753,-4101,2959,9835,-2152,-10000
-4136,-10000,-3701,-4038,2942,9836,-2181,-10000
-4136,-10000,-3649,-3976,2925,9837,-2208,-10000
-4136,-10000,-3597,-3915,2908,9838,-2237,-10000
-4136,-10000,-3546,-3855,2891,9839,-2264,-10000
-4136,-10000,-3496,-3794,2875,9840,-2293,-10000
-4136,-10000,-3446,-3734,2859,9841,-2323,-10000
-4136,-10000,-3396,-3674,2843,9842,-2349,-10000
-4136,-10000,-3347,-3615,2827,9843,-2376,-10000
-4136,-10000,-3299,-3557,2810,9844,-2403,-10000
-4136,-10000,-3251,-3498,2794,9845,-2432,-10000
-4136,-10000,-3204,-3441,2778,9846,-2459,-10000
-4136,-10000,-3157,-3385,2763,9847,-2484,-10000
-4136,-10000,-3111,-3330,2747,9848,-2511,-10000
-4137,-10000,-3064,-3275,2732,9849,-2536,-10000
-4139,-10000,-3017,-3220,2717,9850,-2562,-10000
-4139,-10000,-2971,-3165,2701,9851,-2590,-10000
-4135,-10000,-2925,-3111,2685,9852,-2609,-10000
-4133,-10000,-2880,-3057,2671,9853,-2631,-10000
-4141,-10000,-2837,-3005,2658,9854,-2664,-10000
-4177,-10000,-2794,-2953,2645,9854,-2725,-10000
-4243,-10000,-2752,-2902,2632,9855,-2816,-10000
-4326,-10000,-2711,-2854,2617,9856,-2921,-10000
-4411,-10000,-2668,-2806,2603,9857,-3028,-10000
-4492,-10000,-2627,-2758,2589,9858,-3129,-10000
-4568,-10000,-2585,-2710,2576,9859,-3228,-10000
-4644,-10000,-2545,-2662,2563,9859,-3326,-10000
-4720,-10000,-2506,-2615,2551,9860,-3424,-10000
-4794,-10000,-2468,-2570,2538,9861,-3518,-10000
-4867,-10000,-2429,-2526,2526,9862,-3613,-10000
-4938,-10000,-2392,-2482,2514,9862,-3703,-10000
-5009,-10000,-2356,-2439,2502,9863,-3794,-10000
-5077,-10000,-2320,-2396,2490,9864,-3881,-10000
-5145,-10000,-2285,-2354,2479,9865,-3968,-10000
-5211,-10000,-2249,-2313,2468,9865,-4054,-10000
-5275,-10000,-2215,-2273,2457,9866,-4135,-10000
-5339,-10000,-2180,-2234,2446,9866,-4218,-10000
-5401,-10000,-2146,-2195,2437,9867,-4298,-10000
-5462,-10000,-2113,-2157,2427,9868,-4377,-10000
-5523,-10000,-2081,-2119,2417,9868,-4454,-10000
-5582,-10000,-2049,-2081,2407,9869,-4531,-10000
-5640,-10000,-2019,-2045,2398,9869,-4605,-10000
-5698,-10000,-1989,-2011,2388,9870,-4677,-10000
-5753,-10000,-1958,-1978,2379,9871,-4748,-10000
-5808,-10000,-1928,-1944,2369,9871,-4818,-10000
-5862,-10000,-1898,-1910,2359,9872,-4889,-10000
-5915,-10000,-1869,-1876,2349,9872,-4956,-10000
-5966,-10000,-1841,-1844,2341,9873,-5022,-10000
-6017,-9979,-1815,-1812,2333,9873,-5088,-10000
-6067,-9887,-1789,-1781,2325,9874,-5151,-10000
-6114,-9796,-1763,-1751,2317,9874,-5213,-10000
-6158,-9706,-1737,-1722,2309,9875,-5269,-10000
-6202,-9618,-1711,-1694,2302,9875,-5326,-10000
-6252,-9536,-1686,-1665,2294,9876,-5390,-10000
-6299,-9454,-1661,-1636,2287,9876,-5449,-10000
-6339,-9371,-1637,-1609,2280,9877,-5503,-10000
-6332,-9265,-1614,-1583,2273,9877,-5510,-9977
-6275,-9136,-1590,-1557,2265,9877,-5465,-9839
-6186,-8991,-1567,-1532,2258,9878,-5390,-9682
-6092,-8844,-1544,-1507,2250,9878,-5311,-9527
-6005,-8705,-1523,-1482,2243,9879,-5236,-9378
-5925,-8570,-1501,-1458,2237,9879,-5172,-9236
-5847,-8438,-1479,-1435,2232,9880,-5105,-9093
-5767,-8307,-1458,-1411,2226,9880,-5037,-8954
-5688,-8177,-1438,-1387,2220,9880,-4974,-8814
-5611,-8049,-1417,-1364,2213,9881,-4909,-8678
-5535,-7922,-1397,-1342,2206,9881,-4845,-8543
-5458,-7798,-1376,-1321,2200,9881,-4777,-8410
-5384,-7676,-1358,-1299,2193,9882,-4715,-8282
-5310,-7557,-1339,-1278,2188,9882,-4655,-8155
-5238,-7440,-1321,-1257,2183,9883,-4593,-8032
-5168,-7324,-1303,-1236,2179,9883,-4535,-7907
-5098,-7208,-1284,-1215,2174,9883,-4477,-7783
-5028,-7095,-1265,-1195,2169,9884,-4419,-7662
-4959,-6983,-1248,-1175,2164,9884,-4359,-7544
-4891,-6872,-1231,-1156,2159,9884,-4304,-7425
-4825,-6763,-1213,-1136,2154,9884,-4246,-7311
-4759,-6657,-1196,-1117,2149,9885,-4193,-7196
-4693,-6551,-1178,-1097,2144,9885,-4138,-7083
-4628,-6446,-1162,-1078,2139,9885,-4082,-6970
-4563,-6342,-1146,-1060,2135,9885,-4029,-6860
