F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-6555,-8966,-6454,-1169,526,2751,-7477,-10000
-6491,-9087,-6519,-1218,534,2755,-7397,-10000
-6425,-9210,-6585,-1267,543,2757,-7317,-10000
-6359,-9335,-6650,-1316,551,2760,-7234,-10000
-6292,-9461,-6716,-1365,560,2763,-7152,-10000
-6225,-9588,-6782,-1416,569,2767,-7068,-10000
-6156,-9718,-6848,-1467,578,2771,-6981,-10000
-6086,-9849,-6913,-1518,586,2776,-6894,-10000
-6015,-9983,-6979,-1570,595,2781,-6806,-10000
-5943,-10000,-7044,-1622,604,2783,-6715,-10000
-5869,-10000,-7109,-1676,615,2786,-6624,-10000
-5795,-10000,-7174,-1730,625,2789,-6530,-10000
-5720,-10000,-7239,-1785,635,2792,-6435,-10000
-5643,-10000,-7305,-1839,645,2797,-6340,-10000
-5565,-10000,-7371,-1893,655,2801,-6242,-10000
-5486,-10000,-7438,-1950,665,2807,-6141,-10000
-5405,-10000,-7504,-2006,675,2813,-6040,-10000
-5323,-10000,-7570,-2064,685,2819,-5936,-10000
-5240,-10000,-7636,-2122,695,2824,-5831,-10000
-5155,-10000,-7702,-2181,705,2828,-5725,-10000
-5069,-10000,-7769,-2240,715,2831,-5616,-10000
-4981,-10000,-7835,-2300,726,2836,-5504,-10000
-4892,-10000,-7903,-2361,736,2842,-5393,-10000
-4802,-10000,-7971,-2422,746,2848,-5278,-10000
-4711,-10000,-8038,-2483,755,2854,-5163,-10000
-4620,-10000,-8106,-2545,766,2860,-5048,-10000
-4528,-10000,-8174,-2609,777,2865,-4931,-10000
-4428,-10000,-8243,-2674,789,2871,-4804,-10000
-4322,-10000,-8312,-2739,801,2877,-4675,-10000
-4225,-10000,-8379,-2806,814,2883,-4548,-10000
-4158,-10000,-8447,-2873,825,2890,-4454,-10000
-4133,-10000,-8516,-2939,836,2896,-4401,-10000
-4133,-10000,-8584,-3006,847,2904,-4372,-10000
-4138,-10000,-8654,-3074,858,2911,-4351,-10000
-4141,-10000,-8722,-3144,871,2918,-4325,-10000
-4138,-10000,-8791,-3216,884,2926,-4290,-10000
-4136,-10000,-8861,-3290,896,2933,-4256,-10000
-4136,-10000,-8932,-3363,910,2941,-4224,-10000
-4136,-10000,-9003,-3436,922,2948,-4193,-10000
-4136,-10000,-9074,-3510,934,2956,-4161,-10000
-4136,-10000,-9144,-3585,947,2964,-4129,-10000
-4136,-10000,-9214,-3661,961,2973,-4095,-10000
-4136,-10000,-9284,-3738,974,2982,-4061,-10000
-4136,-10000,-9353,-3815,988,2991,-4027,-10000
-4136,-10000,-9421,-3891,1001,3000,-3993,-10000
-4136,-10000,-9494,-3971,1013,3009,-3956,-10000
-4136,-10000,-9569,-4055,1026,3018,-3919,-10000
-4136,-10000,-9640,-4136,1040,3027,-3883,-10000
-4136,-10000,-9691,-4199,1055,3036,-3851,-10000
-4136,-10000,-9712,-4236,1071,3046,-3831,-10000
-4136,-10000,-9708,-4249,1085,3057,-3822,-10000
-4136,-10000,-9695,-4254,1100,3067,-3814,-10000
-4136,-10000,-9683,-4261,1114,3078,-3805,-10000
-4136,-10000,-9674,-4273,1128,3090,-3795,-10000
-4136,-10000,-9666,-4286,1143,3102,-3783,-10000
-4136,-10000,-9656,-4297,1158,3114,-3770,-10000
-4136,-10000,-9645,-4308,1174,3125,-3761,-10000
-4136,-10000,-9634,-4320,1189,3136,-3748,-10000
-4136,-10000,-9622,-4333,1204,3149,-3736,-10000
-4136,-10000,-9610,-4346,1220,3163,-3722,-10000
-4136,-10000,-9598,-4359,1237,3177,-3709,-10000
-4136,-10000,-9585,-4372,1254,3190,-3697,-10000
-4136,-10000,-9572,-4387,1272,3202,-3682,-10000
-4136,-10000,-9558,-4402,1288,3215,-3665,-10000
-4136,-10000,-9543,-4418,1304,3229,-3651,-10000
-4136,-10000,-9529,-4433,1320,3244,-3636,-10000
-4136,-10000,-9514,-4449,1337,3260,-3619,-10000
-4136,-10000,-9499,-4465,1354,3275,-3604,-10000
-4136,-10000,-9483,-4482,1371,3290,-3587,-10000
-4136,-10000,-9468,-4499,1388,3306,-3570,-10000
-4136,-10000,-9452,-4515,1406,3321,-3553,-10000
-4136,-10000,-9436,-4533,1423,3337,-3536,-10000
-4136,-10000,-9419,-4551,1440,3353,-3519,-10000
-4136,-10000,-9401,-4570,1457,3370,-3499,-10000
-4136,-10000,-9383,-4589,1474,3387,-3480,-10000
-4136,-10000,-9365,-4609,1493,3404,-3460,-10000
-4136,-10000,-9346,-4629,1511,3420,-3441,-10000
-4136,-10000,-9328,-4648,1528,3438,-3421,-10000
-4136,-10000,-9309,-4669,1546,3456,-3399,-10000
-4136,-10000,-9289,-4690,1563,3474,-3380,-10000
-4136,-10000,-9269,-4712,1582,3493,-3358,-10000
-4136,-10000,-9249,-4733,1601,3513,-3336,-10000
-4136,-10000,-9229,-4754,1621,3533,-3314,-10000
-4136,-10000,-9209,-4776,1639,3552,-3294,-10000
-4136,-10000,-9188,-4798,1657,3571,-3272,-10000
-4136,-10000,-9167,-4821,1675,3592,-3248,-10000
-4136,-10000,-9145,-4845,1694,3613,-3223,-10000
-4136,-10000,-9123,-4868,1713,3635,-3202,-10000
-4136,-10000,-9102,-4891,1733,3656,-3180,-10000
-4136,-10000,-9080,-4914,1752,3677,-3155,-10000
-4136,-10000,-9058,-4938,1770,3698,-3131,-10000
-4136,-10000,-9035,-4963,1788,3720,-3106,-10000
-4136,-10000,-9012,-4988,1808,3743,-3082,-10000
-4136,-10000,-8988,-5013,1827,3766,-3057,-10000
-4136,-10000,-8965,-5038,1847,3790,-3033,-10000
-4136,-10000,-8941,-5064,1866,3815,-3006,-10000
-4136,-10000,-8915,-5091,1885,3839,-2979,-10000
-4136,-10000,-8890,-5118,1905,3864,-2952,-10000
-4136,-10000,-8865,-5145,1925,3889,-2926,-10000
-4136,-10000,-8840,-5171,1945,3915,-2899,-10000
-4136,-10000,-8815,-5198,1965,3942,-2872,-10000
-4136,-10000,-8791,-5225,1985,3968,-2845,-10000
-4136,-10000,-8765,-5252,2005,3996,-2818,-10000
-4136,-10000,-8738,-5280,2026,4023,-2789,-10000
-4136,-10000,-8711,-5310,2047,4051,-2760,-10000
-4136,-10000,-8683,-5340,2068,4079,-2730,-10000
-4136,-10000,-8656,-5369,2088,4108,-2701,-10000
-4136,-10000,-8630,-5397,2109,4137,-2674,-10000
-4136,-10000,-8603,-5426,2131,4167,-2645,-10000
-4136,-10000,-8576,-5455,2152,4198,-2616,-10000
-4136,-10000,-8547,-5486,2172,4229,-2586,-10000
-4136,-10000,-8519,-5516,2192,4260,-2555,-10000
-4136,-10000,-8490,-5547,2213,4292,-2523,-10000
-4136,-10000,-8461,-5578,2235,4325,-2493,-10000
-4136,-10000,-8432,-5609,2257,4359,-2462,-10000
-4136,-10000,-8403,-5640,2279,4394,-2430,-10000
-4136,-10000,-8374,-5671,2300,4429,-2401,-10000
-4136,-10000,-8344,-5703,2322,4463,-2369,-10000
-4136,-10000,-8315,-5735,2344,4499,-2337,-10000
-4136,-10000,-8284,-5768,2366,4536,-2303,-10000
-4136,-10000,-8254,-5800,2389,4573,-2271,-10000
-4136,-10000,-8223,-5833,2412,4611,-2240,-10000
-4136,-10000,-8194,-5865,2435,4649,-2208,-10000
-4136,-10000,-8164,-5897,2457,4687,-2174,-10000
-4136,-10000,-8133,-5930,2479,4725,-2142,-10000
-4136,-10000,-8102,-5964,2501,4765,-2108,-10000
-4136,-10000,-8071,-5997,2524,4806,-2076,-10000
-4136,-10000,-8040,-6030,2546,4847,-2042,-10000
-4136,-10000,-8009,-6062,2568,4889,-2010,-10000
-4136,-10000,-7979,-6095,2590,4931,-1976,-10000
-4136,-10000,-7947,-6129,2612,4974,-1944,-10000
