F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-542,-1355,188,-677,618,2023,58,-1114
-545,-1400,202,-688,616,2026,68,-1149
-548,-1443,216,-698,613,2029,78,-1181
-549,-1485,231,-708,609,2033,90,-1213
-548,-1525,246,-716,606,2037,103,-1242
-547,-1563,261,-722,603,2041,114,-1272
-546,-1600,275,-729,601,2045,125,-1297
-543,-1634,289,-735,598,2049,135,-1322
-540,-1665,302,-739,594,2052,146,-1344
-535,-1694,314,-742,590,2056,159,-1364
-531,-1720,325,-743,585,2060,166,-1383
-526,-1741,336,-744,580,2064,177,-1400
-520,-1760,346,-744,575,2067,187,-1411
-512,-1774,358,-744,571,2071,197,-1417
-504,-1784,368,-742,567,2074,208,-1422
-495,-1790,376,-738,563,2078,218,-1423
-485,-1791,383,-733,559,2083,225,-1420
-474,-1786,389,-727,554,2087,231,-1414
-461,-1778,393,-718,548,2091,239,-1406
-447,-1765,396,-709,542,2094,247,-1392
-432,-1748,399,-700,535,2098,255,-1375
-417,-1724,401,-689,529,2101,262,-1351
-402,-1695,401,-676,522,2105,267,-1324
-386,-1659,399,-662,516,2109,271,-1293
-370,-1620,396,-646,510,2112,274,-1259
-352,-1576,391,-629,505,2115,277,-1219
-334,-1526,386,-611,499,2117,279,-1178
-315,-1470,379,-592,492,2120,280,-1129
-296,-1409,370,-572,485,2124,279,-1077
-275,-1344,360,-550,478,2128,279,-1021
-255,-1273,349,-527,471,2131,275,-961
-233,-1199,337,-502,464,2133,274,-898
-211,-1119,324,-477,456,2135,271,-831
-189,-1036,308,-452,448,2138,268,-762
-166,-949,291,-426,440,2141,266,-690
-143,-858,273,-398,433,2143,260,-616
-121,-762,253,-370,427,2145,251,-538
-97,-664,232,-340,421,2146,245,-457
-73,-563,211,-311,413,2147,240,-374
-49,-461,188,-282,406,2150,230,-291
-26,-357,164,-252,399,2151,223,-207
-2,-251,138,-221,391,2153,214,-123
21,-143,112,-190,384,2154,202,-37
46,-35,86,-158,377,2156,195,48
71,73,58,-128,372,2158,186,135
94,183,31,-98,366,2159,175,223
117,292,4,-69,360,2159,166,310
139,399,-24,-39,353,2159,155,395
162,506,-53,-8,347,2160,144,479
183,612,-83,21,341,2161,131,561
204,717,-111,50,337,2162,120,643
224,820,-139,78,332,2164,107,725
244,921,-168,103,329,2165,98,804
263,1019,-197,130,326,2166,86,880
281,1114,-226,156,322,2166,74,952
299,1205,-254,182,318,2166,61,1021
314,1293,-282,207,314,2167,46,1087
329,1377,-310,228,311,2167,36,1151
344,1457,-337,248,308,2167,25,1212
356,1532,-364,267,307,2167,14,1267
366,1603,-389,285,306,2167,2,1318
375,1669,-414,303,306,2167,-12,1367
383,1729,-438,318,306,2167,-24,1409
391,1783,-461,330,305,2167,-31,1446
398,1831,-482,339,305,2167,-40,1479
402,1874,-502,348,306,2167,-48,1510
405,1913,-520,354,308,2167,-58,1536
406,1947,-539,360,310,2167,-67,1557
406,1973,-556,362,311,2167,-75,1571
404,1992,-572,362,314,2167,-83,1582
399,2006,-586,361,318,2166,-89,1588
393,2015,-599,358,322,2166,-97,1589
385,2018,-610,353,327,2166,-106,1586
376,2016,-620,345,332,2165,-112,1579
363,2007,-630,334,337,2165,-117,1568
349,1993,-638,320,342,2165,-124,1552
333,1974,-644,303,346,2166,-130,1530
317,1949,-649,285,352,2168,-130,1507
300,1919,-652,265,358,2168,-133,1480
281,1884,-655,243,365,2168,-136,1447
258,1844,-656,218,373,2168,-139,1409
233,1800,-657,190,380,2169,-142,1370
207,1753,-656,160,387,2170,-145,1331
180,1703,-653,128,395,2172,-145,1289
152,1649,-650,93,403,2172,-145,1242
123,1591,-646,54,411,2174,-141,1193
91,1529,-641,15,419,2176,-140,1143
58,1463,-634,-24,428,2178,-140,1087
24,1396,-626,-65,436,2179,-140,1032
-10,1327,-617,-108,444,2180,-136,979
-46,1257,-607,-153,452,2181,-133,924
-83,1186,-595,-201,461,2183,-130,867
-121,1113,-584,-250,470,2185,-125,811
-160,1039,-573,-301,479,2187,-119,754
-200,962,-560,-354,487,2190,-114,694
-242,885,-546,-407,496,2193,-108,634
-283,809,-531,-462,504,2196,-103,577
-325,732,-516,-517,512,2199,-97,520
-368,655,-501,-574,519,2201,-91,463
-412,578,-485,-630,527,2204,-85,405
-455,501,-469,-687,534,2207,-79,350
-498,425,-451,-744,542,2211,-70,295
-539,351,-434,-802,549,2216,-59,242
-580,277,-417,-859,556,2221,-51,191
-621,203,-400,-916,561,2225,-42,136
-663,130,-383,-973,566,2229,-35,85
-704,59,-365,-1029,571,2234,-26,34
-745,-9,-346,-1085,576,2239,-17,-12
-783,-79,-328,-1140,580,2244,-6,-59
-820,-147,-309,-1195,584,2252,6,-104
-856,-213,-291,-1248,588,2259,17,-152
-892,-277,-272,-1301,591,2266,29,-194
-926,-338,-255,-1352,593,2272,40,-234
-957,-397,-238,-1401,596,2278,52,-274
-988,-456,-221,-1447,598,2284,64,-313
-1017,-513,-204,-1492,599,2292,75,-352
-1043,-568,-187,-1534,599,2301,89,-389
-1068,-621,-170,-1575,597,2311,101,-424
-1091,-671,-155,-1614,596,2321,112,-457
-1113,-719,-141,-1651,595,2330,123,-490
-1133,-764,-128,-1686,594,2339,135,-521
-1150,-807,-113,-1718,592,2349,147,-549
-1165,-849,-100,-1747,589,2359,161,-578
-1178,-889,-87,-1773,585,2370,173,-603
-1188,-926,-75,-1797,581,2381,185,-631
-1196,-961,-64,-1818,576,2392,196,-653
-1202,-992,-53,-1836,571,2403,207,-673
-1207,-1021,-43,-1851,566,2415,218,-695
-1208,-1050,-32,-1864,560,2427,229,-714
-1206,-1076,-22,-1875,555,2439,244,-733
-1202,-1101,-14,-1882,549,2452,258,-750
-1196,-1123,-6,-1886,542,2464,269,-767
-1189,-1142,0,-1886,533,2478,279,-781
-1180,-1158,6,-1885,524,2492,288,-794
-1168,-1173,12,-1882,514,2506,300,-806
-1154,-1187,17,-1875,506,2520,310,-817
-1138,-1199,22,-1867,497,2534,322,-827
-1120,-1208,25,-1855,487,2548,333,-838
-1100,-1212,27,-1841,475,2562,343,-843
-1079,-1215,29,-1824,464,2576,351,-848
-1056,-1216,31,-1804,452,2590,358,-850
-1033,-1216,34,-1783,442,2604,367,-853
-1009,-1214,35,-1760,432,2619,372,-854
-983,-1210,34,-1733,421,2634,379,-856
-956,-1204,32,-1704,410,2650,382,-855
-928,-1196,31,-1673,397,2666,385,-855
-900,-1186,30,-1642,385,2681,389,-853
-871,-1174,29,-1610,373,2695,393,-845
-842,-1160,28,-1576,360,2708,395,-838
-811,-1145,24,-1541,347,2722,399,-833
-780,-1129,20,-1503,335,2736,397,-827
-750,-1111,17,-1464,322,2751,399,-819
-720,-1091,14,-1425,310,2766,396,-805
-690,-1069,11,-1385,297,2780,395,-793
-659,-1046,8,-1345,285,2793,394,-781
-629,-1022,4,-1303,272,2807,389,-767
-600,-998,1,-1261,260,2820,384,-751
-571,-973,-1,-1219,248,2834,382,-737
-542,-948,-5,-1177,237,2848,375,-721
-514,-921,-8,-1133,227,2861,368,-708
-487,-894,-13,-1089,215,2873,358,-690
-461,-865,-17,-1044,202,2886,347,-673
-436,-836,-21,-1000,190,2898,339,-655
-411,-808,-25,-955,178,2910,327,-636
-387,-779,-28,-912,168,2923,316,-620
-365,-749,-32,-870,159,2934,307,-599
-342,-719,-35,-828,150,2945,295,-579
-321,-690,-37,-787,141,2955,284,-559
-301,-662,-40,-745,131,2965,269,-540
-281,-634,-42,-703,121,2976,257,-522
-262,-605,-44,-661,112,2986,241,-502
-242,-575,-46,-619,104,2996,229,-482
-224,-547,-46,-579,97,3007,214,-463
-208,-520,-47,-540,90,3017,200,-443
-191,-492,-47,-501,83,3026,186,-423
-175,-465,-47,-463,76,3034,173,-404
-158,-437,-47,-425,70,3041,161,-384
-143,-411,-47,-387,64,3049,146,-365
-129,-385,-46,-350,58,3057,133,-344
-115,-360,-45,-313,53,3064,117,-327
-101,-336,-43,-278,49,3072,104,-307
-86,-311,-40,-244,45,3078,93,-288
-71,-287,-37,-211,41,3083,84,-269
-56,-264,-35,-177,36,3088,72,-251
-41,-240,-33,-143,32,3094,62,-231
-26,-217,-31,-109,29,3100,53,-214
-11,-194,-27,-77,26,3105,43,-196
3,-171,-22,-46,23,3110,36,-175
19,-149,-18,-15,20,3115,26,-156
36,-129,-15,16,18,3118,21,-141
54,-108,-11,48,15,3122,15,-125
73,-87,-7,80,13,3126,12,-107
92,-66,-2,111,11,3129,8,-87
111,-44,2,141,10,3133,4,-69
130,-23,7,170,10,3136,2,-50
151,-2,12,198,9,3138,2,-31
172,18,16,227,7,3139,2,-15
195,38,21,255,6,3141,4,1
218,57,26,284,5,3143,8,18
242,76,32,312,6,3144,9,37
268,96,37,340,6,3144,15,54
293,115,41,367,6,3144,21,72
319,134,44,393,6,3144,28,86
346,153,47,419,6,3144,37,103
375,172,51,446,6,3144,46,119
404,190,56,473,7,3144,56,135
435,208,61,499,9,3144,67,151
465,225,66,525,11,3143,79,168
495,242,71,550,12,3140,89,183
524,260,75,576,14,3137,101,198
555,279,78,601,14,3135,112,214
586,296,82,625,15,3133,125,230
617,313,85,648,16,3130,140,245
648,330,89,671,18,3127,155,260
678,346,93,693,21,3125,168,273
710,361,95,717,23,3122,183,286
741,376,97,739,24,3119,196,299
772,391,100,760,25,3114,212,312
801,407,103,780,28,3108,227,325
829,422,106,802,31,3103,238,339
856,437,109,822,34,3099,250,351
882,451,112,842,37,3095,261,363
907,465,115,861,40,3092,273,377
931,480,117,878,43,3086,284,389
954,494,119,895,46,3080,295,401
976,507,121,912,50,3073,302,412
997,520,124,928,53,3067,313,426
1016,531,126,944,56,3061,321,434
1033,542,128,958,59,3054,327,443
1048,554,130,973,63,3048,330,455
1063,564,131,986,68,3041,338,463
1076,574,133,998,72,3034,340,471
1086,584,134,1010,77,3026,340,480
1094,593,135,1022,81,3018,338,487
1099,604,137,1035,86,3011,336,498
1103,614,138,1046,90,3003,333,505
1106,623,139,1054,95,2995,328,513
1107,631,139,1062,101,2987,324,520
1105,637,139,1069,107,2978,316,523
1102,644,138,1078,112,2970,303,529
1095,649,138,1087,117,2961,290,532
1087,653,138,1094,121,2951,277,533
1076,656,137,1099,127,2941,263,537
1063,660,135,1104,133,2930,246,538
1048,664,133,1109,139,2921,225,538
1031,668,131,1113,145,2912,205,539
1013,670,128,1117,151,2902,184,539
992,672,125,1120,156,2892,157,538
969,672,120,1124,162,2881,133,535
944,672,114,1127,169,2870,102,531
917,671,108,1130,175,2860,70,523
886,670,101,1132,182,2850,37,517
852,667,93,1134,189,2840,-1,509
815,664,83,1136,196,2829,-42,500
775,661,72,1139,202,2819,-87,489
733,657,61,1142,209,2809,-136,477
690,652,49,1144,216,2798,-184,463
642,645,35,1146,223,2786,-236,446
592,638,19,1147,229,2775,-294,428
538,629,1,1148,235,2764,-352,408
481,618,-19,1149,243,2754,-416,382
420,606,-42,1151,250,2743,-485,356
356,593,-65,1152,257,2731,-557,327
287,578,-90,1155,265,2719,-636,296
214,562,-119,1156,273,2707,-717,262
135,544,-150,1159,281,2697,-808,222
53,523,-186,1162,289,2686,-904,178
-33,500,-225,1163,297,2675,-1002,128
-126,474,-266,1166,304,2663,-1109,76
-227,444,-310,1167,313,2651,-1224,18
-335,411,-357,1168,322,2640,-1347,-45
-450,373,-409,1167,332,2628,-1475,-115
-572,332,-465,1166,340,2617,-1613,-191
-702,286,-524,1165,350,2605,-1760,-275
-842,235,-587,1164,359,2594,-1917,-366
-993,177,-655,1162,368,2584,-2086,-466
-1154,112,-729,1158,377,2574,-2265,-579
-1327,38,-808,1153,386,2563,-2458,-703
-1513,-43,-894,1147,396,2553,-2663,-839
-1711,-134,-986,1139,408,2543,-2880,-985
-1923,-236,-1082,1129,419,2532,-3112,-1148
-2151,-351,-1183,1117,433,2522,-3359,-1325
-2396,-479,-1291,1103,446,2511,-3625,-1519
-2657,-621,-1407,1087,461,2500,-3907,-1732
-2936,-780,-1529,1066,475,2490,-4204,-1965
-3234,-957,-1660,1043,488,2480,-4520,-2220
-3553,-1153,-1798,1015,503,2471,-4856,-2498
-3895,-1371,-1942,982,518,2462,-5211,-2802
-4259,-1612,-2094,945,534,2453,-5589,-3134
-4648,-1879,-2252,904,551,2446,-5990,-3496
-5063,-2174,-2419,857,569,2439,-6414,-3889
-5496,-2493,-2594,805,588,2432,-6855,-4307
-5944,-2837,-2778,746,609,2425,-7307,-4758
-6425,-3220,-2970,681,630,2418,-7789,-5251
-6973,-3662,-3172,609,652,2413,-8335,-5810
-7572,-4156,-3381,529,675,2408,-8929,-6425
-8115,-4645,-3598,442,699,2404,-9461,-7036
-8455,-5051,-3823,345,725,2402,-9787,-7562
-8489,-5321,-4056,240,753,2402,-9807,-7953
-8370,-5541,-4297,126,782,2402,-9669,-8292
-8218,-5781,-4545,1,812,2402,-9492,-8651
-8052,-6051,-4801,-133,842,2403,-9298,-9045
-7899,-6370,-5066,-278,874,2406,-9107,-9492
-7727,-6721,-5337,-434,906,2410,-8890,-9971
-7523,-7100,-5616,-601,941,2415,-8641,-10000
-7296,-7514,-5902,-779,979,2422,-8368,-10000
-7049,-7969,-6194,-969,1018,2432,-8065,-10000
-6779,-8465,-6490,-1170,1058,2443,-7734,-10000
-6488,-9002,-6792,-1383,1100,2456,-7372,-10000
-6180,-9569,-7099,-1607,1143,2471,-6989,-10000
-5854,-10000,-7409,-1845,1188,2488,-6574,-10000
-5492,-10000,-7724,-2095,1235,2508,-6120,-10000
-5081,-10000,-8037,-2353,1284,2529,-5606,-10000
-4652,-10000,-8349,-2619,1334,2554,-5073,-10000
-4286,-10000,-8668,-2900,1385,2582,-4589,-10000
-4063,-10000,-9004,-3208,1437,2613,-4232,-10000
