F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
236,730,87,103,315,-2671,214,649
242,736,88,103,315,-2671,220,654
247,740,91,103,315,-2672,227,657
251,745,94,102,314,-2672,231,664
255,747,97,102,315,-2672,235,668
258,747,98,102,315,-2670,240,667
261,746,99,101,316,-2668,241,667
263,745,99,99,316,-2667,244,666
265,744,100,97,316,-2667,247,667
266,743,100,97,316,-2667,249,666
266,740,100,97,316,-2666,249,664
266,737,100,97,317,-2665,249,661
266,734,100,97,317,-2664,249,657
266,730,100,98,317,-2663,249,654
266,725,100,97,317,-2663,247,650
265,720,101,96,317,-2662,247,645
263,716,102,94,318,-2661,245,642
260,712,102,93,318,-2659,245,638
258,707,101,92,318,-2658,242,634
256,701,99,91,319,-2656,240,629
255,694,97,91,319,-2654,236,623
253,687,97,91,320,-2653,238,617
252,683,97,91,320,-2652,235,614
249,679,97,91,320,-2651,233,610
246,675,97,91,321,-2650,228,606
243,669,98,91,321,-2649,228,601
242,664,97,91,321,-2648,227,598
240,660,96,90,321,-2647,225,594
239,656,94,90,322,-2645,224,588
237,653,93,89,322,-2644,219,585
233,648,92,90,323,-2642,216,582
231,644,92,91,323,-2640,213,578
229,641,92,92,324,-2638,212,576
228,639,92,93,324,-2637,211,573
227,637,91,93,324,-2636,211,570
226,634,91,93,325,-2635,207,567
224,631,90,95,325,-2633,205,565
221,629,90,97,326,-2631,202,563
219,629,89,98,326,-2629,198,563
217,629,89,98,326,-2629,197,563
217,628,89,98,326,-2628,196,562
216,627,88,99,327,-2627,195,559
214,626,88,101,327,-2625,194,559
212,626,87,103,328,-2623,190,559
211,627,86,104,328,-2621,189,557
211,627,86,105,329,-2618,189,557
209,628,85,107,329,-2616,185,559
208,629,85,108,330,-2616,184,560
205,630,83,110,330,-2615,179,559
203,631,83,113,330,-2613,178,560
202,632,82,115,330,-2612,175,560
201,632,82,116,330,-2610,173,561
198,634,82,118,329,-2610,172,560
195,635,81,120,328,-2609,167,561
192,637,80,122,328,-2606,163,563
189,639,78,123,328,-2603,158,562
187,640,78,126,328,-2601,157,563
185,641,78,131,328,-2600,153,565
183,641,78,135,329,-2599,150,563
180,642,76,139,329,-2598,145,563
177,643,75,142,330,-2597,142,562
173,643,75,146,330,-2595,136,563
169,644,75,150,331,-2593,131,562
166,646,75,154,330,-2591,125,563
162,647,74,157,328,-2590,123,563
160,649,72,160,327,-2589,118,565
158,649,71,165,326,-2589,114,563
155,650,71,170,327,-2588,109,563
150,649,71,175,328,-2586,103,561
145,649,70,180,326,-2584,97,561
141,649,70,186,325,-2583,91,560
137,649,68,192,324,-2582,85,557
133,649,68,199,324,-2580,78,556
129,648,66,205,325,-2577,70,556
124,647,65,212,324,-2575,64,552
119,644,64,219,323,-2573,56,549
114,642,63,226,321,-2572,48,544
108,639,61,235,320,-2571,39,540
101,637,60,245,319,-2568,28,537
93,634,58,255,318,-2565,17,533
85,630,56,265,317,-2562,6,524
79,624,54,275,316,-2559,-3,518
73,618,53,285,315,-2557,-14,511
66,613,51,295,314,-2555,-24,505
58,607,48,306,312,-2553,-39,496
48,600,46,318,311,-2551,-52,487
37,593,42,332,309,-2547,-68,478
26,586,39,346,307,-2544,-85,468
15,578,36,361,304,-2541,-101,458
5,570,33,377,301,-2538,-119,448
-6,560,28,393,299,-2537,-136,433
-18,547,21,410,296,-2533,-157,418
-32,533,15,428,294,-2530,-178,400
-46,519,10,447,292,-2526,-201,383
-61,505,5,466,289,-2522,-223,365
-77,491,0,487,285,-2518,-249,349
-93,476,-6,511,281,-2515,-274,328
-109,458,-15,535,276,-2511,-302,306
-128,440,-25,561,272,-2507,-330,281
-148,420,-35,588,269,-2503,-363,257
-170,401,-46,614,265,-2498,-399,231
-193,379,-57,643,262,-2494,-432,205
-216,355,-70,673,257,-2490,-469,173
-240,329,-84,705,252,-2485,-510,140
-266,302,-99,739,246,-2480,-550,106
-293,274,-115,774,240,-2475,-593,69
-322,243,-133,811,233,-2470,-639,29
-353,211,-152,850,227,-2464,-688,-12
-386,177,-173,891,220,-2459,-740,-56
-420,142,-196,932,213,-2454,-795,-102
-457,106,-220,975,205,-2450,-853,-148
-496,68,-245,1020,196,-2446,-913,-198
-537,27,-274,1067,186,-2441,-977,-251
-581,-17,-304,1117,177,-2435,-1044,-310
-628,-64,-338,1168,167,-2429,-1118,-372
-680,-113,-374,1222,157,-2423,-1196,-437
-734,-163,-413,1277,145,-2418,-1279,-504
-791,-217,-455,1334,134,-2412,-1364,-576
-852,-275,-499,1393,121,-2408,-1456,-653
-917,-337,-546,1455,108,-2404,-1551,-733
-987,-402,-597,1519,93,-2400,-1655,-819
-1061,-471,-652,1584,77,-2396,-1763,-911
-1140,-546,-711,1652,61,-2390,-1878,-1008
-1225,-625,-775,1721,46,-2385,-2000,-1112
-1317,-708,-842,1793,29,-2381,-2130,-1220
-1414,-798,-914,1866,10,-2378,-2268,-1336
-1518,-893,-992,1941,-9,-2374,-2412,-1460
-1629,-995,-1073,2017,-30,-2370,-2565,-1590
-1749,-1103,-1160,2095,-51,-2367,-2728,-1727
-1877,-1218,-1253,2175,-73,-2365,-2901,-1876
-2014,-1342,-1352,2256,-96,-2364,-3086,-2031
-2162,-1476,-1457,2339,-119,-2363,-3281,-2199
-2320,-1620,-1569,2422,-144,-2362,-3486,-2379
-2488,-1776,-1687,2507,-170,-2361,-3706,-2570
-2668,-1943,-1814,2592,-197,-2361,-3936,-2774
-2861,-2122,-1946,2677,-225,-2361,-4182,-2990
-3068,-2315,-2086,2763,-253,-2362,-4441,-3222
-3290,-2523,-2233,2849,-283,-2364,-4716,-3470
-3529,-2747,-2388,2933,-315,-2367,-5008,-3731
-3783,-2989,-2553,3016,-349,-2372,-5317,-4013
-4055,-3250,-2726,3097,-384,-2378,-5642,-4316
-4346,-3533,-2908,3178,-419,-2384,-5988,-4638
-4659,-3840,-3099,3258,-455,-2391,-6356,-4984
-4993,-4172,-3300,3335,-491,-2400,-6745,-5356
-5347,-4524,-3512,3411,-530,-2409,-7153,-5748
-5720,-4893,-3734,3483,-571,-2421,-7580,-6158
-6124,-5304,-3966,3550,-613,-2433,-8038,-6606
-6573,-5784,-4208,3614,-655,-2448,-8539,-7115
-7055,-6308,-4460,3672,-699,-2464,-9068,-7666
-7511,-6769,-4724,3724,-743,-2482,-9176,-8183
-7878,-7039,-4999,3771,-789,-2500,-9186,-8417
-8119,-7047,-5286,3811,-837,-2522,-9186,-8417
-8311,-6946,-5584,3845,-884,-2546,-9186,-8417
-8499,-6820,-5895,3871,-933,-2572,-9186,-8417
-8699,-6705,-6216,3888,-983,-2600,-9186,-8417
-8917,-6610,-6549,3897,-1034,-2629,-9186,-8417
-9139,-6508,-6893,3897,-1087,-2661,-9186,-8417
-9361,-6394,-7250,3888,-1140,-2697,-9186,-8417
-9587,-6275,-7619,3867,-1194,-2737,-9186,-8417
-9817,-6155,-7999,3834,-1250,-2778,-9186,-8417
-10000,-6034,-8391,3788,-1306,-2820,-9186,-8417
-10000,-5913,-8794,3731,-1362,-2865,-9186,-8417
-10000,-5792,-9207,3662,-1419,-2914,-9186,-8417
-10000,-5671,-9626,3582,-1476,-2966,-9186,-8417
-10000,-5551,-10000,3491,-1535,-3021,-9186,-8417
-10000,-5432,-10000,3382,-1594,-3080,-9186,-8417
-10000,-5315,-10000,3248,-1654,-3141,-9186,-8417
-10000,-5202,-10000,3097,-1713,-3204,-9186,-8417
-10000,-5091,-10000,2962,-1774,-3270,-9186,-8417
-10000,-4983,-10000,2880,-1835,-3340,-9186,-8417
-10000,-4879,-10000,2873,-1896,-3413,-9186,-8417
-10000,-4780,-10000,2887,-1957,-3489,-9183,-8369
-10000,-4687,-10000,2897,-2018,-3568,-9179,-8290
-10000,-4600,-10000,2892,-2080,-3648,-9177,-8211
-10000,-4519,-10000,2869,-2141,-3731,-9173,-8136
-10000,-4442,-10000,2836,-2203,-3817,-9170,-8061
-10000,-4370,-10000,2796,-2265,-3907,-9167,-7989
-10000,-4308,-10000,2744,-2326,-4000,-9164,-7926
-10000,-4266,-10000,2682,-2386,-4096,-9162,-7877
-10000,-4248,-10000,2609,-2445,-4191,-9161,-7845
-10000,-4246,-10000,2525,-2502,-4287,-9160,-7829
-10000,-4250,-10000,2430,-2558,-4384,-9159,-7813
-10000,-4252,-10000,2325,-2613,-4485,-9159,-7793
