F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-1388,-2439,-585,-427,0,-1125,-1137,-2708
-1364,-2383,-576,-419,0,-1128,-1118,-2649
-1341,-2327,-568,-411,0,-1131,-1101,-2590
-1319,-2271,-559,-401,0,-1135,-1085,-2531
-1297,-2215,-550,-391,-1,-1139,-1070,-2471
-1274,-2161,-541,-381,-1,-1142,-1053,-2414
-1251,-2110,-534,-373,-1,-1146,-1037,-2359
-1228,-2059,-526,-365,-1,-1149,-1019,-2305
-1206,-2009,-519,-358,-2,-1153,-1004,-2252
-1185,-1959,-511,-350,-2,-1157,-987,-2199
-1163,-1911,-503,-341,-2,-1160,-970,-2148
-1142,-1866,-495,-333,-2,-1163,-955,-2099
-1121,-1821,-487,-325,-2,-1166,-939,-2052
-1100,-1776,-479,-317,-3,-1170,-926,-2004
-1080,-1731,-472,-309,-3,-1174,-910,-1955
-1060,-1687,-466,-302,-3,-1178,-894,-1909
-1040,-1645,-458,-295,-3,-1181,-878,-1864
-1020,-1605,-451,-289,-3,-1185,-864,-1820
-1001,-1565,-444,-281,-4,-1188,-852,-1777
-983,-1526,-438,-274,-4,-1192,-837,-1737
-964,-1487,-431,-267,-4,-1196,-823,-1695
-946,-1449,-425,-260,-4,-1199,-809,-1655
-927,-1412,-418,-252,-4,-1201,-795,-1615
-908,-1375,-411,-245,-5,-1204,-782,-1574
-891,-1339,-406,-238,-5,-1207,-769,-1538
-874,-1304,-400,-233,-5,-1212,-756,-1499
-858,-1270,-394,-228,-5,-1216,-743,-1462
-841,-1237,-387,-223,-6,-1219,-731,-1427
-825,-1205,-381,-218,-6,-1222,-716,-1391
-809,-1174,-375,-213,-5,-1225,-704,-1358
-793,-1144,-369,-207,-6,-1228,-692,-1324
-777,-1114,-363,-201,-8,-1232,-679,-1293
-761,-1084,-357,-195,-10,-1235,-667,-1261
-746,-1054,-352,-189,-12,-1238,-656,-1228
-731,-1026,-348,-185,-11,-1241,-645,-1198
-717,-998,-342,-180,-10,-1245,-633,-1169
-704,-973,-336,-176,-10,-1247,-623,-1140
-690,-948,-330,-170,-10,-1250,-612,-1112
-676,-924,-324,-164,-12,-1252,-603,-1086
-663,-900,-319,-159,-13,-1254,-593,-1062
-650,-877,-315,-155,-13,-1257,-581,-1036
-637,-854,-311,-152,-13,-1261,-572,-1011
-625,-833,-307,-149,-13,-1264,-560,-987
-612,-811,-303,-145,-13,-1267,-551,-963
-600,-791,-297,-140,-14,-1270,-543,-942
-589,-770,-292,-137,-14,-1272,-532,-919
-577,-751,-287,-134,-14,-1274,-522,-897
-566,-734,-282,-133,-14,-1275,-511,-876
-555,-716,-278,-131,-14,-1277,-501,-855
-544,-698,-274,-128,-14,-1279,-494,-837
-533,-681,-270,-125,-14,-1281,-483,-817
-522,-665,-267,-122,-16,-1284,-476,-802
-511,-651,-263,-118,-18,-1286,-466,-784
-502,-636,-260,-115,-19,-1288,-458,-769
-492,-621,-255,-112,-20,-1290,-450,-751
-484,-607,-250,-110,-20,-1291,-443,-734
-475,-593,-246,-108,-20,-1293,-434,-719
-466,-580,-242,-107,-20,-1296,-427,-705
-458,-567,-239,-105,-20,-1298,-418,-688
-450,-554,-237,-103,-20,-1299,-413,-676
-442,-542,-235,-101,-20,-1300,-406,-664
-435,-530,-233,-99,-20,-1301,-400,-649
-426,-519,-230,-97,-21,-1302,-394,-637
-419,-508,-226,-94,-21,-1304,-388,-623
-412,-497,-222,-92,-21,-1306,-380,-612
-407,-487,-218,-90,-21,-1308,-375,-599
-401,-476,-215,-89,-20,-1309,-371,-588
-395,-466,-213,-87,-21,-1310,-366,-576
-389,-455,-209,-86,-22,-1311,-360,-565
-382,-446,-207,-84,-24,-1312,-356,-552
-374,-437,-204,-82,-25,-1313,-349,-543
-367,-427,-202,-79,-24,-1314,-341,-531
-360,-419,-200,-78,-25,-1315,-338,-522
-355,-410,-198,-77,-26,-1317,-333,-512
-350,-402,-196,-75,-26,-1319,-328,-505
-344,-394,-193,-72,-26,-1319,-323,-494
-339,-385,-191,-70,-26,-1319,-321,-485
-333,-377,-188,-68,-26,-1320,-316,-474
-328,-368,-186,-68,-26,-1322,-311,-465
-323,-361,-183,-69,-27,-1324,-303,-455
-318,-354,-181,-69,-27,-1324,-299,-449
-313,-348,-180,-68,-27,-1324,-294,-443
-309,-342,-179,-67,-27,-1323,-290,-435
-306,-335,-177,-66,-27,-1323,-288,-427
-302,-328,-176,-65,-26,-1325,-286,-419
-298,-321,-174,-63,-27,-1327,-283,-412
-294,-316,-172,-61,-27,-1328,-279,-406
-289,-311,-170,-60,-27,-1329,-274,-399
-284,-306,-168,-59,-27,-1329,-269,-394
-279,-300,-165,-60,-26,-1329,-266,-385
-275,-295,-163,-60,-27,-1328,-261,-380
-271,-291,-162,-59,-28,-1328,-258,-375
-268,-288,-161,-58,-30,-1328,-255,-371
-265,-285,-160,-58,-32,-1329,-251,-367
-261,-280,-159,-57,-32,-1331,-247,-362
-257,-275,-159,-56,-32,-1333,-244,-356
-252,-270,-157,-55,-32,-1333,-239,-351
-246,-265,-156,-56,-32,-1333,-234,-346
-242,-262,-154,-57,-32,-1333,-230,-340
-239,-258,-151,-57,-32,-1333,-225,-334
-238,-254,-149,-55,-32,-1333,-227,-330
-236,-251,-147,-53,-32,-1333,-224,-327
-234,-248,-146,-52,-32,-1333,-223,-324
-230,-244,-145,-53,-32,-1333,-219,-321
-227,-240,-143,-54,-32,-1333,-213,-313
-223,-236,-140,-54,-32,-1333,-209,-308
-222,-232,-139,-53,-32,-1333,-208,-302
-220,-228,-139,-53,-32,-1333,-207,-299
-218,-224,-140,-53,-32,-1333,-206,-295
-215,-220,-139,-53,-32,-1333,-203,-290
-213,-216,-138,-52,-32,-1333,-201,-286
-211,-213,-137,-51,-32,-1333,-198,-283
-210,-209,-136,-50,-32,-1333,-200,-279
-208,-205,-135,-50,-34,-1333,-198,-275
-206,-202,-133,-50,-35,-1334,-195,-269
-204,-199,-132,-49,-36,-1337,-192,-267
-201,-198,-130,-49,-36,-1338,-190,-264
-199,-195,-129,-50,-36,-1337,-187,-260
-198,-192,-129,-50,-36,-1334,-186,-257
-197,-189,-128,-50,-37,-1333,-186,-253
-196,-186,-126,-48,-37,-1333,-185,-250
-194,-184,-125,-48,-37,-1336,-184,-249
-192,-182,-125,-47,-37,-1338,-181,-246
-191,-180,-124,-46,-37,-1338,-180,-244
-190,-177,-122,-45,-37,-1336,-180,-239
-189,-175,-122,-44,-37,-1334,-181,-238
-187,-174,-121,-44,-37,-1334,-179,-236
-184,-173,-120,-45,-37,-1335,-174,-234
-182,-172,-119,-47,-36,-1336,-172,-233
-181,-169,-118,-48,-36,-1336,-168,-228
-180,-167,-117,-47,-35,-1337,-168,-225
-180,-165,-115,-46,-36,-1337,-170,-224
-177,-163,-115,-44,-37,-1338,-168,-222
-175,-162,-114,-44,-37,-1337,-166,-220
-173,-161,-113,-46,-37,-1337,-161,-217
-170,-160,-112,-47,-37,-1337,-158,-216
-169,-159,-111,-49,-37,-1337,-155,-214
-166,-158,-111,-49,-37,-1338,-152,-213
-165,-157,-111,-48,-37,-1337,-151,-213
-164,-157,-112,-48,-37,-1337,-150,-212
-162,-155,-111,-48,-37,-1338,-148,-211
-160,-153,-110,-50,-37,-1337,-146,-206
-159,-151,-109,-50,-37,-1337,-146,-203
-159,-148,-109,-51,-37,-1337,-144,-201
-159,-147,-109,-51,-37,-1338,-144,-200
-158,-146,-109,-51,-37,-1338,-142,-198
-157,-144,-107,-51,-38,-1337,-141,-197
-157,-143,-107,-51,-39,-1337,-141,-196
-156,-142,-107,-51,-39,-1337,-141,-195
-155,-141,-106,-51,-39,-1337,-140,-191
-154,-140,-106,-50,-37,-1338,-139,-190
-152,-140,-104,-49,-37,-1337,-140,-190
-152,-140,-104,-49,-39,-1337,-136,-190
-152,-140,-104,-49,-41,-1338,-137,-190
-153,-140,-104,-49,-42,-1339,-137,-190
-153,-140,-104,-49,-41,-1339,-137,-190
-152,-139,-104,-49,-40,-1339,-140,-190
-152,-139,-104,-49,-40,-1339,-137,-190
-152,-139,-104,-50,-40,-1340,-137,-190
-152,-139,-102,-52,-41,-1342,-135,-189
-152,-139,-100,-52,-42,-1343,-135,-186
-152,-139,-98,-51,-42,-1343,-135,-186
-152,-139,-97,-50,-41,-1342,-137,-187
-152,-139,-97,-49,-39,-1342,-137,-187
-152,-139,-97,-50,-39,-1342,-137,-187
-152,-139,-98,-50,-40,-1344,-137,-187
-152,-139,-97,-50,-40,-1346,-137,-187
-152,-139,-97,-50,-40,-1347,-137,-187
-152,-139,-97,-50,-39,-1348,-137,-187
-152,-139,-97,-50,-39,-1347,-137,-187
-152,-139,-97,-50,-39,-1347,-137,-187
-152,-139,-97,-50,-38,-1347,-137,-187
-152,-139,-97,-50,-37,-1348,-137,-187
-152,-140,-97,-50,-38,-1348,-137,-187
-152,-140,-97,-50,-39,-1351,-137,-187
-152,-140,-97,-50,-40,-1352,-137,-187
-152,-139,-97,-50,-39,-1352,-137,-187
-153,-139,-97,-50,-39,-1352,-137,-186
-152,-140,-97,-50,-39,-1351,-135,-187
-152,-141,-96,-51,-39,-1352,-134,-186
-151,-143,-96,-52,-39,-1353,-133,-187
-150,-144,-95,-52,-40,-1355,-133,-189
-150,-144,-94,-53,-42,-1357,-130,-189
-150,-144,-95,-54,-43,-1357,-130,-189
-150,-144,-97,-56,-44,-1357,-130,-189
-149,-145,-98,-56,-43,-1357,-129,-190
-148,-147,-98,-57,-43,-1356,-128,-191
-148,-148,-98,-57,-43,-1356,-128,-192
-148,-148,-98,-57,-43,-1356,-126,-194
-148,-148,-98,-57,-43,-1357,-128,-194
-148,-148,-98,-56,-43,-1358,-128,-192
-148,-148,-98,-56,-42,-1360,-128,-192
-147,-148,-98,-57,-41,-1360,-126,-192
-146,-148,-97,-57,-42,-1360,-123,-194
-145,-151,-96,-59,-43,-1360,-122,-195
-145,-152,-95,-60,-44,-1361,-120,-194
-146,-153,-94,-61,-44,-1362,-120,-195
-146,-153,-95,-60,-43,-1362,-123,-195
-146,-152,-96,-59,-42,-1362,-123,-197
-145,-152,-96,-59,-41,-1362,-123,-197
-146,-152,-96,-59,-41,-1362,-123,-197
-147,-153,-95,-60,-42,-1362,-124,-196
-149,-154,-95,-60,-43,-1362,-124,-196
-150,-155,-95,-60,-42,-1362,-124,-197
-151,-155,-95,-60,-41,-1362,-125,-197
-150,-155,-95,-60,-39,-1362,-128,-197
-150,-155,-95,-60,-38,-1362,-126,-197
-150,-155,-95,-60,-39,-1362,-124,-197
-150,-155,-95,-60,-40,-1362,-124,-197
-150,-155,-95,-60,-43,-1362,-124,-197
-150,-155,-95,-61,-43,-1362,-124,-197
-150,-155,-95,-61,-42,-1362,-124,-197
-150,-155,-95,-60,-41,-1361,-126,-197
-150,-155,-94,-60,-39,-1360,-124,-197
-150,-154,-93,-59,-39,-1360,-128,-196
-150,-155,-93,-58,-40,-1360,-126,-197
-149,-156,-93,-58,-40,-1360,-126,-198
