F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4134,-10000,-3238,-4699,3286,9815,-1577,-10000
-4126,-10000,-2883,-4184,3163,9822,-1829,-10000
-4155,-10000,-2554,-3692,3040,9830,-2110,-10000
-4539,-10000,-2246,-3222,2920,9837,-2738,-10000
-5253,-10000,-1969,-2785,2804,9844,-3681,-10000
-5989,-10000,-1724,-2382,2692,9851,-4630,-10000
-6614,-8859,-1508,-2016,2587,9858,-5464,-9464
-6535,-7747,-1321,-1688,2488,9864,-5583,-8304
-5834,-6641,-1161,-1398,2395,9869,-5061,-7148
-4862,-5575,-1026,-1144,2311,9875,-4248,-6036
-4008,-4685,-917,-926,2234,9880,-3534,-5108
-3447,-4054,-829,-741,2164,9884,-3089,-4453
-3123,-3643,-760,-589,2103,9887,-2861,-4027
-2912,-3368,-710,-466,2049,9891,-2728,-3741
-2746,-3181,-673,-370,2004,9894,-2620,-3551
-2618,-3071,-649,-298,1965,9896,-2539,-3436
-2529,-3025,-634,-247,1933,9898,-2482,-3391
-2465,-3026,-626,-215,1907,9899,-2441,-3391
-2424,-3061,-623,-199,1887,9901,-2408,-3425
-2398,-3118,-625,-198,1873,9902,-2381,-3485
-2383,-3187,-629,-206,1863,9902,-2360,-3553
-2377,-3258,-635,-222,1858,9902,-2346,-3624
-2374,-3323,-640,-243,1857,9902,-2327,-3690
-2372,-3377,-645,-269,1858,9902,-2307,-3742
-2367,-3412,-648,-297,1863,9902,-2282,-3772
-2356,-3425,-648,-325,1870,9902,-2252,-3780
-2338,-3415,-644,-354,1878,9901,-2211,-3762
-2311,-3381,-637,-381,1886,9901,-2165,-3718
-2274,-3321,-628,-405,1896,9900,-2108,-3647
-2227,-3236,-616,-426,1906,9899,-2045,-3551
-2169,-3127,-600,-442,1915,9899,-1973,-3429
-2102,-2997,-581,-454,1924,9898,-1894,-3285
-2027,-2851,-560,-459,1932,9898,-1811,-3122
-1943,-2691,-535,-459,1938,9898,-1723,-2949
-1851,-2520,-509,-455,1944,9897,-1630,-2761
-1753,-2338,-482,-447,1950,9897,-1533,-2563
-1652,-2151,-453,-435,1955,9897,-1435,-2360
-1549,-1962,-422,-419,1958,9896,-1339,-2154
-1445,-1775,-391,-401,1959,9896,-1243,-1951
-1341,-1592,-360,-378,1960,9896,-1147,-1751
-1238,-1416,-330,-354,1959,9896,-1057,-1562
-1135,-1247,-300,-328,1957,9896,-968,-1379
-1037,-1088,-272,-301,1955,9896,-882,-1207
-944,-940,-245,-273,1952,9897,-804,-1047
-857,-805,-220,-245,1948,9897,-731,-902
-776,-685,-195,-216,1943,9897,-667,-770
-701,-579,-174,-189,1937,9898,-606,-655
-633,-486,-155,-162,1930,9898,-552,-556
-572,-406,-138,-137,1925,9898,-509,-471
-518,-338,-123,-112,1920,9898,-467,-397
-470,-284,-109,-90,1916,9899,-433,-338
-428,-241,-96,-69,1911,9899,-401,-291
-392,-208,-85,-50,1904,9900,-378,-253
-363,-184,-76,-33,1897,9900,-358,-229
-340,-169,-70,-19,1891,9900,-344,-212
-322,-161,-65,-7,1887,9901,-333,-203
-308,-159,-62,2,1885,9901,-324,-202
-298,-162,-59,11,1882,9901,-322,-203
-292,-167,-57,18,1878,9901,-318,-209
-289,-176,-54,23,1875,9901,-319,-218
-288,-186,-54,28,1873,9902,-321,-228
-287,-197,-54,31,1872,9902,-322,-239
-288,-207,-56,32,1870,9902,-323,-251
-290,-215,-58,32,1868,9902,-325,-260
-292,-222,-58,30,1867,9902,-327,-267
-295,-228,-58,27,1866,9902,-327,-273
-296,-233,-59,25,1866,9902,-328,-278
-298,-236,-60,23,1867,9902,-327,-280
-298,-236,-61,21,1868,9902,-328,-281
-298,-234,-61,18,1870,9902,-324,-279
-297,-228,-61,16,1872,9902,-322,-273
-296,-219,-61,13,1872,9902,-321,-264
-292,-209,-60,10,1872,9902,-314,-251
-287,-198,-59,7,1872,9902,-305,-240
-280,-186,-57,4,1873,9902,-296,-225
-272,-173,-56,2,1875,9901,-289,-209
-264,-157,-54,1,1877,9901,-278,-194
-257,-140,-51,0,1877,9901,-268,-174
-249,-122,-48,0,1877,9901,-261,-155
-241,-105,-46,0,1876,9901,-251,-136
-231,-88,-43,0,1876,9901,-241,-117
-220,-72,-40,0,1878,9901,-230,-101
-208,-57,-36,1,1880,9901,-219,-83
-198,-41,-33,3,1881,9901,-209,-64
-190,-26,-30,4,1880,9901,-201,-50
-181,-12,-27,5,1879,9901,-194,-32
-172,1,-24,6,1878,9901,-184,-15
-162,13,-20,7,1878,9901,-174,-1
-152,24,-17,10,1878,9901,-164,9
-143,33,-14,13,1877,9901,-158,20
-135,40,-11,15,1876,9901,-150,28
-128,46,-10,17,1876,9901,-144,34
-122,52,-8,18,1877,9901,-140,42
-116,58,-6,21,1877,9901,-134,48
-109,63,-3,24,1876,9901,-130,53
-103,67,-2,27,1877,9901,-123,57
-98,69,-1,29,1877,9901,-120,63
-94,71,0,32,1877,9901,-118,64
-91,72,0,34,1876,9901,-117,65
-89,74,2,36,1875,9901,-114,67
-86,75,3,37,1875,9901,-112,68
-85,76,4,37,1875,9901,-111,69
-84,76,4,38,1875,9902,-113,69
-83,77,6,39,1873,9902,-112,73
-82,78,7,40,1872,9902,-109,73
-79,79,8,41,1871,9902,-107,74
-78,79,8,41,1872,9902,-107,75
-79,81,8,41,1872,9902,-107,76
-79,83,8,41,1872,9902,-107,79
-77,86,8,41,1872,9902,-106,81
-75,86,8,41,1872,9902,-103,83
-74,87,8,41,1872,9902,-102,84
-72,88,8,41,1872,9902,-101,84
-72,90,8,41,1872,9902,-100,85
-72,92,8,41,1872,9902,-100,89
-71,95,8,41,1872,9902,-100,91
-68,97,8,41,1872,9902,-97,93
-66,101,8,41,1872,9902,-95,96
-65,103,9,39,1872,9902,-93,100
-63,106,10,38,1872,9902,-90,104
-62,109,11,38,1872,9902,-89,107
-59,111,11,39,1872,9902,-86,109
-56,113,11,40,1872,9902,-83,112
-54,116,11,39,1872,9902,-81,114
-53,119,13,39,1872,9902,-80,118
-52,121,14,39,1872,9902,-79,119
-50,122,14,41,1872,9902,-76,120
-47,124,14,43,1872,9902,-76,123
-45,126,14,42,1872,9902,-74,125
-43,130,14,41,1872,9902,-69,129
-43,132,14,40,1872,9902,-69,133
-43,132,15,41,1872,9902,-69,134
-42,132,16,42,1872,9902,-68,134
-39,133,17,43,1872,9902,-69,135
-37,134,18,44,1872,9902,-65,136
-35,136,19,44,1872,9902,-64,137
-35,137,18,44,1872,9902,-64,139
-35,140,18,44,1872,9902,-64,141
-35,141,18,44,1872,9902,-64,142
-33,143,18,43,1872,9902,-63,144
-32,143,18,44,1872,9902,-62,145
-31,143,19,45,1872,9902,-61,145
-30,144,21,46,1872,9902,-59,147
-28,144,22,47,1872,9902,-58,148
-28,145,22,47,1872,9902,-57,150
-28,146,22,47,1872,9902,-58,150
-29,148,22,47,1872,9902,-58,152
-28,150,22,47,1872,9902,-58,153
-27,151,22,47,1872,9902,-56,156
-25,152,22,47,1872,9902,-54,156
-25,152,22,47,1872,9902,-54,156
-25,152,22,47,1872,9902,-54,156
-24,153,23,46,1872,9902,-54,157
-23,153,24,47,1872,9902,-52,157
-21,154,25,48,1872,9902,-51,158
-21,154,25,50,1872,9902,-53,158
-21,154,26,51,1872,9902,-53,158
-22,155,26,50,1872,9902,-54,162
-23,157,26,49,1872,9902,-52,164
-22,159,26,47,1872,9902,-52,166
-21,160,27,46,1872,9902,-48,167
-19,161,28,46,1872,9902,-47,167
-19,161,28,46,1872,9902,-46,167
-19,161,29,47,1872,9902,-46,167
-18,161,29,47,1872,9902,-45,168
-16,162,28,47,1872,9902,-43,169
-14,163,28,47,1872,9902,-42,169
-14,163,28,47,1872,9902,-42,169
-15,163,29,47,1872,9902,-42,169
-15,163,29,47,1872,9902,-42,169
-14,163,29,46,1872,9902,-41,173
-11,165,29,47,1872,9902,-39,172
-10,165,28,48,1872,9902,-40,172
-10,166,26,50,1872,9902,-40,172
-10,165,25,51,1872,9902,-42,169
-11,165,25,51,1872,9902,-43,169
