F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-3129,-4219,-831,-714,2356,9872,-2785,-4603
-3061,-4115,-813,-696,2352,9872,-2727,-4491
-2996,-4014,-797,-679,2348,9873,-2670,-4381
-2933,-3916,-781,-662,2344,9873,-2619,-4277
-2872,-3821,-766,-645,2339,9873,-2568,-4177
-2812,-3729,-750,-627,2334,9873,-2517,-4076
-2754,-3638,-733,-610,2330,9873,-2468,-3979
-2696,-3549,-717,-594,2326,9874,-2417,-3883
-2639,-3462,-701,-580,2323,9874,-2368,-3790
-2582,-3378,-686,-566,2320,9874,-2318,-3697
-2528,-3296,-671,-553,2316,9874,-2270,-3610
-2474,-3217,-657,-539,2312,9875,-2222,-3525
-2421,-3139,-644,-525,2308,9875,-2179,-3441
-2370,-3062,-631,-510,2305,9875,-2136,-3359
-2321,-2988,-618,-495,2302,9875,-2093,-3280
-2274,-2917,-604,-482,2299,9876,-2053,-3203
-2228,-2848,-590,-470,2297,9876,-2013,-3128
-2182,-2780,-578,-459,2294,9876,-1972,-3054
-2136,-2713,-567,-448,2292,9876,-1933,-2982
-2091,-2647,-556,-436,2289,9876,-1894,-2910
-2049,-2583,-544,-422,2286,9876,-1861,-2844
-2009,-2522,-533,-410,2283,9877,-1827,-2777
-1969,-2462,-521,-399,2281,9877,-1793,-2711
-1930,-2404,-510,-389,2279,9877,-1757,-2647
-1891,-2346,-499,-379,2276,9877,-1724,-2586
-1853,-2289,-489,-369,2273,9877,-1689,-2524
-1815,-2234,-480,-360,2271,9877,-1657,-2467
-1778,-2182,-470,-351,2269,9877,-1624,-2408
-1743,-2131,-460,-343,2268,9877,-1595,-2352
-1709,-2081,-450,-333,2265,9877,-1564,-2298
-1677,-2031,-441,-322,2263,9878,-1538,-2243
-1645,-1981,-433,-312,2261,9878,-1512,-2191
-1613,-1933,-425,-303,2260,9878,-1485,-2141
-1581,-1887,-418,-296,2258,9878,-1457,-2091
-1551,-1842,-410,-289,2257,9878,-1430,-2043
-1521,-1798,-402,-281,2255,9878,-1406,-1997
-1492,-1755,-393,-273,2253,9878,-1380,-1948
-1462,-1713,-385,-266,2251,9878,-1353,-1903
-1433,-1672,-378,-259,2248,9879,-1328,-1860
-1405,-1633,-371,-252,2245,9879,-1302,-1817
-1378,-1594,-364,-246,2243,9879,-1279,-1776
-1352,-1555,-357,-239,2242,9879,-1257,-1732
-1327,-1517,-350,-233,2242,9879,-1234,-1690
-1302,-1481,-342,-226,2242,9879,-1215,-1651
-1278,-1445,-335,-219,2240,9879,-1193,-1613
-1254,-1411,-328,-213,2237,9879,-1174,-1577
-1231,-1378,-322,-207,2234,9880,-1153,-1540
-1208,-1346,-316,-201,2232,9880,-1131,-1505
-1186,-1314,-310,-196,2231,9880,-1112,-1470
-1164,-1282,-305,-190,2231,9880,-1093,-1436
-1143,-1250,-298,-185,2229,9880,-1075,-1401
-1121,-1221,-292,-179,2228,9880,-1057,-1369
-1101,-1191,-286,-174,2227,9880,-1038,-1336
-1080,-1162,-281,-168,2227,9880,-1021,-1304
-1061,-1133,-275,-163,2226,9880,-1005,-1275
-1042,-1106,-270,-158,2225,9880,-987,-1246
-1023,-1080,-264,-155,2222,9880,-970,-1217
