F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-54,303,37,88,-91,1321,-111,306
-52,303,37,88,-90,1322,-109,306
-51,304,38,89,-90,1324,-108,307
-51,304,39,90,-90,1326,-109,310
-50,303,41,91,-90,1326,-109,308
-50,301,42,91,-90,1326,-108,306
-50,298,43,90,-90,1327,-106,303
-50,295,43,89,-90,1329,-107,301
-51,292,42,88,-90,1330,-108,297
-52,287,41,86,-90,1331,-106,292
-52,281,40,85,-89,1331,-106,288
-52,276,40,84,-88,1330,-106,281
-53,269,40,84,-86,1330,-107,275
-54,264,42,84,-84,1330,-107,269
-55,259,43,82,-84,1330,-106,267
-57,253,43,80,-84,1330,-106,262
-59,246,42,79,-85,1330,-107,253
-60,239,41,76,-84,1330,-106,247
-62,231,41,74,-84,1330,-108,239
-66,224,41,72,-85,1330,-109,231
-69,217,40,71,-85,1330,-112,224
-73,210,39,70,-84,1330,-115,218
-75,203,38,68,-83,1330,-115,211
-78,196,37,67,-81,1330,-118,203
-81,188,38,64,-79,1331,-119,196
-84,180,37,62,-79,1332,-122,187
-88,172,36,60,-79,1331,-123,179
-92,165,35,57,-80,1330,-124,173
-95,159,34,54,-80,1330,-128,166
-98,152,33,52,-79,1330,-128,159
-99,146,33,50,-79,1330,-129,153
-101,139,32,48,-79,1330,-128,146
-103,132,32,45,-79,1330,-128,140
-108,127,31,43,-80,1330,-131,134
-112,121,30,41,-80,1330,-134,128
-116,114,28,39,-79,1330,-139,122
-118,108,27,36,-78,1330,-137,115
-119,102,26,34,-76,1330,-137,109
-120,98,26,31,-75,1330,-136,106
-122,94,26,28,-74,1330,-136,102
-125,91,26,27,-75,1330,-139,98
-128,88,25,24,-75,1330,-140,95
-130,84,25,21,-75,1330,-139,91
-130,81,24,18,-75,1330,-137,89
-132,79,24,14,-75,1330,-136,89
-133,76,24,11,-75,1330,-134,86
-133,74,23,8,-75,1330,-135,84
-134,72,22,6,-75,1330,-133,83
-134,69,22,2,-75,1330,-131,79
-135,67,22,0,-75,1330,-129,78
