F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-2913,-7694,-1283,-1243,32,790,-2736,-9772
-2848,-7450,-1257,-1207,35,795,-2684,-9471
-2782,-7204,-1231,-1170,39,800,-2630,-9166
-2715,-6957,-1204,-1135,42,804,-2576,-8862
-2647,-6711,-1177,-1099,45,808,-2520,-8556
-2579,-6466,-1149,-1063,48,810,-2464,-8252
-2510,-6223,-1121,-1026,50,813,-2407,-7950
-2441,-5982,-1093,-989,53,816,-2352,-7650
-2372,-5742,-1066,-953,55,820,-2292,-7353
-2304,-5506,-1037,-919,58,823,-2236,-7058
-2235,-5272,-1010,-885,61,826,-2176,-6767
-2166,-5042,-984,-851,64,828,-2119,-6484
-2097,-4815,-957,-817,66,831,-2058,-6201
-2029,-4592,-931,-784,68,833,-2002,-5923
-1962,-4372,-903,-749,71,835,-1943,-5649
-1894,-4157,-874,-715,74,838,-1888,-5381
-1827,-3948,-846,-683,76,840,-1828,-5119
-1761,-3744,-819,-653,79,841,-1768,-4862
-1697,-3546,-792,-624,80,842,-1710,-4614
-1633,-3353,-766,-595,82,845,-1652,-4372
-1570,-3166,-741,-565,84,847,-1599,-4137
-1506,-2984,-716,-536,86,849,-1540,-3911
-1442,-2808,-691,-509,90,850,-1481,-3690
-1380,-2636,-666,-483,92,850,-1423,-3474
-1320,-2469,-640,-458,94,851,-1367,-3260
-1263,-2309,-616,-434,96,853,-1313,-3057
-1206,-2155,-592,-410,97,854,-1259,-2863
-1149,-2008,-569,-386,99,855,-1206,-2679
-1092,-1867,-546,-363,100,856,-1152,-2500
-1038,-1731,-524,-341,101,858,-1102,-2327
-986,-1601,-502,-321,101,859,-1051,-2161
-936,-1476,-481,-301,102,859,-1003,-2000
-887,-1355,-461,-283,104,859,-955,-1849
-838,-1239,-441,-265,105,860,-908,-1700
-790,-1130,-422,-249,106,862,-859,-1562
-743,-1026,-402,-233,108,864,-809,-1427
-697,-926,-384,-217,109,864,-766,-1301
-654,-831,-367,-202,110,863,-722,-1176
-614,-740,-350,-188,111,863,-681,-1060
-573,-654,-332,-174,112,863,-640,-949
-533,-570,-314,-161,114,863,-600,-841
-495,-491,-298,-149,115,863,-559,-738
-458,-415,-282,-139,116,863,-520,-640
-424,-343,-267,-129,116,863,-483,-544
-390,-274,-252,-120,115,863,-446,-455
-357,-209,-238,-111,115,863,-411,-371
-326,-149,-225,-102,117,863,-378,-291
-296,-91,-213,-93,119,863,-346,-216
-267,-35,-200,-85,120,863,-316,-145
-238,17,-187,-77,121,863,-285,-74
-210,67,-174,-70,121,863,-252,-8
-183,114,-163,-63,120,861,-224,54
-159,158,-153,-56,120,860,-198,113
-135,199,-144,-50,120,858,-172,167
-113,240,-134,-44,120,858,-148,218
-91,279,-123,-39,120,858,-124,272
-71,315,-113,-34,120,858,-100,322
-51,349,-104,-30,120,858,-80,366
-32,380,-97,-25,122,858,-57,406
-13,410,-89,-21,124,858,-36,446
4,439,-81,-17,125,857,-14,487
21,466,-73,-13,126,856,2,523
36,491,-65,-10,125,856,19,556
52,515,-58,-8,125,855,40,588
65,537,-53,-7,125,854,56,617
79,557,-48,-5,125,853,72,645
92,577,-43,-3,125,853,87,671
104,595,-38,0,125,852,102,697
116,613,-31,2,125,851,115,721
128,630,-25,4,125,849,129,745
139,647,-20,7,124,848,141,769
149,662,-15,10,124,847,151,787
160,677,-11,11,124,848,163,809
169,691,-6,12,125,848,177,828
177,704,-2,12,124,848,186,848
184,716,1,12,124,846,197,861
192,727,5,13,124,845,207,877
200,737,8,14,124,843,217,893
209,748,11,15,124,842,227,907
215,758,15,16,124,842,234,922
221,768,18,17,124,841,241,933
227,778,22,18,124,840,247,949
233,787,26,19,124,839,255,963
239,797,29,20,124,839,266,975
245,805,32,20,124,838,272,987
252,812,33,20,124,837,279,996
257,818,36,20,124,835,285,1004
261,825,39,20,124,833,294,1015
266,832,42,21,123,831,299,1026
270,840,44,21,123,830,303,1036
273,847,45,22,123,828,307,1044
277,853,46,23,123,828,312,1052
281,860,48,25,123,829,313,1063
284,866,50,26,123,828,317,1070
288,871,51,27,123,827,322,1077
292,878,53,28,123,825,325,1085
295,884,54,30,123,824,330,1092
297,890,55,31,123,823,329,1099
300,896,56,32,123,822,333,1110
303,901,57,31,123,820,339,1116
307,907,59,30,123,819,344,1123
310,912,60,29,122,818,350,1132
312,918,61,29,122,817,352,1140
314,924,61,30,122,816,355,1147
317,929,62,31,122,814,356,1153
319,935,63,32,122,813,358,1159
321,940,63,32,122,812,360,1165
322,944,63,32,122,811,361,1171
323,949,62,32,122,809,362,1176
325,954,63,32,122,807,365,1184
327,960,64,32,122,805,366,1191
327,965,67,33,122,804,367,1199
327,970,68,34,122,804,366,1206
328,974,68,35,122,804,367,1210
329,979,67,35,122,802,369,1215
332,983,67,34,122,801,372,1221
334,988,68,32,122,799,377,1226
334,993,69,31,122,798,378,1232
335,996,71,32,121,797,378,1237
336,1000,72,34,121,796,379,1245
337,1004,73,35,121,795,380,1248
339,1007,74,35,121,794,380,1253
341,1012,73,35,121,793,385,1259
342,1017,73,35,121,791,385,1265
343,1021,73,35,121,789,384,1269
345,1024,74,35,121,789,390,1274
346,1026,76,35,121,789,391,1276
347,1029,78,34,121,790,393,1282
348,1033,79,34,121,789,393,1287
349,1037,80,34,121,788,397,1292
