F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-3612,-4950,-997,-869,2380,9870,-3194,-5405
-3514,-4797,-969,-842,2374,9871,-3110,-5241
-3418,-4650,-943,-815,2368,9871,-3031,-5081
-3326,-4506,-919,-788,2362,9872,-2950,-4928
-3235,-4367,-896,-763,2356,9872,-2874,-4780
-3146,-4233,-871,-739,2350,9872,-2797,-4635
-3060,-4104,-848,-717,2344,9873,-2721,-4494
-2977,-3978,-825,-696,2338,9873,-2650,-4360
-2895,-3855,-805,-675,2332,9873,-2580,-4226
-2816,-3736,-784,-654,2327,9874,-2511,-4098
-2739,-3619,-764,-632,2321,9874,-2445,-3973
-2663,-3507,-743,-612,2316,9874,-2379,-3852
-2589,-3398,-722,-593,2311,9875,-2314,-3735
-2518,-3292,-702,-575,2307,9875,-2253,-3618
-2450,-3188,-683,-556,2304,9875,-2194,-3508
-2385,-3088,-665,-538,2300,9875,-2137,-3399
-2320,-2991,-647,-521,2296,9876,-2082,-3294
-2256,-2898,-629,-505,2291,9876,-2027,-3192
-2194,-2807,-612,-490,2286,9876,-1972,-3093
-2135,-2719,-596,-474,2282,9877,-1921,-2999
-2076,-2634,-582,-458,2279,9877,-1872,-2909
-2020,-2551,-568,-443,2276,9877,-1825,-2821
-1966,-2471,-554,-429,2273,9877,-1777,-2733
-1913,-2393,-539,-415,2270,9877,-1731,-2649
-1863,-2318,-524,-402,2268,9877,-1687,-2568
-1814,-2247,-510,-389,2265,9877,-1644,-2489
-1766,-2179,-497,-377,2261,9878,-1601,-2414
-1719,-2113,-485,-365,2258,9878,-1561,-2343
-1674,-2049,-473,-354,2256,9878,-1523,-2276
-1631,-1987,-462,-343,2255,9878,-1485,-2209
-1590,-1927,-450,-333,2254,9878,-1447,-2143
-1549,-1869,-439,-322,2252,9878,-1413,-2080
-1510,-1814,-428,-312,2250,9878,-1379,-2019
-1472,-1761,-418,-303,2247,9879,-1345,-1964
-1436,-1710,-408,-293,2244,9879,-1314,-1906
-1400,-1660,-399,-285,2242,9879,-1282,-1854
-1366,-1612,-388,-277,2240,9879,-1252,-1800
-1333,-1565,-377,-269,2238,9879,-1221,-1748
-1301,-1520,-367,-262,2236,9879,-1193,-1698
-1270,-1476,-358,-254,2233,9880,-1165,-1651
-1240,-1434,-350,-246,2232,9880,-1138,-1604
-1210,-1393,-343,-239,2232,9880,-1115,-1560
-1181,-1354,-336,-232,2231,9880,-1090,-1517
-1154,-1315,-330,-225,2229,9880,-1065,-1475
-1127,-1279,-323,-218,2227,9880,-1041,-1436
-1102,-1243,-315,-212,2226,9880,-1019,-1398
-1078,-1209,-308,-206,2224,9880,-998,-1361
-1055,-1174,-300,-200,2223,9880,-979,-1320
-1031,-1141,-293,-193,2222,9880,-958,-1285
-1008,-1109,-285,-186,2221,9880,-937,-1250
-985,-1078,-279,-179,2219,9880,-917,-1217
-965,-1048,-272,-173,2218,9880,-900,-1184
-945,-1018,-267,-169,2217,9880,-883,-1151
-925,-990,-262,-164,2216,9880,-867,-1120
-905,-962,-256,-159,2215,9880,-850,-1092
-885,-935,-251,-154,2213,9881,-830,-1062
-865,-907,-246,-148,2212,9881,-814,-1032
-847,-881,-240,-144,2212,9881,-798,-1003
-829,-856,-234,-141,2213,9881,-780,-975
-810,-832,-229,-137,2213,9881,-765,-948
-793,-808,-224,-133,2213,9881,-748,-921
-775,-784,-219,-129,2211,9881,-733,-894
-759,-761,-214,-124,2209,9881,-720,-869
-744,-739,-209,-120,2208,9881,-705,-847
-729,-717,-204,-117,2208,9881,-693,-822
-713,-696,-200,-113,2208,9881,-677,-798
-697,-674,-195,-109,2207,9881,-665,-773
-681,-655,-191,-104,2205,9881,-651,-754
-667,-636,-186,-100,2203,9881,-637,-733
-653,-618,-183,-97,2203,9881,-626,-712
-639,-599,-180,-94,2203,9881,-612,-693
-625,-581,-177,-91,2203,9881,-601,-672
-611,-564,-172,-87,2203,9881,-588,-655
-598,-548,-167,-84,2203,9881,-577,-637
-585,-531,-162,-82,2204,9881,-565,-617
-572,-514,-159,-81,2203,9881,-550,-598
-559,-497,-156,-79,2202,9881,-539,-579
-546,-481,-154,-77,2200,9881,-527,-561
-534,-468,-151,-74,2198,9882,-517,-548
-523,-455,-148,-71,2198,9882,-506,-532
-511,-441,-146,-69,2198,9882,-495,-518
-500,-427,-143,-67,2198,9882,-487,-505
-489,-413,-140,-64,2198,9882,-476,-488
-479,-399,-137,-60,2198,9882,-468,-473
-468,-386,-133,-58,2198,9882,-457,-458
-458,-374,-131,-57,2198,9882,-448,-445
-449,-362,-129,-56,2198,9882,-439,-430
-440,-350,-126,-55,2197,9882,-430,-418
-431,-338,-123,-53,2196,9882,-422,-404
-423,-325,-121,-50,2195,9882,-417,-391
-415,-314,-120,-47,2194,9882,-411,-380
-406,-304,-118,-43,2194,9882,-405,-369
-397,-294,-115,-42,2195,9882,-396,-357
-389,-284,-112,-42,2195,9882,-385,-345
-382,-273,-109,-41,2195,9882,-378,-333
-375,-261,-107,-40,2194,9882,-372,-319
-368,-250,-105,-38,2193,9882,-367,-308
-360,-240,-104,-36,2193,9882,-360,-297
-352,-231,-101,-34,2193,9882,-352,-286
-346,-222,-98,-31,2193,9882,-349,-278
-339,-213,-96,-30,2193,9882,-343,-268
-332,-203,-95,-28,2193,9882,-335,-256
-323,-194,-93,-26,2194,9882,-327,-246
-315,-185,-91,-25,2193,9882,-321,-238
-309,-179,-89,-23,2192,9882,-314,-231
-304,-173,-87,-21,2190,9882,-310,-222
-299,-165,-86,-19,2188,9882,-307,-214
-293,-155,-84,-18,2188,9882,-302,-205
-287,-146,-81,-18,2188,9882,-296,-192
-280,-137,-78,-17,2189,9882,-286,-181
-274,-131,-75,-16,2189,9882,-281,-175
-269,-124,-75,-14,2189,9882,-278,-168
-264,-118,-74,-13,2189,9882,-274,-162
-260,-111,-72,-11,2188,9882,-269,-155
-256,-104,-69,-10,2187,9882,-266,-145
-250,-97,-66,-9,2186,9882,-261,-136
-245,-91,-65,-9,2186,9882,-255,-130
-240,-85,-64,-8,2186,9882,-251,-124
-236,-79,-64,-7,2186,9882,-246,-118
-231,-73,-62,-7,2185,9882,-241,-111
-227,-67,-60,-7,2184,9883,-238,-102
-223,-61,-57,-6,2183,9883,-234,-97
-219,-56,-56,-6,2183,9883,-229,-90
-214,-51,-55,-5,2184,9883,-224,-84
-209,-46,-55,-4,2184,9883,-219,-79
-204,-41,-54,-3,2184,9883,-218,-74
-201,-36,-53,-2,2183,9883,-214,-69
-198,-32,-52,-1,2183,9883,-212,-65
-195,-28,-51,-1,2183,9883,-208,-61
-191,-22,-50,0,2183,9883,-205,-53
-186,-17,-49,0,2183,9883,-200,-47
-181,-11,-48,1,2183,9883,-195,-42
-178,-7,-47,2,2183,9883,-191,-37
-174,-3,-46,3,2183,9883,-191,-34
-171,0,-45,3,2183,9883,-187,-30
-167,3,-44,4,2183,9883,-184,-24
-164,6,-44,5,2183,9883,-180,-20
-161,9,-43,6,2183,9883,-178,-18
-160,13,-42,7,2183,9883,-177,-14
-158,17,-41,8,2183,9883,-175,-10
-155,21,-40,8,2183,9883,-172,-6
-151,24,-39,9,2183,9883,-170,-2
-147,26,-38,10,2183,9883,-167,2
-144,30,-37,11,2183,9883,-164,4
-144,34,-37,11,2183,9883,-163,9
-142,38,-37,12,2183,9883,-162,13
-139,42,-36,12,2183,9883,-158,17
-134,45,-35,14,2183,9883,-155,20
-131,47,-34,14,2183,9883,-151,23
-130,50,-33,15,2183,9883,-152,25
-128,54,-32,16,2183,9883,-151,30
-127,58,-31,17,2183,9883,-150,36
-125,61,-30,18,2183,9883,-147,40
-123,65,-30,18,2184,9883,-146,43
-122,69,-30,18,2184,9883,-145,47
-120,72,-30,18,2183,9883,-144,51
-119,76,-29,19,2182,9883,-142,53
-116,79,-27,20,2182,9883,-139,57
-113,81,-25,20,2182,9883,-136,62
-109,84,-24,19,2183,9883,-133,64
-106,86,-23,19,2184,9883,-129,67
-103,89,-22,19,2184,9883,-124,69
-100,92,-22,19,2183,9883,-122,75
-98,95,-22,19,2183,9883,-119,79
-96,97,-21,19,2183,9883,-117,81
-93,99,-21,20,2183,9883,-114,83
-90,101,-20,21,2183,9883,-114,84
-88,103,-19,21,2183,9883,-112,86
-86,107,-19,21,2183,9883,-109,90
-84,109,-20,21,2183,9883,-108,92
-81,111,-19,20,2183,9883,-102,95
-78,113,-17,21,2183,9883,-100,100
-76,115,-16,22,2183,9883,-100,101
-75,118,-15,23,2183,9883,-100,104
-73,120,-15,23,2183,9883,-97,107
-71,123,-14,22,2183,9883,-92,109
-68,125,-13,22,2183,9883,-90,112
-68,127,-12,22,2184,9883,-89,115
-67,130,-12,23,2184,9883,-89,115
-66,131,-13,23,2183,9883,-87,118
-63,132,-13,24,2182,9883,-87,118
-61,133,-12,25,2182,9883,-85,119
-60,133,-10,25,2182,9883,-84,123
-59,135,-10,25,2183,9883,-84,124
-58,138,-9,25,2184,9883,-80,128
-57,140,-8,25,2184,9883,-81,129
-55,142,-9,26,2183,9883,-79,131
-53,143,-9,27,2183,9883,-78,131
-52,143,-10,28,2183,9883,-79,131
-51,143,-9,29,2183,9883,-78,133
-49,144,-7,30,2183,9883,-76,134
-48,147,-6,29,2183,9883,-73,136
-47,150,-5,28,2183,9883,-72,141
-46,152,-6,28,2183,9883,-70,141
-44,153,-7,28,2183,9883,-69,142
-44,153,-7,29,2183,9883,-69,142
-43,153,-5,29,2183,9883,-68,145
-43,155,-3,30,2183,9883,-67,147
-41,159,-2,31,2183,9883,-65,150
-39,160,-2,32,2183,9883,-67,152
-38,162,-3,33,2183,9883,-65,153
-37,163,-4,33,2183,9883,-64,155
-36,165,-3,33,2183,9883,-63,156
-35,166,-3,32,2183,9883,-62,157
-33,166,-2,31,2183,9883,-58,157
-32,166,-2,30,2183,9883,-57,157
-31,166,-2,31,2183,9883,-56,158
-31,169,0,32,2183,9883,-58,161
-30,171,0,33,2183,9883,-58,166
-29,173,0,33,2183,9883,-57,167
-27,173,0,32,2183,9883,-54,164
-25,174,0,32,2183,9883,-52,166
-24,177,0,33,2184,9883,-51,170
-23,179,0,34,2184,9883,-51,174
-22,181,0,33,2183,9883,-50,175
-21,182,0,33,2182,9883,-48,177
-20,182,0,33,2180,9883,-47,177
-19,182,0,34,2179,9883,-47,177
-18,183,1,34,2179,9883,-46,178
-18,185,1,34,2180,9883,-45,180
-17,188,1,34,2182,9883,-45,183
-17,189,1,34,2182,9883,-45,184
-16,190,1,34,2183,9883,-43,185
-14,191,1,34,2184,9883,-42,185
-14,191,1,34,2183,9883,-41,185
-13,191,2,35,2182,9883,-41,185
-13,191,2,35,2182,9883,-41,186
-12,192,2,36,2182,9883,-40,186
-11,194,2,35,2182,9883,-39,189
-10,195,2,35,2182,9883,-37,190
-10,197,2,35,2182,9883,-37,191
-9,198,2,36,2183,9883,-37,192
-8,199,3,36,2184,9883,-36,194
-7,200,4,37,2184,9883,-35,195
-7,201,5,38,2184,9883,-35,195
-7,200,4,38,2184,9883,-37,195
-7,200,4,37,2184,9883,-35,195
-6,201,4,37,2183,9883,-34,196
-4,202,4,38,2182,9883,-34,196
-3,202,4,38,2182,9883,-32,197
-2,203,4,37,2182,9883,-30,197
-3,202,4,37,2182,9883,-30,197
-3,202,4,37,2181,9883,-31,197
-3,202,5,38,2181,9883,-30,197
-1,203,5,38,2181,9883,-31,198
0,204,6,39,2182,9883,-30,201
1,205,6,39,2183,9883,-29,202
1,205,6,39,2182,9883,-29,202
1,205,6,39,2182,9883,-29,202
2,205,7,40,2182,9883,-28,202
4,206,7,39,2181,9883,-25,203
5,207,8,39,2181,9883,-24,205
5,207,9,39,2180,9883,-25,205
5,207,9,40,2180,9883,-24,205
6,208,9,40,2180,9883,-23,205
8,208,9,40,2179,9883,-21,206
10,209,9,40,2180,9883,-20,207
9,211,9,40,2180,9883,-20,208
7,213,9,39,2180,9883,-20,209
7,214,10,39,2179,9883,-20,213
7,214,11,38,2178,9883,-20,214
9,214,12,37,2178,9883,-17,214
10,215,11,37,2179,9883,-18,214
10,215,10,38,2180,9883,-17,216
9,216,10,39,2181,9883,-18,217
8,219,10,39,2180,9883,-19,218
9,220,11,40,2179,9883,-19,220
9,221,10,41,2179,9883,-20,218
9,221,9,42,2178,9883,-20,218
9,220,9,43,2178,9883,-20,217
9,220,10,43,2179,9883,-23,218
10,221,11,44,2180,9883,-19,218
11,221,10,43,2182,9883,-21,218
12,222,9,42,2183,9883,-18,219
13,222,8,41,2184,9883,-17,219
13,223,10,40,2184,9883,-17,220
14,223,11,40,2183,9883,-14,223
14,223,11,39,2183,9883,-14,223
14,223,10,39,2183,9883,-14,223
14,223,10,40,2183,9883,-17,223
13,223,11,43,2183,9883,-17,220
13,223,11,43,2183,9883,-17,223
14,223,12,43,2183,9883,-17,223
15,223,11,42,2183,9883,-15,223
17,224,11,42,2183,9883,-13,224
17,225,11,43,2183,9883,-13,225
18,227,11,45,2183,9883,-14,224
17,227,11,45,2183,9883,-15,224
17,227,11,44,2183,9883,-15,227
17,226,12,43,2183,9883,-13,227
16,227,13,42,2183,9883,-13,227
17,228,14,42,2183,9883,-13,228
17,229,14,42,2183,9883,-13,229
19,229,14,42,2183,9883,-10,229
21,229,14,41,2183,9883,-7,229
21,229,15,40,2183,9883,-6,231
21,229,15,40,2183,9883,-6,231
21,228,15,40,2183,9883,-6,230
22,228,14,41,2183,9883,-6,228
22,227,14,42,2183,9883,-8,227
22,227,13,42,2183,9883,-8,227
22,227,14,42,2184,9883,-8,227
22,227,14,41,2184,9883,-6,228
22,227,15,40,2183,9883,-6,229
22,227,14,41,2182,9883,-6,227
22,227,13,42,2182,9883,-8,227
22,227,12,43,2182,9883,-8,227
22,227,12,43,2183,9883,-8,227
22,227,12,43,2184,9883,-8,228
22,227,12,43,2183,9883,-8,227
22,227,12,43,2182,9883,-8,227
22,227,13,43,2182,9883,-8,227
24,228,12,44,2182,9883,-9,228
24,230,11,44,2183,9883,-8,227
24,231,11,44,2182,9883,-9,228
22,231,11,44,2180,9883,-10,231
22,231,12,44,2179,9883,-10,230
23,231,13,45,2179,9883,-9,231
25,232,13,46,2181,9883,-8,231
25,233,12,45,2182,9883,-8,233
25,234,12,44,2181,9883,-8,234
24,234,12,45,2180,9883,-9,234
24,232,14,46,2180,9883,-8,233
25,232,15,47,2182,9883,-7,233
26,233,15,47,2183,9883,-6,233
27,235,14,46,2183,9883,-6,235
27,235,14,46,2181,9883,-6,235
27,235,14,46,2181,9883,-6,235
28,236,15,47,2181,9883,-4,235
28,236,15,47,2182,9883,-4,235
28,236,15,48,2182,9883,-4,236
27,236,15,47,2182,9883,-6,236
27,235,15,47,2182,9883,-6,235
28,234,14,46,2183,9883,-4,234
30,233,14,46,2184,9883,-3,233
31,232,14,46,2184,9883,-2,231
31,232,15,47,2183,9883,-1,231
31,232,15,48,2182,9883,-2,231
30,232,15,47,2182,9883,-2,231
