F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-5344,-10000,-2334,-2316,2740,9848,-4256,-10000
-5400,-10000,-2304,-2282,2731,9849,-4327,-10000
-5455,-10000,-2273,-2249,2722,9850,-4394,-10000
-5509,-10000,-2244,-2217,2714,9850,-4463,-10000
-5562,-10000,-2214,-2185,2704,9851,-4527,-10000
-5614,-10000,-2186,-2152,2696,9851,-4594,-10000
-5665,-10000,-2159,-2119,2687,9852,-4660,-10000
-5715,-10000,-2132,-2088,2679,9852,-4724,-10000
-5764,-10000,-2105,-2058,2672,9853,-4785,-10000
-5811,-10000,-2078,-2029,2665,9853,-4845,-10000
-5858,-10000,-2052,-2000,2658,9854,-4904,-10000
-5904,-10000,-2027,-1970,2650,9854,-4964,-10000
-5949,-10000,-2002,-1942,2641,9855,-5022,-10000
-5993,-10000,-1976,-1914,2634,9855,-5075,-10000
-6037,-10000,-1951,-1888,2627,9855,-5131,-10000
-6079,-9974,-1927,-1862,2620,9856,-5184,-10000
-6120,-9895,-1904,-1836,2613,9856,-5236,-10000
-6158,-9815,-1882,-1810,2606,9857,-5285,-10000
-6196,-9736,-1859,-1785,2599,9857,-5334,-10000
-6239,-9661,-1836,-1759,2593,9858,-5387,-10000
-6282,-9588,-1814,-1733,2587,9858,-5443,-10000
-6320,-9514,-1792,-1709,2582,9858,-5490,-10000
-6331,-9426,-1770,-1685,2575,9859,-5511,-10000
-6293,-9314,-1748,-1662,2568,9859,-5483,-10000
-6220,-9187,-1727,-1638,2562,9859,-5423,-9938
-6136,-9055,-1705,-1615,2555,9860,-5351,-9797
-6054,-8926,-1684,-1593,2549,9860,-5282,-9659
-5979,-8801,-1663,-1571,2544,9861,-5218,-9524
-5907,-8679,-1644,-1550,2539,9861,-5156,-9396
-5837,-8558,-1626,-1529,2534,9861,-5097,-9266
-5768,-8439,-1608,-1508,2530,9861,-5041,-9142
-5698,-8322,-1590,-1486,2525,9862,-4983,-9016
-5627,-8206,-1570,-1465,2520,9862,-4920,-8891
-5557,-8093,-1550,-1445,2515,9862,-4863,-8771
-5490,-7981,-1530,-1426,2510,9862,-4806,-8650
-5424,-7871,-1511,-1408,2505,9863,-4748,-8532
-5357,-7763,-1495,-1389,2500,9863,-4691,-8418
-5290,-7657,-1478,-1370,2495,9863,-4633,-8304
-5227,-7553,-1461,-1351,2490,9864,-4582,-8193
-5164,-7449,-1443,-1332,2486,9864,-4528,-8081
-5102,-7345,-1424,-1313,2481,9864,-4476,-7968
-5040,-7242,-1408,-1294,2476,9865,-4422,-7860
-4976,-7141,-1392,-1276,2471,9865,-4367,-7754
-4913,-7042,-1377,-1259,2466,9865,-4317,-7649
-4852,-6947,-1361,-1243,2461,9866,-4262,-7545
-4794,-6854,-1345,-1226,2458,9866,-4213,-7446
-4738,-6763,-1329,-1210,2455,9866,-4166,-7347
-4683,-6673,-1314,-1193,2451,9866,-4117,-7252
-4628,-6584,-1299,-1178,2446,9866,-4072,-7158
-4573,-6497,-1282,-1163,2442,9867,-4023,-7061
-4519,-6409,-1267,-1148,2438,9867,-3978,-6969
-4464,-6323,-1252,-1132,2435,9867,-3930,-6876
-4410,-6237,-1238,-1117,2432,9867,-3884,-6786
-4357,-6155,-1225,-1102,2428,9868,-3840,-6696
-4305,-6075,-1210,-1087,2424,9868,-3795,-6611
-4255,-5995,-1196,-1073,2421,9868,-3752,-6523
-4205,-5916,-1182,-1058,2417,9868,-3711,-6438
-4155,-5837,-1170,-1044,2413,9869,-3667,-6356
-4106,-5760,-1157,-1032,2409,9869,-3624,-6274
-4059,-5685,-1145,-1019,2406,9869,-3585,-6194
-4013,-5611,-1133,-1004,2402,9869,-3546,-6114
-3966,-5539,-1120,-991,2399,9869,-3504,-6036
-3919,-5467,-1106,-978,2396,9869,-3464,-5958
-3873,-5396,-1093,-966,2394,9869,-3425,-5882
-3829,-5327,-1082,-953,2392,9870,-3386,-5807
-3786,-5258,-1071,-941,2388,9870,-3352,-5735
-3743,-5189,-1060,-928,2385,9870,-3315,-5661
-3700,-5123,-1048,-917,2382,9870,-3278,-5592
-3658,-5059,-1036,-905,2380,9870,-3241,-5522
-3616,-4996,-1023,-894,2378,9871,-3204,-5454
-3575,-4933,-1011,-883,2375,9871,-3169,-5385
-3534,-4870,-1000,-873,2372,9871,-3132,-5317
-3495,-4809,-991,-862,2369,9871,-3099,-5252
-3457,-4749,-982,-850,2366,9871,-3068,-5186
-3418,-4690,-972,-839,2364,9872,-3035,-5125
-3378,-4631,-961,-829,2362,9872,-3000,-5061
-3339,-4572,-950,-820,2360,9872,-2965,-4996
-3302,-4514,-938,-811,2358,9872,-2933,-4935
-3266,-4459,-928,-800,2356,9872,-2900,-4874
-3230,-4405,-918,-790,2353,9872,-2871,-4818
-3194,-4351,-909,-780,2350,9872,-2840,-4758
-3158,-4298,-899,-771,2348,9873,-2807,-4702
-3122,-4245,-890,-763,2346,9873,-2775,-4643
-3088,-4194,-880,-754,2344,9873,-2745,-4589
-3056,-4144,-871,-745,2343,9873,-2718,-4535
-3024,-4094,-863,-735,2341,9873,-2692,-4482
-2992,-4045,-856,-726,2338,9873,-2666,-4430
-2960,-3995,-847,-718,2336,9873,-2638,-4376
-2927,-3946,-836,-711,2333,9873,-2608,-4322
-2896,-3899,-826,-704,2331,9873,-2578,-4270
-2865,-3854,-817,-695,2330,9873,-2553,-4222
-2836,-3810,-809,-686,2328,9874,-2526,-4174
-2807,-3765,-803,-677,2326,9874,-2503,-4127
-2779,-3720,-796,-669,2323,9874,-2479,-4079
-2750,-3675,-788,-662,2321,9874,-2452,-4030
-2721,-3632,-779,-655,2320,9874,-2428,-3983
-2692,-3590,-770,-647,2319,9874,-2404,-3938
-2665,-3549,-763,-639,2316,9874,-2380,-3895
-2638,-3508,-756,-631,2314,9875,-2357,-3851
-2612,-3467,-748,-624,2312,9875,-2336,-3807
-2587,-3428,-740,-617,2310,9875,-2312,-3762
-2560,-3390,-733,-610,2310,9875,-2291,-3722
-2534,-3353,-726,-604,2309,9875,-2265,-3681
-2507,-3315,-720,-598,2307,9875,-2242,-3641
-2482,-3277,-714,-592,2305,9875,-2219,-3599
-2457,-3239,-707,-586,2304,9875,-2198,-3559
-2433,-3204,-700,-579,2302,9875,-2177,-3520
-2410,-3169,-693,-573,2300,9875,-2157,-3483
-2386,-3135,-686,-566,2299,9876,-2136,-3446
-2361,-3100,-680,-560,2297,9876,-2114,-3409
-2337,-3065,-674,-555,2295,9876,-2093,-3371
-2314,-3031,-668,-549,2294,9876,-2074,-3335
-2292,-2997,-661,-543,2292,9876,-2054,-3298
-2270,-2965,-654,-536,2291,9876,-2036,-3263
-2248,-2933,-647,-530,2290,9876,-2016,-3227
-2225,-2901,-642,-525,2289,9876,-1997,-3193
-2203,-2869,-636,-519,2287,9876,-1977,-3158
-2181,-2837,-630,-514,2286,9876,-1956,-3123
-2159,-2806,-624,-509,2286,9876,-1937,-3089
-2138,-2776,-619,-504,2285,9876,-1919,-3056
-2116,-2746,-613,-498,2284,9876,-1900,-3023
-2095,-2715,-607,-493,2283,9877,-1882,-2993
-2076,-2686,-601,-487,2281,9877,-1864,-2961
-2056,-2656,-596,-482,2279,9877,-1846,-2928
-2037,-2628,-590,-477,2277,9877,-1831,-2898
-2016,-2601,-585,-472,2276,9877,-1812,-2867
-1995,-2574,-580,-467,2276,9877,-1794,-2838
-1975,-2547,-574,-462,2274,9877,-1776,-2808
-1957,-2519,-569,-457,2273,9877,-1760,-2780
-1940,-2492,-563,-452,2271,9877,-1746,-2750
-1923,-2465,-558,-447,2271,9877,-1732,-2721
-1906,-2439,-553,-442,2271,9877,-1715,-2691
-1888,-2413,-548,-437,2270,9877,-1700,-2663
-1870,-2388,-543,-433,2269,9877,-1685,-2635
-1853,-2362,-538,-428,2268,9877,-1671,-2609
-1835,-2338,-534,-424,2268,9877,-1654,-2583
-1818,-2315,-529,-420,2266,9877,-1639,-2556
-1801,-2291,-524,-415,2265,9877,-1626,-2533
-1785,-2267,-519,-410,2262,9878,-1610,-2506
-1769,-2243,-513,-405,2261,9878,-1596,-2479
-1752,-2220,-508,-400,2261,9878,-1582,-2453
-1735,-2198,-504,-397,2262,9878,-1567,-2429
-1721,-2176,-499,-394,2262,9878,-1555,-2404
-1707,-2154,-494,-390,2260,9878,-1541,-2381
-1691,-2132,-490,-385,2258,9878,-1529,-2357
-1675,-2110,-486,-379,2256,9878,-1516,-2335
-1659,-2088,-482,-375,2256,9878,-1501,-2310
-1644,-2067,-478,-374,2257,9878,-1486,-2287
-1629,-2046,-473,-372,2257,9878,-1473,-2263
-1615,-2025,-468,-370,2255,9878,-1458,-2238
-1600,-2004,-463,-366,2253,9878,-1444,-2218
-1585,-1984,-458,-361,2251,9878,-1431,-2194
-1571,-1964,-454,-356,2251,9878,-1420,-2172
-1557,-1945,-450,-353,2252,9878,-1408,-2153
-1545,-1926,-447,-350,2252,9878,-1397,-2132
-1532,-1907,-444,-347,2250,9878,-1385,-2111
-1518,-1887,-440,-343,2248,9879,-1374,-2089
-1504,-1867,-436,-340,2247,9879,-1361,-2067
-1491,-1849,-433,-336,2247,9879,-1351,-2049
-1479,-1832,-429,-333,2247,9879,-1339,-2028
-1466,-1814,-426,-330,2247,9879,-1329,-2011
-1453,-1795,-423,-328,2245,9879,-1317,-1989
-1441,-1777,-421,-325,2243,9879,-1307,-1971
-1430,-1759,-418,-323,2242,9879,-1296,-1953
-1419,-1742,-415,-320,2241,9879,-1285,-1933
-1406,-1727,-411,-317,2242,9879,-1275,-1915
-1394,-1710,-408,-313,2242,9879,-1263,-1899
-1382,-1693,-404,-309,2242,9879,-1254,-1878
-1370,-1676,-401,-307,2242,9879,-1243,-1861
-1359,-1659,-397,-305,2240,9879,-1232,-1842
-1347,-1644,-393,-305,2238,9879,-1220,-1825
-1335,-1629,-390,-303,2237,9879,-1209,-1809
-1324,-1613,-387,-299,2237,9879,-1199,-1790
-1313,-1597,-384,-296,2237,9879,-1190,-1774
-1302,-1582,-382,-293,2237,9879,-1181,-1759
-1292,-1567,-379,-292,2237,9879,-1171,-1741
-1282,-1553,-375,-290,2237,9879,-1162,-1727
-1273,-1539,-372,-287,2235,9879,-1156,-1711
-1262,-1525,-369,-284,2233,9880,-1145,-1694
-1251,-1511,-366,-281,2232,9880,-1136,-1680
-1240,-1496,-363,-278,2232,9880,-1126,-1666
-1231,-1482,-360,-276,2232,9880,-1116,-1649
-1222,-1468,-357,-273,2232,9880,-1110,-1634
-1212,-1454,-354,-270,2232,9880,-1102,-1618
-1202,-1441,-351,-267,2232,9880,-1093,-1605
-1192,-1427,-348,-265,2233,9880,-1084,-1588
-1182,-1414,-346,-262,2232,9880,-1075,-1575
-1174,-1402,-343,-260,2231,9880,-1069,-1562
-1165,-1389,-342,-258,2229,9880,-1060,-1547
-1154,-1376,-339,-256,2228,9880,-1049,-1534
-1144,-1364,-336,-253,2227,9880,-1042,-1519
-1134,-1351,-334,-252,2227,9880,-1032,-1506
-1126,-1340,-332,-249,2227,9880,-1024,-1495
-1117,-1328,-330,-246,2228,9880,-1019,-1480
-1108,-1316,-327,-245,2228,9880,-1009,-1468
-1099,-1304,-323,-244,2227,9880,-1001,-1453
-1090,-1292,-320,-242,2226,9880,-992,-1441
-1083,-1281,-318,-240,2224,9880,-985,-1428
-1076,-1270,-316,-237,2222,9880,-981,-1417
-1069,-1258,-314,-234,2222,9880,-974,-1405
-1061,-1247,-310,-233,2222,9880,-966,-1391
-1052,-1236,-307,-233,2223,9880,-958,-1378
-1044,-1225,-305,-232,2223,9880,-949,-1367
-1036,-1216,-303,-230,2222,9880,-941,-1357
-1028,-1205,-301,-227,2222,9880,-936,-1344
-1020,-1193,-298,-224,2223,9880,-928,-1331
-1012,-1181,-295,-221,2223,9880,-924,-1320
-1004,-1171,-292,-220,2222,9880,-915,-1307
-995,-1161,-291,-218,2221,9880,-907,-1297
-986,-1152,-289,-216,2221,9880,-900,-1287
-979,-1142,-288,-215,2222,9880,-893,-1275
-972,-1133,-286,-213,2222,9880,-887,-1265
-965,-1124,-284,-211,2221,9880,-880,-1257
-957,-1114,-282,-210,2219,9880,-875,-1247
-949,-1105,-281,-208,2218,9880,-866,-1235
-941,-1095,-278,-206,2217,9880,-859,-1225
-933,-1085,-276,-204,2218,9880,-850,-1215
-925,-1076,-274,-202,2218,9880,-845,-1203
-918,-1067,-272,-199,2218,9880,-839,-1195
-913,-1058,-270,-198,2218,9880,-833,-1185
-907,-1048,-268,-196,2218,9880,-831,-1173
-902,-1037,-265,-195,2218,9880,-826,-1162
-895,-1027,-263,-194,2218,9880,-819,-1149
-888,-1017,-261,-193,2217,9880,-813,-1140
-881,-1008,-258,-193,2217,9880,-803,-1127
-875,-1000,-256,-191,2216,9880,-799,-1119
-870,-992,-254,-190,2215,9880,-794,-1112
-864,-983,-251,-187,2214,9881,-789,-1099
-857,-974,-249,-185,2213,9881,-784,-1091
-850,-965,-247,-183,2213,9881,-778,-1081
-844,-956,-245,-182,2213,9881,-772,-1070
-839,-948,-244,-181,2213,9881,-767,-1062
-835,-940,-243,-180,2213,9881,-762,-1054
-830,-932,-241,-178,2213,9881,-760,-1046
-823,-925,-239,-175,2213,9881,-754,-1036
-816,-917,-237,-174,2213,9881,-747,-1027
-809,-908,-235,-173,2213,9881,-740,-1019
-802,-900,-234,-172,2213,9881,-733,-1010
-795,-892,-234,-171,2213,9881,-730,-1003
-791,-884,-233,-169,2213,9881,-725,-992
-785,-877,-231,-168,2213,9881,-720,-985
-780,-869,-228,-167,2213,9881,-714,-977
-773,-863,-225,-168,2213,9881,-708,-968
-767,-855,-223,-167,2211,9881,-699,-958
-762,-847,-221,-167,2209,9881,-694,-950
-757,-840,-220,-166,2208,9881,-692,-942
-751,-833,-219,-163,2209,9881,-686,-935
-745,-826,-217,-162,2210,9881,-681,-928
-740,-819,-216,-161,2209,9881,-675,-919
-734,-812,-215,-160,2208,9881,-670,-911
-729,-805,-213,-159,2208,9881,-667,-904
-723,-798,-211,-157,2208,9881,-661,-898
-718,-791,-210,-155,2208,9881,-656,-888
-712,-784,-209,-154,2208,9881,-650,-881
-708,-777,-208,-153,2208,9881,-649,-874
-703,-771,-206,-152,2208,9881,-644,-867
-698,-764,-205,-151,2208,9881,-639,-861
-693,-758,-204,-150,2208,9881,-634,-853
-688,-752,-203,-149,2208,9881,-629,-847
-682,-747,-202,-148,2208,9881,-626,-841
-678,-741,-201,-147,2208,9881,-620,-834
-673,-735,-198,-146,2208,9881,-615,-827
-669,-730,-195,-146,2208,9881,-611,-821
-665,-724,-192,-145,2208,9881,-607,-813
-661,-717,-191,-145,2208,9881,-603,-806
-656,-711,-189,-144,2207,9881,-599,-800
