F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-326,-158,-70,-29,2062,9890,-323,-197
-317,-148,-67,-27,2060,9890,-313,-186
-309,-138,-64,-25,2058,9890,-306,-175
-302,-127,-61,-24,2057,9890,-300,-162
-295,-117,-60,-22,2056,9890,-295,-151
-287,-108,-58,-21,2057,9890,-286,-142
-278,-100,-57,-19,2057,9890,-279,-131
-271,-93,-54,-17,2057,9890,-273,-124
-264,-84,-52,-15,2057,9890,-267,-115
-258,-75,-50,-13,2057,9890,-261,-104
-252,-66,-48,-12,2057,9890,-256,-95
-247,-57,-47,-10,2057,9890,-252,-86
-241,-50,-44,-8,2057,9890,-246,-76
-235,-42,-42,-6,2057,9890,-241,-68
-229,-33,-41,-5,2057,9890,-235,-59
-224,-25,-41,-4,2057,9890,-233,-51
-218,-16,-40,-3,2057,9890,-228,-42
-213,-7,-38,-2,2057,9890,-222,-31
-208,0,-35,0,2057,9890,-217,-23
-202,7,-31,0,2057,9890,-212,-13
-197,13,-29,0,2057,9890,-203,-7
-192,19,-28,0,2057,9890,-200,1
-188,25,-27,0,2057,9890,-198,7
-184,31,-26,2,2057,9890,-194,13
-178,36,-25,3,2057,9890,-189,18
-173,42,-23,5,2057,9890,-183,24
-169,46,-21,7,2057,9890,-181,31
-166,51,-20,7,2057,9890,-179,35
-162,56,-19,7,2057,9890,-173,41
-158,61,-17,7,2057,9890,-168,46
-153,66,-16,8,2057,9890,-164,53
-148,70,-15,9,2057,9890,-161,57
-144,74,-14,9,2057,9890,-157,62
-140,78,-13,9,2057,9890,-151,65
-138,82,-11,9,2057,9890,-148,73
-136,86,-10,10,2057,9890,-147,76
-135,90,-8,12,2057,9890,-148,80
-132,93,-7,13,2057,9890,-146,84
-129,97,-6,14,2057,9890,-144,87
-126,101,-6,14,2056,9890,-140,93
-122,104,-6,14,2053,9891,-135,97
-118,108,-6,14,2052,9891,-131,101
-115,112,-5,14,2052,9891,-129,104
-113,115,-3,16,2052,9891,-126,108
-111,119,-2,17,2052,9891,-125,112
-109,122,-2,17,2052,9891,-123,115
-106,125,-2,17,2052,9891,-120,118
-103,127,-2,17,2052,9891,-117,120
-100,130,-1,18,2052,9891,-117,124
-98,133,0,19,2052,9891,-115,129
-96,136,0,20,2052,9891,-113,131
-94,138,1,21,2052,9891,-111,134
-92,139,0,21,2052,9891,-108,135
-90,141,0,20,2052,9891,-107,136
-89,144,0,20,2052,9891,-106,140
-87,147,0,21,2052,9891,-104,142
-86,149,1,21,2052,9891,-103,145
-85,150,3,23,2052,9891,-102,146
-84,151,4,24,2052,9891,-103,147
-83,153,4,24,2052,9891,-103,148
-82,155,4,24,2052,9891,-100,151
-80,155,4,24,2052,9891,-100,151
-79,156,4,24,2052,9891,-98,152
-78,157,4,24,2052,9891,-96,152
-79,158,4,24,2052,9891,-98,155
-79,160,4,24,2052,9891,-100,156
-79,162,4,24,2052,9891,-100,158
-79,162,4,24,2052,9891,-98,158
-78,161,5,25,2052,9891,-98,157
-79,158,5,25,2052,9891,-98,155
-79,158,5,25,2052,9891,-98,153
-79,159,5,25,2052,9891,-98,155
-78,160,6,26,2052,9891,-98,158
-77,160,7,26,2052,9891,-97,158
-76,159,7,26,2052,9891,-96,158
-76,159,7,26,2052,9891,-96,157
-78,159,6,26,2052,9891,-97,157
-79,159,6,26,2052,9891,-98,157
-79,158,5,25,2052,9891,-98,155
-78,157,4,24,2052,9891,-96,153
-78,157,3,23,2052,9891,-95,153
-78,157,4,24,2052,9891,-97,152
-78,157,4,24,2052,9891,-95,153
-78,157,4,24,2052,9891,-95,153
-78,157,4,24,2052,9891,-98,153
-79,156,4,24,2052,9891,-100,152
-80,154,4,24,2052,9891,-100,150
-80,152,4,24,2052,9891,-97,147
-80,150,4,24,2052,9891,-100,146
-81,149,4,24,2052,9891,-101,145
-83,149,3,23,2052,9891,-100,145
-84,148,1,21,2052,9891,-101,145
-86,148,0,21,2052,9891,-103,144
-87,147,0,20,2052,9891,-104,142
-88,144,0,21,2052,9891,-106,140
-88,142,0,21,2052,9891,-106,137
-89,140,1,20,2052,9891,-106,136
-90,139,0,21,2052,9891,-107,135
-92,138,0,21,2052,9891,-108,131
-93,137,-1,23,2052,9891,-113,130
-96,137,-3,23,2052,9891,-115,130
-98,136,-4,23,2052,9891,-118,126
-101,134,-4,22,2052,9891,-120,124
-101,132,-5,21,2052,9891,-120,123
-102,130,-6,21,2052,9891,-120,120
-103,127,-6,21,2052,9891,-122,118
-105,126,-6,21,2052,9891,-124,115
-108,124,-6,21,2052,9891,-128,114
-111,123,-6,21,2052,9891,-130,114
-113,122,-6,21,2052,9891,-133,112
-115,119,-6,21,2052,9891,-134,109
-115,117,-6,21,2052,9891,-135,107
-116,115,-6,21,2052,9891,-135,106
-117,114,-6,21,2052,9891,-136,104
-119,112,-6,20,2052,9891,-137,102
-120,109,-7,19,2052,9891,-139,100
-122,107,-8,18,2052,9891,-141,97
-123,105,-8,18,2052,9891,-140,95
-125,102,-9,17,2052,9891,-141,92
-126,100,-9,17,2052,9891,-142,90
-128,98,-9,17,2052,9891,-145,87
-130,96,-9,17,2052,9891,-146,86
-131,94,-9,17,2052,9891,-147,84
-133,91,-9,17,2052,9891,-148,81
-134,89,-9,18,2052,9891,-151,79
-136,87,-9,17,2052,9891,-152,76
-137,85,-10,16,2052,9891,-153,73
-137,83,-12,15,2053,9891,-153,70
-139,80,-13,14,2056,9890,-155,68
-141,79,-13,14,2057,9890,-157,67
-144,77,-13,14,2058,9890,-159,64
-145,75,-14,13,2057,9890,-161,63
-145,73,-14,13,2055,9890,-161,61
-145,72,-15,12,2055,9890,-158,59
-146,71,-15,11,2056,9890,-159,58
-148,70,-16,11,2056,9890,-161,56
-149,69,-17,11,2057,9890,-163,54
-150,67,-16,10,2057,9890,-163,52
-151,64,-16,10,2057,9890,-164,50
-153,62,-16,11,2057,9890,-166,47
-156,61,-16,11,2057,9890,-169,46
-159,60,-18,12,2057,9890,-175,45
-162,59,-19,11,2057,9890,-178,43
-163,58,-20,9,2057,9890,-177,42
-163,57,-20,8,2057,9890,-177,41
-164,56,-20,7,2057,9890,-178,40
-167,55,-20,7,2057,9890,-180,40
-169,53,-20,7,2057,9890,-183,37
-171,51,-20,7,2057,9890,-184,35
-172,48,-20,7,2057,9890,-185,32
-172,46,-21,8,2057,9890,-185,31
-173,45,-22,10,2057,9890,-187,28
-173,45,-24,11,2057,9890,-189,28
-175,45,-24,11,2057,9890,-190,28
-177,44,-23,10,2057,9890,-191,26
-177,42,-22,7,2057,9890,-189,24
-176,40,-21,6,2057,9890,-189,25
-176,39,-21,6,2057,9890,-186,24
-177,38,-21,6,2057,9890,-186,23
-178,37,-22,5,2057,9890,-189,19
-179,36,-24,4,2057,9890,-190,18
-179,35,-24,4,2057,9890,-189,17
-179,34,-24,4,2057,9890,-189,17
-179,32,-23,4,2057,9890,-189,14
-180,31,-23,4,2057,9890,-190,13
-182,30,-23,4,2057,9890,-191,12
-184,29,-24,4,2057,9890,-194,10
-184,27,-23,4,2057,9890,-194,9
-184,25,-24,4,2057,9890,-194,7
-184,23,-24,4,2057,9890,-194,6
-184,23,-24,4,2057,9890,-194,4
-185,23,-23,4,2057,9890,-195,4
-187,22,-23,4,2057,9890,-196,4
-187,20,-24,4,2057,9890,-197,2
-187,18,-25,3,2057,9890,-197,0
-187,16,-25,2,2057,9890,-197,-2
-188,15,-26,2,2057,9890,-198,-2
-190,15,-26,2,2057,9890,-200,-2
-192,14,-26,1,2057,9890,-201,-3
-193,11,-26,1,2057,9890,-202,-6
-194,9,-27,1,2057,9890,-203,-8
-195,6,-27,0,2057,9890,-205,-10
-197,5,-28,0,2057,9890,-206,-12
-198,5,-29,0,2057,9890,-205,-14
-199,4,-31,-1,2057,9890,-207,-15
-200,2,-31,-2,2057,9890,-207,-18
-201,0,-30,-2,2057,9890,-207,-20
-201,-2,-31,-1,2057,9890,-208,-23
-202,-3,-32,0,2057,9890,-212,-24
-204,-3,-33,0,2057,9890,-213,-26
-206,-4,-33,0,2057,9890,-216,-28
-207,-5,-32,0,2057,9890,-216,-25
-207,-5,-31,-1,2057,9890,-214,-26
-208,-5,-32,-1,2057,9890,-216,-26
-210,-6,-33,0,2057,9890,-219,-29
-211,-7,-34,1,2057,9890,-223,-30
-212,-9,-34,1,2057,9890,-224,-32
-213,-11,-34,1,2057,9890,-224,-35
-213,-14,-34,1,2057,9890,-224,-37
-215,-15,-35,0,2057,9890,-224,-39
-216,-15,-36,0,2057,9890,-225,-39
-217,-15,-36,0,2057,9890,-227,-39
-218,-16,-36,0,2057,9890,-227,-40
-219,-18,-36,0,2057,9890,-228,-41
-220,-19,-36,-1,2057,9890,-229,-42
-220,-21,-37,-1,2057,9890,-229,-45
-221,-22,-38,-2,2057,9890,-230,-46
-221,-23,-38,-2,2057,9890,-230,-47
-223,-24,-37,-1,2057,9890,-231,-47
-224,-25,-37,-1,2057,9890,-233,-48
-224,-25,-37,-1,2057,9890,-234,-48
-226,-25,-38,-2,2057,9890,-235,-50
-227,-26,-37,-1,2057,9890,-236,-50
-228,-27,-37,-1,2057,9890,-238,-51
-228,-28,-37,-1,2057,9890,-238,-52
-227,-30,-37,-1,2057,9890,-236,-54
-226,-31,-38,-2,2057,9890,-235,-54
-226,-31,-38,-1,2057,9890,-235,-54
-226,-31,-38,-2,2057,9890,-235,-54
-226,-31,-37,-1,2057,9890,-235,-54
-226,-32,-37,-1,2057,9890,-234,-56
-225,-33,-38,-1,2057,9890,-234,-57
-225,-34,-39,-2,2057,9890,-234,-59
-224,-35,-40,-4,2057,9890,-233,-61
-224,-36,-40,-6,2057,9890,-230,-62
-225,-37,-40,-7,2057,9890,-231,-63
-227,-37,-40,-6,2057,9890,-233,-63
-228,-37,-41,-5,2057,9890,-238,-63
-230,-36,-41,-5,2057,9890,-239,-62
-230,-36,-40,-5,2057,9890,-236,-62
-229,-36,-40,-6,2057,9890,-235,-62
-228,-37,-40,-6,2057,9890,-235,-63
-228,-38,-41,-5,2057,9890,-234,-64
-227,-38,-41,-4,2057,9890,-236,-64
-228,-38,-41,-4,2057,9890,-236,-64
-229,-39,-41,-4,2057,9890,-238,-64
-231,-39,-41,-4,2057,9890,-240,-65
-233,-40,-41,-5,2057,9890,-239,-67
-232,-40,-40,-6,2057,9890,-239,-67
-232,-40,-40,-6,2057,9890,-239,-67
-232,-40,-40,-6,2057,9890,-239,-67
-234,-41,-41,-5,2057,9890,-240,-67
-235,-42,-41,-4,2057,9890,-244,-68
-237,-43,-41,-4,2057,9890,-246,-69
-237,-43,-41,-5,2057,9890,-244,-69
-237,-42,-42,-6,2057,9890,-242,-68
-236,-43,-43,-7,2057,9890,-242,-69
-236,-44,-43,-7,2057,9890,-242,-70
-237,-45,-43,-7,2057,9890,-242,-70
-238,-45,-42,-6,2057,9890,-244,-72
-239,-44,-41,-5,2057,9890,-245,-70
-240,-44,-41,-5,2057,9890,-246,-70
-241,-45,-41,-5,2057,9890,-247,-72
-241,-45,-41,-5,2057,9890,-247,-72
-241,-45,-42,-6,2057,9890,-247,-72
-241,-45,-43,-7,2057,9890,-247,-72
-241,-45,-44,-7,2057,9890,-247,-72
-242,-46,-43,-7,2057,9890,-249,-72
-243,-46,-43,-7,2057,9890,-249,-73
-242,-45,-42,-6,2057,9890,-249,-72
-242,-45,-41,-5,2057,9890,-250,-72
-241,-45,-41,-5,2057,9890,-247,-72
-241,-45,-41,-5,2057,9890,-247,-72
-241,-45,-42,-6,2057,9890,-247,-72
-241,-45,-43,-6,2057,9890,-247,-72
-241,-45,-42,-6,2057,9890,-247,-72
-240,-46,-41,-5,2057,9890,-246,-72
-240,-46,-41,-5,2057,9890,-249,-73
-240,-46,-41,-5,2057,9890,-249,-73
-240,-46,-41,-5,2057,9890,-246,-73
-240,-46,-41,-5,2058,9890,-246,-73
-240,-46,-41,-5,2059,9890,-249,-72
-241,-45,-41,-5,2058,9890,-247,-72
-241,-45,-41,-5,2057,9890,-250,-72
-241,-45,-42,-6,2057,9890,-247,-72
-241,-45,-43,-7,2057,9890,-247,-72
-241,-45,-44,-7,2057,9890,-247,-72
-241,-45,-43,-7,2057,9890,-247,-72
-241,-45,-43,-6,2057,9890,-247,-72
-241,-45,-42,-6,2057,9890,-247,-72
-242,-43,-40,-6,2057,9890,-247,-70
-242,-42,-40,-6,2057,9890,-249,-68
-243,-41,-40,-6,2056,9890,-250,-67
-243,-40,-41,-7,2057,9890,-250,-67
-243,-40,-42,-9,2059,9890,-247,-67
-243,-41,-42,-10,2060,9890,-247,-67
-243,-40,-43,-10,2060,9890,-247,-67
-243,-40,-43,-10,2059,9890,-247,-67
-243,-41,-43,-10,2059,9890,-247,-67
-242,-42,-42,-10,2060,9890,-246,-68
-242,-43,-41,-11,2061,9890,-245,-70
-241,-45,-41,-12,2061,9890,-242,-70
-241,-45,-41,-12,2060,9890,-242,-72
-241,-45,-42,-12,2060,9890,-245,-72
-241,-45,-42,-12,2061,9890,-245,-72
-241,-45,-41,-11,2062,9890,-245,-72
-241,-45,-40,-10,2062,9890,-245,-69
-241,-45,-40,-10,2062,9890,-245,-69
-241,-45,-40,-11,2061,9890,-245,-69
-241,-45,-41,-12,2061,9890,-242,-72
-241,-45,-42,-12,2060,9890,-242,-72
-241,-45,-42,-11,2059,9890,-245,-72
-241,-45,-41,-10,2058,9890,-245,-72
-241,-45,-40,-9,2057,9890,-245,-72
-241,-45,-40,-8,2057,9890,-245,-72
-241,-45,-41,-8,2057,9890,-245,-72
-241,-45,-43,-9,2057,9890,-245,-72
-240,-44,-43,-9,2057,9890,-244,-70
-239,-44,-42,-9,2057,9890,-242,-70
-240,-44,-40,-8,2057,9890,-244,-70
-241,-44,-39,-7,2057,9890,-245,-68
-241,-45,-38,-7,2057,9890,-245,-69
-240,-46,-38,-8,2057,9890,-244,-70
-239,-48,-38,-9,2057,9890,-242,-72
-239,-49,-38,-9,2057,9890,-242,-73
-239,-48,-38,-9,2057,9890,-242,-72
-240,-46,-38,-8,2057,9890,-244,-70
-241,-45,-38,-8,2057,9890,-245,-69
-241,-44,-38,-8,2057,9890,-245,-68
-241,-45,-38,-8,2057,9890,-245,-69
