F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-5002,-6259,3933,9775,-985,-10000
-4136,-10000,-4748,-5895,3853,9780,-1168,-10000
-4136,-10000,-4524,-5564,3772,9785,-1339,-10000
-4136,-10000,-4305,-5243,3689,9790,-1502,-10000
-4136,-10000,-4090,-4929,3607,9795,-1661,-10000
-4135,-10000,-3885,-4630,3527,9801,-1812,-10000
-4135,-10000,-3693,-4348,3447,9805,-1956,-10000
-4140,-10000,-3511,-4082,3368,9810,-2098,-10000
-4148,-10000,-3339,-3833,3291,9815,-2232,-10000
-4146,-10000,-3177,-3600,3216,9819,-2347,-10000
-4133,-10000,-3027,-3384,3144,9824,-2443,-10000
-4133,-10000,-2887,-3185,3075,9828,-2544,-10000
-4168,-10000,-2757,-3002,3009,9832,-2673,-10000
-4340,-10000,-2635,-2832,2946,9836,-2927,-10000
-4607,-10000,-2520,-2676,2887,9840,-3272,-10000
-4896,-10000,-2412,-2533,2833,9843,-3632,-10000
-5139,-10000,-2310,-2401,2782,9846,-3939,-10000
-5323,-10000,-2214,-2279,2735,9849,-4178,-10000
-5472,-10000,-2121,-2167,2690,9851,-4382,-10000
-5608,-10000,-2034,-2063,2649,9854,-4566,-10000
-5737,-10000,-1953,-1967,2612,9856,-4740,-10000
-5874,-10000,-1875,-1878,2579,9858,-4918,-10000
-6022,-9974,-1802,-1795,2549,9860,-5102,-10000
-6147,-9738,-1731,-1718,2521,9862,-5261,-10000
-6232,-9493,-1662,-1645,2497,9863,-5378,-10000
-6126,-9157,-1597,-1576,2475,9865,-5305,-9857
-5872,-8752,-1533,-1511,2456,9866,-5085,-9424
-5561,-8326,-1472,-1450,2438,9867,-4807,-8971
-5286,-7927,-1412,-1390,2422,9868,-4566,-8546
-5070,-7569,-1355,-1332,2409,9869,-4382,-8163
-4886,-7235,-1299,-1278,2396,9869,-4226,-7804
-4701,-6909,-1245,-1225,2385,9870,-4067,-7452
-4512,-6587,-1193,-1174,2374,9871,-3905,-7108
-4324,-6273,-1143,-1124,2365,9871,-3745,-6775
-4143,-5970,-1095,-1074,2357,9872,-3588,-6451
-3967,-5676,-1049,-1025,2351,9872,-3441,-6137
-3797,-5394,-1004,-978,2343,9873,-3295,-5836
-3633,-5124,-960,-933,2336,9873,-3156,-5547
-3477,-4866,-918,-889,2328,9874,-3024,-5271
-3327,-4619,-878,-846,2321,9874,-2899,-5007
-3185,-4383,-840,-804,2315,9874,-2778,-4754
-3048,-4159,-804,-763,2310,9875,-2664,-4516
-2918,-3947,-769,-724,2304,9875,-2556,-4290
-2793,-3745,-736,-686,2298,9876,-2451,-4074
-2674,-3554,-704,-650,2291,9876,-2352,-3872
-2560,-3372,-673,-614,2284,9877,-2257,-3676
-2452,-3202,-644,-581,2277,9877,-2169,-3494
-2349,-3043,-617,-549,2272,9877,-2085,-3325
-2252,-2895,-592,-519,2266,9877,-2002,-3167
-2160,-2756,-569,-490,2260,9878,-1927,-3017
-2073,-2626,-546,-462,2253,9878,-1855,-2878
-1992,-2503,-524,-436,2247,9879,-1788,-2747
-1915,-2388,-503,-411,2241,9879,-1726,-2624
-1842,-2281,-484,-388,2235,9879,-1665,-2508
