F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-6306,-7881,4385,9748,-216,-10000
-4136,-10000,-6335,-7836,4352,9750,-257,-10000
-4136,-10000,-6374,-7797,4317,9752,-296,-10000
-4136,-10000,-6427,-7769,4278,9754,-330,-10000
-4136,-10000,-6466,-7727,4235,9757,-372,-10000
-4136,-10000,-6472,-7653,4190,9760,-426,-10000
-4136,-10000,-6359,-7469,4142,9763,-526,-10000
-4136,-10000,-6151,-7195,4093,9766,-657,-10000
-4136,-10000,-5903,-6888,4040,9769,-804,-10000
-4136,-10000,-5674,-6599,3985,9772,-941,-10000
-4136,-10000,-5477,-6344,3928,9776,-1065,-10000
-4136,-10000,-5297,-6105,3870,9779,-1180,-10000
-4136,-10000,-5118,-5869,3811,9783,-1297,-10000
-4136,-10000,-4938,-5635,3752,9786,-1409,-10000
-4136,-10000,-4762,-5408,3692,9790,-1519,-10000
-4136,-10000,-4592,-5189,3632,9794,-1624,-10000
-4136,-10000,-4428,-4978,3573,9797,-1727,-10000
-4136,-10000,-4270,-4776,3515,9801,-1825,-10000
-4136,-10000,-4119,-4583,3457,9805,-1917,-10000
-4136,-10000,-3974,-4399,3400,9808,-2003,-10000
-4136,-10000,-3834,-4224,3343,9812,-2088,-10000
-4136,-10000,-3700,-4057,3289,9815,-2166,-10000
-4135,-10000,-3570,-3896,3237,9818,-2242,-10000
-4138,-10000,-3444,-3743,3188,9821,-2318,-10000
-4144,-10000,-3323,-3597,3140,9824,-2392,-10000
-4144,-10000,-3206,-3457,3093,9827,-2456,-10000
-4133,-10000,-3096,-3323,3047,9830,-2507,-10000
-4133,-10000,-2990,-3195,3005,9832,-2565,-10000
-4150,-10000,-2888,-3072,2966,9835,-2642,-10000
-4260,-10000,-2787,-2954,2930,9837,-2805,-10000
-4443,-10000,-2690,-2842,2895,9839,-3039,-10000
-4654,-10000,-2596,-2735,2861,9841,-3299,-10000
-4845,-10000,-2508,-2632,2829,9843,-3537,-10000
-5003,-10000,-2422,-2533,2801,9845,-3741,-10000
-5142,-10000,-2341,-2436,2774,9846,-3924,-10000
-5279,-10000,-2261,-2343,2749,9848,-4104,-10000
-5418,-10000,-2184,-2254,2724,9849,-4283,-10000
-5555,-10000,-2110,-2169,2701,9851,-4460,-10000
-5685,-10000,-2038,-2088,2680,9852,-4626,-10000
-5802,-10000,-1969,-2009,2661,9853,-4777,-10000
-5916,-10000,-1902,-1934,2643,9855,-4925,-10000
-6048,-9912,-1837,-1860,2626,9855,-5091,-10000
-6166,-9703,-1775,-1788,2609,9857,-5241,-10000
-6274,-9499,-1716,-1720,2593,9858,-5382,-10000
-6273,-9248,-1658,-1655,2578,9859,-5411,-9969
-6109,-8921,-1602,-1591,2565,9859,-5283,-9620
-5862,-8560,-1548,-1530,2552,9860,-5069,-9236
-5620,-8210,-1497,-1472,2541,9861,-4860,-8866
-5427,-7895,-1446,-1415,2529,9861,-4698,-8528
-5265,-7606,-1398,-1361,2518,9862,-4566,-8220
-5107,-7328,-1351,-1308,2507,9863,-4437,-7922
-4942,-7055,-1306,-1256,2496,9863,-4301,-7633
-4778,-6790,-1263,-1206,2486,9864,-4165,-7351
-4621,-6537,-1222,-1159,2474,9865,-4034,-7080
-4468,-6292,-1182,-1115,2462,9866,-3906,-6819
-4322,-6058,-1143,-1072,2452,9866,-3783,-6567
-4181,-5834,-1106,-1031,2443,9867,-3663,-6329
-4045,-5619,-1071,-992,2435,9867,-3548,-6100
-3914,-5414,-1038,-954,2427,9868,-3438,-5881
-3789,-5218,-1006,-917,2417,9868,-3335,-5674
-3669,-5030,-974,-882,2408,9869,-3234,-5471
-3553,-4848,-943,-848,2399,9869,-3137,-5274
-3440,-4673,-913,-816,2392,9870,-3042,-5089
-3332,-4507,-884,-784,2385,9870,-2949,-4912
-3228,-4349,-857,-755,2378,9871,-2862,-4738
-3128,-4196,-831,-725,2370,9871,-2778,-4577
-3032,-4050,-806,-697,2363,9872,-2696,-4420
-2939,-3908,-781,-671,2356,9872,-2618,-4267
-2850,-3772,-758,-646,2349,9873,-2541,-4122
-2764,-3642,-734,-624,2343,9873,-2468,-3980
-2681,-3517,-711,-601,2336,9873,-2397,-3847
-2602,-3397,-689,-578,2330,9873,-2330,-3717
-2525,-3281,-668,-556,2324,9874,-2265,-3592
-2450,-3168,-649,-536,2320,9874,-2199,-3471
-2377,-3060,-632,-516,2315,9874,-2138,-3357
-2306,-2956,-613,-498,2310,9875,-2077,-3244
-2240,-2856,-594,-480,2305,9875,-2020,-3137
-2176,-2760,-575,-463,2300,9875,-1965,-3032
-2115,-2666,-558,-447,2296,9876,-1910,-2929
-2054,-2575,-543,-431,2292,9876,-1859,-2833
-1994,-2488,-529,-415,2289,9876,-1807,-2740
-1936,-2404,-513,-398,2285,9876,-1759,-2647
-1881,-2322,-498,-383,2281,9877,-1712,-2561
-1828,-2243,-483,-369,2277,9877,-1666,-2475
-1776,-2167,-469,-357,2274,9877,-1619,-2391
-1725,-2094,-456,-345,2272,9877,-1575,-2313
-1676,-2024,-443,-333,2270,9877,-1530,-2236
-1629,-1955,-429,-320,2268,9877,-1490,-2163
-1584,-1889,-415,-307,2265,9877,-1453,-2091
-1540,-1825,-404,-295,2262,9878,-1414,-2021
-1496,-1762,-395,-283,2260,9878,-1376,-1955
-1455,-1702,-386,-273,2258,9878,-1341,-1892
-1414,-1644,-375,-262,2255,9878,-1307,-1828
-1375,-1588,-365,-252,2251,9878,-1272,-1767
-1338,-1535,-353,-243,2248,9879,-1240,-1707
-1302,-1482,-342,-234,2246,9879,-1208,-1650
-1268,-1431,-332,-224,2245,9879,-1179,-1596
-1235,-1382,-322,-216,2244,9879,-1149,-1541
-1202,-1336,-314,-208,2242,9879,-1120,-1492
-1170,-1290,-306,-200,2240,9879,-1095,-1444
-1140,-1247,-298,-192,2239,9879,-1068,-1397
-1112,-1205,-290,-184,2237,9879,-1042,-1350
-1085,-1164,-281,-177,2235,9879,-1018,-1307
-1059,-1126,-274,-170,2234,9880,-996,-1265
-1033,-1089,-267,-164,2232,9880,-972,-1225
-1007,-1052,-260,-156,2231,9880,-953,-1186
-982,-1015,-253,-149,2229,9880,-931,-1143
-958,-980,-246,-143,2228,9880,-909,-1107
-934,-948,-239,-138,2226,9880,-887,-1071
-911,-916,-232,-134,2224,9880,-866,-1036
-889,-885,-226,-129,2222,9880,-848,-1003
-868,-855,-219,-124,2222,9880,-826,-970
-847,-826,-213,-119,2223,9880,-809,-938
-826,-798,-207,-113,2223,9880,-791,-908
-806,-771,-202,-107,2221,9880,-773,-877
-787,-744,-197,-103,2219,9880,-758,-848
-769,-718,-192,-99,2218,9880,-740,-819
-751,-694,-187,-94,2218,9880,-726,-792
-734,-670,-181,-89,2218,9880,-711,-769
-715,-647,-176,-84,2216,9880,-695,-742
-697,-623,-171,-80,2215,9880,-678,-716
-681,-601,-168,-76,2213,9881,-664,-690
-665,-580,-164,-73,2212,9881,-649,-670
-650,-561,-160,-69,2213,9881,-637,-648
-636,-541,-155,-64,2213,9881,-626,-626
-622,-520,-150,-60,2213,9881,-615,-605
-609,-500,-146,-56,2211,9881,-601,-582
-595,-481,-143,-53,2209,9881,-590,-560
-582,-464,-140,-50,2208,9881,-577,-543
-568,-448,-136,-46,2208,9881,-567,-523
-555,-432,-133,-43,2208,9881,-554,-507
-543,-415,-129,-40,2208,9881,-545,-489
-532,-399,-124,-37,2208,9881,-533,-469
-520,-383,-119,-36,2206,9881,-522,-451
-509,-368,-116,-34,2205,9881,-511,-435
-497,-354,-113,-32,2204,9881,-500,-418
-486,-339,-111,-30,2204,9881,-491,-405
-475,-325,-108,-27,2204,9881,-480,-388
-464,-312,-105,-24,2204,9881,-472,-374
-455,-298,-103,-22,2203,9881,-463,-360
-445,-285,-100,-20,2203,9881,-454,-344
-435,-272,-98,-18,2203,9881,-446,-330
-426,-259,-96,-16,2202,9881,-438,-316
-417,-247,-93,-13,2200,9881,-428,-303
-409,-235,-91,-11,2198,9882,-423,-291
-401,-224,-88,-9,2198,9882,-416,-278
-393,-214,-86,-7,2198,9882,-408,-268
-384,-204,-83,-6,2198,9882,-400,-255
-376,-194,-79,-4,2198,9882,-391,-245
-368,-184,-76,-3,2198,9882,-383,-233
-360,-175,-74,-1,2198,9882,-375,-223
-352,-165,-72,0,2198,9882,-371,-211
-344,-155,-71,0,2198,9882,-363,-201
-337,-145,-68,2,2199,9882,-356,-191
-330,-136,-66,4,2198,9882,-349,-179
-324,-128,-65,6,2197,9882,-345,-170
-317,-120,-63,7,2195,9882,-339,-163
-310,-113,-61,9,2195,9882,-332,-156
-303,-105,-59,11,2195,9882,-327,-145
-295,-98,-57,13,2195,9882,-319,-137
-289,-90,-55,14,2194,9882,-313,-129
-283,-82,-54,15,2193,9882,-308,-119
-279,-74,-53,17,2193,9882,-303,-112
-274,-68,-52,18,2193,9882,-302,-104
-270,-61,-50,19,2193,9882,-297,-98
-264,-56,-47,20,2193,9882,-292,-90
-259,-50,-44,21,2193,9882,-284,-83
-254,-44,-41,21,2193,9882,-279,-76
-249,-38,-40,22,2193,9882,-274,-69
-244,-32,-39,23,2193,9882,-272,-63
-239,-25,-38,24,2193,9882,-267,-54
-234,-19,-37,25,2193,9882,-263,-48
-230,-13,-36,26,2193,9882,-258,-42
-226,-7,-35,26,2193,9882,-255,-36
-222,-1,-35,27,2193,9882,-251,-30
-218,3,-34,28,2193,9882,-247,-24
-214,9,-32,29,2193,9882,-246,-17
-210,14,-30,31,2193,9882,-241,-12
-205,19,-29,32,2193,9882,-236,-7
-201,24,-28,33,2193,9882,-233,-1
-197,28,-28,33,2192,9882,-229,2
-194,33,-28,33,2191,9882,-227,7
-190,38,-27,34,2191,9882,-222,12
-185,43,-26,35,2191,9882,-219,20
-181,48,-25,36,2191,9882,-216,25
-177,53,-23,37,2190,9882,-212,30
-174,58,-22,39,2189,9882,-209,35
-171,61,-21,40,2188,9882,-206,39
-167,65,-20,41,2188,9882,-205,42
-165,68,-19,42,2189,9882,-202,47
-163,72,-18,42,2190,9882,-201,51
-161,75,-17,42,2190,9882,-196,54
-159,79,-14,42,2190,9882,-194,62
-155,83,-12,42,2189,9882,-190,65
-151,87,-11,42,2188,9882,-186,69
-147,91,-11,43,2189,9882,-183,73
-144,94,-10,43,2190,9882,-180,76
-142,97,-10,43,2190,9882,-178,80
-140,100,-9,44,2190,9882,-175,85
-138,103,-8,45,2189,9882,-174,87
-136,106,-7,46,2190,9882,-172,91
-134,109,-6,47,2190,9882,-172,93
-131,112,-4,48,2190,9882,-169,97
-127,114,-4,48,2190,9882,-166,100
-124,116,-5,48,2190,9882,-162,101
-122,118,-5,48,2191,9882,-161,103
-121,122,-5,48,2192,9882,-159,107
-120,125,-3,49,2192,9882,-159,112
-119,127,-2,50,2191,9882,-158,114
-117,129,-1,52,2192,9882,-156,117
-113,131,-1,52,2193,9882,-152,119
-110,134,-1,51,2193,9882,-148,122
-108,137,-1,51,2192,9882,-147,125
-107,140,-1,51,2190,9882,-146,128
-106,142,0,52,2188,9882,-145,130
-105,144,0,54,2188,9882,-146,133
-102,148,1,55,2188,9882,-144,137
-101,151,2,55,2189,9882,-142,141
-99,153,2,55,2189,9882,-141,144
-98,156,1,55,2188,9882,-140,146
-97,158,1,55,2188,9882,-139,148
-95,161,1,55,2188,9882,-137,151
-94,164,2,55,2188,9882,-136,155
-92,166,2,56,2188,9882,-134,156
-89,168,3,56,2188,9882,-131,158
-86,169,4,57,2188,9882,-128,159
-83,170,4,57,2188,9882,-125,161
-81,172,5,58,2188,9882,-123,162
-80,174,5,58,2188,9882,-122,164
-79,177,5,58,2188,9882,-120,168
-77,180,5,58,2188,9882,-119,170
-75,181,5,58,2188,9882,-118,172
-74,181,5,58,2188,9882,-117,172
