F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-6307,-7855,4313,9752,-235,-10000
-4136,-10000,-6367,-7818,4273,9755,-279,-10000
-4136,-10000,-6421,-7776,4229,9757,-323,-10000
-4136,-10000,-6466,-7727,4181,9760,-372,-10000
-4136,-10000,-6400,-7575,4128,9764,-462,-10000
-4136,-10000,-6196,-7294,4073,9767,-601,-10000
-4136,-10000,-5918,-6947,4016,9771,-765,-10000
-4136,-10000,-5649,-6610,3957,9774,-926,-10000
-4136,-10000,-5428,-6318,3897,9778,-1068,-10000
-4136,-10000,-5240,-6060,3835,9782,-1197,-10000
-4136,-10000,-5055,-5808,3772,9785,-1322,-10000
-4136,-10000,-4867,-5556,3710,9789,-1444,-10000
-4136,-10000,-4681,-5312,3649,9793,-1563,-10000
-4136,-10000,-4504,-5080,3587,9797,-1676,-10000
-4136,-10000,-4334,-4857,3523,9801,-1783,-10000
-4136,-10000,-4170,-4644,3460,9804,-1888,-10000
-4136,-10000,-4012,-4441,3398,9808,-1986,-10000
-4136,-10000,-3862,-4250,3338,9812,-2076,-10000
-4135,-10000,-3718,-4069,3279,9815,-2164,-10000
-4136,-10000,-3580,-3896,3223,9819,-2244,-10000
-4141,-10000,-3447,-3732,3169,9822,-2327,-10000
-4146,-10000,-3320,-3577,3117,9826,-2407,-10000
-4141,-10000,-3198,-3429,3067,9829,-2469,-10000
-4133,-10000,-3081,-3288,3018,9831,-2526,-10000
-4133,-10000,-2969,-3154,2972,9834,-2590,-10000
-4184,-10000,-2860,-3024,2930,9837,-2700,-10000
-4336,-10000,-2756,-2902,2890,9839,-2911,-10000
-4551,-10000,-2656,-2785,2853,9842,-3180,-10000
-4771,-10000,-2560,-2674,2817,9844,-3448,-10000
-4958,-10000,-2467,-2568,2782,9846,-3684,-10000
-5112,-10000,-2378,-2466,2750,9848,-3885,-10000
-5255,-10000,-2291,-2368,2721,9850,-4072,-10000
-5399,-10000,-2208,-2274,2695,9851,-4257,-10000
-5542,-10000,-2127,-2184,2671,9853,-4442,-10000
-5676,-10000,-2049,-2097,2648,9854,-4615,-10000
-5799,-10000,-1974,-2014,2625,9855,-4775,-10000
-5926,-10000,-1902,-1933,2604,9857,-4935,-10000
-6067,-9890,-1833,-1857,2584,9858,-5112,-10000
-6186,-9666,-1767,-1783,2568,9859,-5263,-10000
-6282,-9440,-1702,-1711,2552,9860,-5392,-10000
-6212,-9137,-1640,-1642,2537,9861,-5357,-9851
-6004,-8773,-1581,-1576,2523,9862,-5185,-9461
-5733,-8387,-1525,-1513,2510,9862,-4948,-9051
-5483,-8023,-1470,-1452,2497,9863,-4732,-8664
-5286,-7696,-1417,-1393,2484,9864,-4568,-8314
-5117,-7394,-1366,-1335,2472,9865,-4432,-7993
-4950,-7101,-1317,-1279,2461,9866,-4294,-7680
-4777,-6816,-1271,-1227,2451,9866,-4151,-7375
-4606,-6543,-1226,-1177,2442,9867,-4007,-7085
-4443,-6281,-1182,-1129,2432,9867,-3870,-6804
-4286,-6029,-1141,-1082,2422,9868,-3740,-6535
-4134,-5789,-1102,-1036,2414,9869,-3613,-6280
-3989,-5561,-1064,-992,2406,9869,-3491,-6035
-3851,-5343,-1027,-951,2398,9869,-3376,-5803
-3718,-5135,-992,-912,2388,9870,-3265,-5581
-3592,-4936,-959,-874,2379,9871,-3159,-5368
-3470,-4746,-928,-838,2370,9871,-3059,-5167
-3352,-4566,-898,-804,2362,9872,-2959,-4973
-3239,-4394,-868,-771,2355,9872,-2863,-4788
-3131,-4229,-839,-740,2348,9873,-2773,-4613
-3029,-4072,-812,-710,2341,9873,-2685,-4444
-2930,-3920,-785,-681,2333,9873,-2603,-4281
-2833,-3774,-760,-653,2326,9874,-2520,-4124
-2740,-3635,-735,-627,2319,9874,-2442,-3974
-2651,-3502,-711,-603,2312,9875,-2365,-3830
-2567,-3375,-689,-580,2305,9875,-2293,-3693
-2486,-3252,-667,-557,2299,9876,-2224,-3563
-2408,-3134,-646,-535,2292,9876,-2158,-3433
-2331,-3021,-625,-513,2286,9876,-2093,-3311
-2257,-2911,-605,-493,2280,9877,-2031,-3194
-2186,-2805,-586,-473,2276,9877,-1969,-3082
-2118,-2703,-568,-456,2271,9877,-1910,-2972
-2054,-2606,-550,-439,2266,9877,-1853,-2866
-1991,-2514,-532,-423,2261,9878,-1799,-2766
-1930,-2425,-516,-406,2257,9878,-1746,-2670
-1870,-2337,-502,-389,2253,9878,-1695,-2574
-1812,-2251,-487,-374,2250,9878,-1646,-2482
-1756,-2168,-472,-359,2246,9879,-1597,-2395
-1702,-2089,-457,-346,2242,9879,-1550,-2307
-1650,-2014,-443,-333,2238,9879,-1505,-2226
-1601,-1942,-430,-321,2236,9879,-1461,-2148
-1553,-1872,-417,-309,2233,9880,-1419,-2072
-1506,-1804,-404,-297,2231,9880,-1379,-2000
-1460,-1739,-392,-285,2227,9880,-1339,-1928
-1414,-1675,-380,-273,2224,9880,-1300,-1860
-1370,-1614,-368,-263,2222,9880,-1262,-1793
-1328,-1556,-356,-254,2221,9880,-1223,-1728
-1288,-1499,-344,-245,2219,9880,-1186,-1666
-1250,-1444,-334,-235,2216,9880,-1153,-1608
-1213,-1391,-324,-226,2214,9881,-1120,-1550
-1178,-1340,-314,-218,2213,9881,-1088,-1494
-1144,-1292,-304,-209,2211,9881,-1060,-1442
-1113,-1245,-296,-200,2209,9881,-1032,-1390
-1081,-1199,-288,-191,2207,9881,-1007,-1341
-1050,-1154,-280,-183,2204,9881,-981,-1293
-1019,-1112,-271,-176,2203,9881,-950,-1248
-989,-1073,-261,-170,2203,9881,-924,-1203
-960,-1033,-253,-163,2202,9881,-899,-1162
-933,-995,-247,-156,2200,9881,-875,-1120
-907,-957,-240,-150,2198,9882,-852,-1077
-882,-922,-233,-143,2196,9882,-831,-1040
-858,-888,-225,-136,2195,9882,-809,-1003
-834,-856,-218,-130,2194,9882,-788,-968
-811,-824,-212,-124,2193,9882,-767,-933
-788,-793,-206,-119,2192,9882,-748,-899
-767,-763,-200,-113,2190,9882,-731,-866
-748,-734,-195,-107,2189,9882,-714,-834
-729,-707,-190,-101,2188,9882,-698,-808
-710,-681,-185,-94,2187,9882,-684,-778
-690,-656,-180,-90,2186,9882,-667,-751
-672,-631,-175,-86,2186,9882,-649,-723
-654,-608,-169,-82,2185,9882,-633,-697
-638,-584,-163,-79,2184,9883,-620,-671
-623,-561,-159,-74,2183,9883,-606,-648
-607,-539,-156,-69,2182,9883,-594,-623
-591,-518,-152,-64,2180,9883,-581,-601
