F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
61,320,43,74,2153,9884,17,333
59,313,43,74,2151,9884,14,325
56,308,43,74,2150,9884,12,321
53,304,44,74,2149,9885,8,317
49,301,44,75,2149,9885,2,313
46,297,44,76,2150,9884,0,310
43,292,42,78,2150,9884,-6,302
38,287,41,78,2149,9885,-10,296
33,283,40,78,2149,9885,-15,292
29,280,40,78,2149,9885,-19,290
25,279,39,77,2149,9885,-23,289
22,278,38,76,2149,9885,-25,285
20,276,37,74,2149,9885,-25,283
20,274,35,73,2149,9885,-26,281
19,273,34,72,2149,9885,-26,280
18,274,33,71,2149,9885,-28,280
16,273,33,71,2149,9885,-29,278
14,273,33,71,2149,9885,-31,277
14,273,33,71,2149,9885,-32,280
13,274,33,71,2149,9885,-32,281
14,277,33,71,2149,9885,-31,284
15,278,33,72,2149,9885,-30,283
16,280,32,72,2149,9885,-30,284
16,281,32,72,2149,9885,-30,285
16,283,31,71,2149,9885,-29,288
18,285,32,70,2149,9885,-28,289
19,287,32,70,2149,9885,-26,291
21,290,33,71,2150,9884,-25,294
21,291,32,70,2150,9884,-24,296
23,292,32,70,2149,9885,-23,296
25,291,32,70,2148,9885,-21,296
26,292,33,71,2147,9885,-20,297
27,294,33,71,2148,9885,-19,301
28,296,33,71,2149,9885,-18,303
28,298,33,71,2150,9884,-18,305
29,298,33,71,2150,9884,-17,302
30,298,33,71,2149,9885,-15,305
31,298,33,71,2149,9885,-15,306
32,299,33,71,2149,9885,-14,306
32,299,33,71,2149,9885,-14,305
32,299,33,71,2149,9885,-14,303
31,297,33,71,2149,9885,-15,303
31,295,34,70,2149,9885,-13,302
32,293,35,70,2149,9885,-12,301
33,293,35,71,2149,9885,-13,301
32,294,35,72,2149,9885,-13,301
32,293,34,72,2149,9885,-14,301
31,293,33,71,2149,9885,-15,297
31,293,33,71,2150,9884,-14,300
31,293,34,72,2150,9884,-14,300
31,293,35,72,2149,9885,-14,300
31,293,35,73,2148,9885,-14,300
32,293,35,72,2146,9885,-14,300
32,293,34,72,2145,9885,-14,300
31,293,33,71,2145,9885,-14,300
30,292,33,71,2147,9885,-15,300
28,291,33,71,2147,9885,-18,299
27,291,33,71,2147,9885,-19,297
26,291,33,71,2146,9885,-19,297
27,291,33,71,2145,9885,-19,299
27,290,33,71,2144,9885,-19,297
28,290,33,71,2144,9885,-18,297
28,289,33,71,2145,9885,-18,296
28,289,33,71,2145,9885,-18,296
26,290,33,71,2145,9885,-20,297
24,290,33,71,2144,9885,-21,296
23,289,33,71,2144,9885,-23,296
22,287,33,71,2144,9885,-23,294
23,285,33,71,2144,9885,-23,291
24,283,33,71,2144,9885,-21,290
24,283,33,71,2144,9885,-21,290
23,283,33,71,2144,9885,-23,288
22,283,32,70,2144,9885,-24,288
21,282,32,70,2144,9885,-25,286
20,281,32,70,2144,9885,-25,286
21,282,33,71,2144,9885,-25,286
21,282,33,71,2144,9885,-25,289
21,282,33,71,2144,9885,-25,289
21,282,33,71,2144,9885,-25,289
21,282,33,71,2144,9885,-25,289
21,282,33,71,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,33,71,2144,9885,-25,286
21,282,34,71,2144,9885,-25,289
21,282,34,71,2144,9885,-25,289
21,282,33,71,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,33,71,2144,9885,-25,286
21,282,33,71,2144,9885,-25,289
22,282,33,71,2144,9885,-24,289
23,283,33,71,2144,9885,-23,290
23,283,33,71,2144,9885,-23,290
23,283,33,71,2144,9885,-23,290
22,282,33,71,2144,9885,-24,289
21,282,33,71,2144,9885,-25,286
21,282,33,71,2144,9885,-25,286
21,282,33,71,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,32,70,2144,9885,-25,286
21,282,31,71,2144,9885,-25,286
21,282,29,72,2144,9885,-28,286
21,282,28,74,2144,9885,-28,284
21,282,28,74,2144,9885,-28,284
20,281,30,73,2144,9885,-29,285
19,281,31,71,2144,9885,-26,285
18,281,32,70,2144,9885,-28,285
17,280,31,68,2144,9885,-26,284
18,279,30,68,2144,9885,-25,283
19,277,29,68,2144,9885,-24,281
20,276,29,68,2144,9885,-23,280
20,275,29,68,2145,9885,-23,280
19,275,30,68,2145,9885,-24,280
18,275,30,68,2144,9885,-25,280
18,276,29,68,2144,9885,-25,280
18,275,29,68,2144,9885,-25,280
19,275,29,68,2145,9885,-24,279
19,274,29,68,2146,9885,-24,278
19,274,29,68,2146,9885,-24,278
19,274,29,68,2145,9885,-24,278
19,275,29,68,2145,9885,-24,279
19,275,29,68,2146,9885,-24,280
18,275,29,68,2148,9885,-25,279
18,274,29,68,2149,9885,-25,279
17,274,30,68,2148,9885,-25,279
18,274,29,68,2146,9885,-25,279
17,274,29,68,2146,9885,-26,279
16,274,30,68,2146,9885,-26,278
14,273,30,68,2146,9885,-29,278
14,273,30,68,2145,9885,-29,277
14,273,29,67,2144,9885,-29,277
14,273,29,67,2144,9885,-29,277
14,272,28,67,2144,9885,-29,277
13,272,28,67,2145,9885,-30,277
12,271,28,66,2145,9885,-31,275
11,271,28,66,2144,9885,-32,275
10,271,28,66,2144,9885,-32,275
10,271,28,66,2144,9885,-32,275
10,269,28,67,2144,9885,-32,274
12,268,27,66,2144,9885,-31,272
13,266,26,65,2144,9885,-30,268
11,265,25,64,2144,9885,-31,267
9,265,26,64,2144,9885,-34,267
8,264,26,64,2144,9885,-35,267
8,264,26,65,2144,9885,-35,266
8,264,25,65,2144,9885,-35,266
7,263,23,67,2144,9885,-39,264
5,263,23,68,2144,9885,-40,262
3,262,23,69,2144,9885,-41,261
3,261,24,69,2144,9885,-42,263
3,262,24,69,2144,9885,-42,263
4,262,24,69,2144,9885,-41,264
4,262,23,68,2144,9885,-41,261
3,261,22,68,2144,9885,-42,260
1,259,23,68,2144,9885,-43,258
0,258,23,68,2144,9885,-45,257
0,258,23,68,2144,9885,-45,257
0,258,23,68,2144,9885,-45,257
1,257,23,68,2144,9885,-43,256
0,255,23,68,2144,9885,-45,253
0,253,23,68,2144,9885,-46,252
-1,253,23,68,2144,9885,-47,252
-2,253,23,68,2144,9885,-48,252
-2,253,23,68,2144,9885,-48,252
-3,252,22,67,2144,9885,-48,251
-5,251,20,65,2144,9885,-51,250
-6,251,19,65,2144,9885,-52,250
-6,250,19,65,2144,9885,-52,250
-6,250,20,65,2144,9885,-52,250
-7,250,21,66,2144,9885,-53,250
-9,249,20,66,2144,9885,-54,249
-10,249,19,65,2144,9885,-56,247
-10,247,19,65,2144,9885,-56,246
-10,245,19,65,2144,9885,-56,244
-11,242,19,65,2144,9885,-57,241
-12,242,19,65,2144,9885,-57,240
-13,242,19,65,2144,9885,-58,240
-14,241,19,65,2144,9885,-59,240
-15,240,19,65,2144,9885,-61,239
-16,238,19,65,2144,9885,-62,238
-16,238,19,65,2144,9885,-62,236
-16,237,19,65,2144,9885,-62,235
-16,235,19,65,2144,9885,-62,234
-17,234,19,65,2144,9885,-63,233
-19,233,19,65,2145,9885,-64,231
-19,233,19,65,2145,9885,-64,231
-20,232,19,65,2144,9885,-65,230
-21,230,19,65,2144,9885,-67,229
-23,228,19,65,2144,9885,-69,228
-25,227,18,64,2145,9885,-68,227
-26,227,17,62,2146,9885,-69,223
-26,225,16,61,2146,9885,-69,222
-26,224,15,61,2146,9885,-69,220
-27,222,15,61,2145,9885,-70,219
-29,222,16,61,2144,9885,-72,218
-31,221,16,61,2144,9885,-74,218
-32,220,15,61,2144,9885,-75,217
-34,218,14,60,2145,9885,-76,214
-35,214,13,59,2145,9885,-78,211
-37,212,12,58,2144,9885,-80,208
-39,211,12,57,2144,9885,-79,207
-40,210,12,58,2144,9885,-80,207
-41,210,12,58,2144,9885,-84,206
-42,208,12,58,2144,9885,-83,203
-44,204,12,58,2144,9885,-84,201
-46,202,12,58,2144,9885,-89,197
-49,200,12,58,2144,9885,-92,196
-52,198,12,58,2144,9885,-95,194
-53,196,11,57,2144,9885,-92,190
-55,194,9,56,2144,9885,-95,187
-57,190,8,54,2144,9885,-97,184
-59,187,9,54,2144,9885,-98,180
-61,184,8,55,2144,9885,-101,178
-62,182,7,56,2144,9885,-102,175
-65,181,5,56,2144,9885,-107,172
-67,179,3,56,2144,9885,-109,170
-70,177,1,55,2144,9885,-112,164
-72,173,1,55,2144,9885,-114,162
-74,170,2,55,2144,9885,-115,161
-76,167,2,55,2144,9885,-118,158
-78,164,0,54,2144,9885,-120,152
-80,162,0,53,2144,9885,-122,150
-82,159,-1,52,2144,9885,-122,147
-84,155,-1,51,2144,9885,-123,144
-86,151,-1,52,2144,9885,-125,139
-89,147,-3,52,2144,9885,-130,133
-91,144,-6,51,2144,9885,-133,130
-93,141,-7,51,2144,9885,-135,126
-96,138,-7,51,2144,9885,-137,124
-99,135,-7,50,2144,9885,-140,120
-101,132,-7,50,2144,9885,-142,117
-103,129,-8,49,2144,9885,-145,112
-105,125,-10,49,2144,9885,-146,107
-108,120,-10,49,2144,9885,-148,103
-111,115,-11,49,2144,9885,-152,98
-115,112,-12,49,2144,9885,-156,95
-118,108,-13,47,2144,9885,-159,90
-122,104,-14,46,2144,9885,-159,85
-125,101,-15,45,2144,9885,-163,80
-129,96,-16,45,2145,9885,-167,76
-131,91,-16,44,2145,9885,-169,72
