F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-6147,-9734,-6843,-1481,762,2237,-7236,-10000
-6032,-9950,-6951,-1564,777,2242,-7086,-10000
-5914,-10000,-7059,-1648,792,2249,-6932,-10000
-5793,-10000,-7168,-1733,807,2255,-6772,-10000
-5669,-10000,-7278,-1820,824,2261,-6611,-10000
-5542,-10000,-7388,-1910,841,2266,-6445,-10000
-5412,-10000,-7499,-2002,857,2272,-6274,-10000
-5278,-10000,-7610,-2096,872,2279,-6096,-10000
-5141,-10000,-7720,-2191,888,2287,-5915,-10000
-5003,-10000,-7831,-2287,904,2295,-5732,-10000
-4864,-10000,-7940,-2383,921,2303,-5547,-10000
-4720,-10000,-8049,-2481,939,2309,-5355,-10000
-4564,-10000,-8160,-2581,957,2318,-5149,-10000
-4401,-10000,-8271,-2682,974,2327,-4939,-10000
-4258,-10000,-8382,-2785,992,2337,-4742,-10000
-4163,-10000,-8493,-2891,1010,2348,-4598,-10000
-4133,-10000,-8603,-2997,1029,2358,-4519,-10000
-4133,-10000,-8712,-3105,1048,2368,-4475,-10000
-4140,-10000,-8822,-3213,1066,2378,-4434,-10000
-4142,-10000,-8933,-3323,1085,2389,-4391,-10000
-4139,-10000,-9043,-3435,1103,2401,-4337,-10000
-4136,-10000,-9150,-3546,1122,2412,-4286,-10000
-4136,-10000,-9256,-3658,1141,2424,-4233,-10000
-4136,-10000,-9364,-3774,1160,2436,-4179,-10000
-4136,-10000,-9478,-3896,1181,2447,-4124,-10000
-4136,-10000,-9591,-4019,1202,2459,-4068,-10000
-4136,-10000,-9681,-4122,1223,2473,-4019,-10000
-4136,-10000,-9731,-4189,1244,2488,-3983,-10000
-4136,-10000,-9738,-4219,1266,2503,-3962,-10000
-4136,-10000,-9723,-4230,1287,2518,-3949,-10000
-4136,-10000,-9704,-4237,1308,2533,-3939,-10000
-4136,-10000,-9691,-4250,1329,2548,-3923,-10000
-4136,-10000,-9680,-4267,1350,2564,-3907,-10000
-4136,-10000,-9667,-4284,1372,2580,-3890,-10000
-4136,-10000,-9652,-4301,1394,2596,-3874,-10000
-4136,-10000,-9635,-4318,1416,2613,-3853,-10000
-4136,-10000,-9618,-4337,1437,2631,-3835,-10000
-4136,-10000,-9601,-4356,1459,2649,-3814,-10000
-4136,-10000,-9583,-4375,1482,2668,-3794,-10000
-4136,-10000,-9564,-4395,1505,2687,-3773,-10000
-4136,-10000,-9545,-4416,1528,2707,-3750,-10000
-4136,-10000,-9525,-4437,1550,2727,-3729,-10000
-4136,-10000,-9504,-4459,1571,2747,-3703,-10000
-4136,-10000,-9483,-4482,1593,2767,-3680,-10000
-4136,-10000,-9461,-4506,1616,2787,-3654,-10000
-4136,-10000,-9439,-4530,1639,2810,-3629,-10000
-4136,-10000,-9416,-4554,1663,2832,-3603,-10000
-4136,-10000,-9392,-4579,1687,2856,-3576,-10000
-4136,-10000,-9369,-4604,1711,2879,-3551,-10000
-4136,-10000,-9344,-4631,1736,2901,-3523,-10000
-4136,-10000,-9319,-4658,1760,2924,-3492,-10000
-4136,-10000,-9293,-4686,1783,2949,-3463,-10000
-4136,-10000,-9266,-4715,1806,2974,-3432,-10000
-4136,-10000,-9240,-4743,1829,3000,-3404,-10000
-4136,-10000,-9213,-4771,1854,3026,-3372,-10000
-4136,-10000,-9186,-4800,1879,3052,-3342,-10000
-4136,-10000,-9158,-4831,1904,3079,-3308,-10000
-4136,-10000,-9129,-4862,1929,3107,-3277,-10000
-4136,-10000,-9099,-4894,1954,3136,-3241,-10000
-4136,-10000,-9069,-4926,1979,3165,-3208,-10000
-4136,-10000,-9039,-4958,2004,3195,-3173,-10000
-4136,-10000,-9009,-4990,2029,3224,-3140,-10000
-4136,-10000,-8979,-5023,2054,3255,-3104,-10000
-4136,-10000,-8948,-5055,2079,3286,-3071,-10000
-4136,-10000,-8917,-5089,2104,3318,-3034,-10000
-4136,-10000,-8885,-5123,2129,3350,-2998,-10000
-4136,-10000,-8853,-5158,2154,3382,-2962,-10000
-4136,-10000,-8819,-5194,2179,3415,-2923,-10000
-4136,-10000,-8786,-5229,2206,3449,-2884,-10000
-4136,-10000,-8754,-5264,2232,3483,-2847,-10000
-4136,-10000,-8722,-5298,2258,3519,-2812,-10000
-4136,-10000,-8688,-5334,2283,3554,-2773,-10000
-4136,-10000,-8654,-5371,2307,3589,-2734,-10000
-4136,-10000,-8620,-5408,2332,3624,-2696,-10000
-4136,-10000,-8586,-5444,2357,3660,-2657,-10000
-4136,-10000,-8553,-5480,2383,3698,-2618,-10000
-4136,-10000,-8519,-5516,2409,3737,-2579,-10000
-4136,-10000,-8484,-5553,2435,3777,-2540,-10000
-4136,-10000,-8450,-5590,2460,3816,-2502,-10000
-4136,-10000,-8416,-5626,2485,3855,-2463,-10000
-4136,-10000,-8382,-5662,2510,3894,-2424,-10000
-4136,-10000,-8348,-5699,2535,3935,-2385,-10000
-4136,-10000,-8313,-5736,2561,3976,-2345,-10000
-4136,-10000,-8279,-5773,2586,4017,-2305,-10000
-4136,-10000,-8245,-5810,2611,4057,-2266,-10000
-4136,-10000,-8210,-5847,2636,4098,-2227,-10000
-4136,-10000,-8176,-5884,2660,4142,-2190,-10000
-4136,-10000,-8141,-5921,2685,4187,-2148,-10000
-4136,-10000,-8107,-5958,2710,4232,-2109,-10000
-4136,-10000,-8073,-5995,2734,4277,-2070,-10000
-4136,-10000,-8038,-6031,2759,4322,-2031,-10000
-4136,-10000,-8004,-6068,2784,4368,-1993,-10000
-4136,-10000,-7970,-6104,2809,4414,-1954,-10000
-4136,-10000,-7936,-6141,2833,4459,-1915,-10000
-4136,-10000,-7902,-6178,2857,4507,-1876,-10000
-4136,-10000,-7867,-6215,2880,4556,-1834,-10000
-4136,-10000,-7834,-6251,2904,4605,-1799,-10000
-4136,-10000,-7800,-6287,2928,4654,-1760,-10000
-4136,-10000,-7768,-6322,2952,4704,-1721,-10000
-4136,-10000,-7735,-6356,2976,4753,-1685,-10000
-4136,-10000,-7703,-6391,2999,4803,-1649,-10000
-4136,-10000,-7671,-6425,3024,4854,-1612,-10000
-4136,-10000,-7638,-6461,3048,4905,-1574,-10000
-4136,-10000,-7605,-6496,3071,4957,-1538,-10000
-4136,-10000,-7573,-6530,3094,5009,-1499,-10000
-4136,-10000,-7542,-6564,3116,5062,-1466,-10000
-4136,-10000,-7511,-6596,3139,5116,-1429,-10000
-4136,-10000,-7481,-6629,3162,5170,-1396,-10000
-4136,-10000,-7450,-6662,3185,5225,-1359,-10000
-4136,-10000,-7419,-6696,3206,5280,-1323,-10000
-4136,-10000,-7388,-6729,3228,5335,-1290,-10000
-4136,-10000,-7359,-6760,3249,5392,-1256,-10000
-4136,-10000,-7330,-6791,3270,5447,-1223,-10000
-4136,-10000,-7301,-6822,3292,5503,-1189,-10000
-4136,-10000,-7272,-6853,3313,5559,-1158,-10000
-4136,-10000,-7243,-6884,3334,5615,-1124,-10000
-4136,-10000,-7215,-6914,3356,5674,-1093,-10000
-4136,-10000,-7188,-6943,3376,5732,-1059,-10000
-4136,-10000,-7161,-6972,3397,5792,-1031,-10000
-4136,-10000,-7135,-7000,3417,5850,-1001,-10000
-4136,-10000,-7108,-7029,3437,5908,-969,-10000
-4136,-10000,-7083,-7056,3457,5967,-941,-10000
-4136,-10000,-7057,-7083,3477,6027,-913,-10000
-4136,-10000,-7032,-7110,3497,6088,-883,-10000
-4136,-10000,-7007,-7137,3516,6150,-855,-10000
-4136,-10000,-6982,-7163,3534,6211,-827,-10000
-4136,-10000,-6958,-7190,3552,6272,-799,-10000
-4136,-10000,-6935,-7215,3570,6334,-772,-10000
-4136,-10000,-6913,-7238,3589,6396,-747,-10000
-4136,-10000,-6891,-7262,3608,6458,-721,-10000
-4136,-10000,-6869,-7285,3626,6522,-698,-10000
-4136,-10000,-6848,-7308,3645,6585,-672,-10000
-4136,-10000,-6826,-7331,3663,6649,-649,-10000
-4136,-10000,-6805,-7354,3681,6713,-623,-10000
-4136,-10000,-6785,-7376,3697,6777,-599,-10000
-4136,-10000,-6765,-7396,3714,6841,-579,-10000
-4136,-10000,-6747,-7417,3731,6906,-555,-10000
-4136,-10000,-6728,-7437,3748,6971,-535,-10000
-4136,-10000,-6708,-7458,3765,7038,-515,-10000
-4136,-10000,-6690,-7477,3783,7104,-491,-10000
-4136,-10000,-6672,-7497,3800,7170,-473,-10000
-4136,-10000,-6655,-7515,3816,7236,-452,-10000
-4136,-10000,-6638,-7532,3830,7304,-434,-10000
-4136,-10000,-6622,-7550,3844,7372,-416,-10000
-4136,-10000,-6606,-7567,3859,7441,-397,-10000
-4136,-10000,-6591,-7583,3874,7509,-380,-10000
-4136,-10000,-6576,-7600,3890,7576,-362,-10000
-4136,-10000,-6561,-7615,3905,7644,-346,-10000
-4136,-10000,-6548,-7630,3919,7713,-330,-10000
-4136,-10000,-6535,-7644,3933,7782,-316,-10000
-4136,-10000,-6522,-7658,3947,7851,-300,-10000
-4136,-10000,-6509,-7671,3961,7920,-286,-10000
-4136,-10000,-6497,-7685,3975,7990,-272,-10000
-4136,-10000,-6485,-7697,3989,8059,-258,-10000
-4136,-10000,-6474,-7709,4004,8129,-245,-10000
-4136,-10000,-6463,-7720,4017,8200,-233,-10000
-4136,-10000,-6453,-7731,4030,8270,-222,-10000
-4136,-10000,-6443,-7741,4042,8339,-212,-10000
-4136,-10000,-6435,-7751,4053,8409,-201,-10000
-4136,-10000,-6426,-7760,4065,8478,-191,-10000
-4136,-10000,-6418,-7769,4078,8547,-180,-10000
-4136,-10000,-6410,-7777,4090,8616,-173,-10000
-4136,-10000,-6403,-7786,4101,8685,-166,-10000
-4136,-10000,-6395,-7793,4112,8754,-155,-10000
-4136,-10000,-6389,-7800,4122,8822,-150,-10000
-4136,-10000,-6383,-7806,4134,8890,-142,-10000
-4136,-10000,-6378,-7812,4145,8956,-137,-10000
-4136,-10000,-6373,-7817,4156,9022,-131,-10000
-4136,-10000,-6369,-7821,4165,9088,-126,-10000
-4136,-10000,-6365,-7825,4173,9151,-122,-10000
-4136,-10000,-6361,-7830,4180,9214,-117,-10000
-4136,-10000,-6358,-7834,4188,9276,-113,-10000
-4136,-10000,-6355,-7837,4195,9337,-108,-10000
-4136,-10000,-6352,-7840,4203,9396,-106,-10000
-4136,-10000,-6350,-7842,4211,9453,-103,-10000
-4136,-10000,-6348,-7844,4220,9505,-103,-10000
-4136,-10000,-6347,-7845,4226,9556,-101,-10000
-4136,-10000,-6346,-7846,4232,9609,-101,-10000
-4136,-10000,-6345,-7848,4238,9662,-98,-10000
-4136,-10000,-6344,-7849,4242,9709,-98,-10000
-4136,-10000,-6342,-7850,4247,9742,-96,-10000
-4136,-10000,-6342,-7850,4251,9757,-96,-10000
-4136,-10000,-6342,-7850,4253,9758,-96,-10000
-4136,-10000,-6344,-7849,4254,9755,-98,-10000
-4136,-10000,-6345,-7847,4256,9754,-98,-10000
-4136,-10000,-6346,-7846,4257,9755,-101,-10000
-4136,-10000,-6346,-7846,4259,9756,-101,-10000
-4136,-10000,-6346,-7846,4261,9756,-101,-10000
-4136,-10000,-6345,-7847,4263,9756,-98,-10000
-4136,-10000,-6346,-7846,4264,9755,-98,-10000
-4136,-10000,-6347,-7845,4264,9755,-101,-10000
-4136,-10000,-6349,-7843,4264,9755,-103,-10000
-4136,-10000,-6350,-7841,4266,9755,-106,-10000
-4136,-10000,-6351,-7840,4268,9755,-106,-10000
-4136,-10000,-6352,-7840,4269,9755,-106,-10000
-4136,-10000,-6352,-7840,4269,9755,-106,-10000
-4136,-10000,-6352,-7839,4269,9755,-106,-10000
-4136,-10000,-6353,-7839,4270,9755,-106,-10000
-4136,-10000,-6353,-7838,4272,9755,-108,-10000
-4136,-10000,-6354,-7837,4274,9755,-108,-10000
-4136,-10000,-6356,-7836,4276,9754,-111,-10000
-4136,-10000,-6357,-7834,4277,9754,-113,-10000
-4136,-10000,-6358,-7833,4279,9754,-113,-10000
-4136,-10000,-6359,-7832,4279,9754,-113,-10000
-4136,-10000,-6359,-7832,4280,9754,-113,-10000
-4136,-10000,-6359,-7832,4282,9754,-113,-10000
-4136,-10000,-6359,-7832,4284,9754,-113,-10000
-4136,-10000,-6360,-7831,4286,9754,-117,-10000
-4136,-10000,-6361,-7830,4287,9754,-117,-10000
-4136,-10000,-6363,-7827,4288,9754,-119,-10000
-4136,-10000,-6365,-7826,4289,9754,-122,-10000
-4136,-10000,-6366,-7825,4290,9754,-122,-10000
-4136,-10000,-6367,-7824,4292,9754,-124,-10000
-4136,-10000,-6368,-7822,4293,9754,-124,-10000
-4136,-10000,-6370,-7820,4295,9754,-126,-10000
-4136,-10000,-6371,-7819,4297,9753,-129,-10000
-4136,-10000,-6372,-7818,4298,9753,-129,-10000
-4136,-10000,-6374,-7817,4299,9753,-131,-10000
-4136,-10000,-6375,-7815,4300,9753,-134,-10000
-4136,-10000,-6378,-7812,4301,9753,-137,-10000
-4136,-10000,-6380,-7809,4303,9753,-140,-10000
-4136,-10000,-6382,-7807,4304,9753,-142,-10000
-4136,-10000,-6385,-7805,4305,9753,-145,-10000
-4136,-10000,-6386,-7803,4306,9753,-145,-10000
-4136,-10000,-6389,-7800,4307,9753,-150,-10000
-4136,-10000,-6392,-7796,4308,9753,-152,-10000
-4136,-10000,-6396,-7793,4310,9753,-157,-10000
-4136,-10000,-6399,-7789,4311,9752,-161,-10000
-4136,-10000,-6401,-7787,4313,9752,-163,-10000
-4136,-10000,-6404,-7784,4313,9752,-166,-10000
-4136,-10000,-6406,-7782,4313,9752,-168,-10000
-4136,-10000,-6408,-7779,4313,9752,-170,-10000
-4136,-10000,-6412,-7775,4312,9752,-175,-10000
-4136,-10000,-6416,-7771,4313,9752,-180,-10000
-4136,-10000,-6420,-7766,4315,9752,-184,-10000
-4136,-10000,-6424,-7763,4316,9752,-189,-10000
-4136,-10000,-6427,-7760,4318,9752,-191,-10000
-4136,-10000,-6429,-7757,4318,9752,-194,-10000
-4136,-10000,-6432,-7754,4318,9752,-198,-10000
-4136,-10000,-6436,-7750,4318,9752,-201,-10000
-4136,-10000,-6439,-7747,4318,9752,-207,-10000
-4136,-10000,-6442,-7743,4318,9752,-209,-10000
-4136,-10000,-6446,-7739,4318,9752,-214,-10000
-4136,-10000,-6449,-7736,4318,9752,-217,-10000
