F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-2161,-5750,-768,-991,-215,709,-1672,-6021
-2086,-5455,-738,-949,-216,731,-1619,-5716
-2010,-5162,-708,-907,-216,751,-1566,-5413
-1933,-4872,-680,-866,-216,771,-1511,-5114
-1856,-4585,-652,-824,-217,791,-1453,-4819
-1779,-4303,-623,-781,-217,810,-1398,-4527
-1702,-4025,-593,-739,-218,828,-1344,-4240
-1626,-3755,-564,-699,-217,846,-1289,-3960
-1548,-3494,-536,-660,-218,863,-1230,-3690
-1471,-3244,-509,-622,-218,880,-1174,-3430
-1396,-3003,-483,-584,-218,897,-1118,-3181
-1322,-2771,-456,-545,-218,913,-1064,-2939
-1250,-2549,-429,-508,-217,928,-1010,-2711
-1178,-2339,-403,-473,-217,942,-957,-2490
-1109,-2140,-378,-441,-217,955,-904,-2282
-1042,-1953,-355,-411,-217,968,-849,-2087
-978,-1777,-332,-383,-217,980,-800,-1904
-915,-1613,-309,-355,-217,993,-749,-1731
-854,-1460,-287,-328,-217,1005,-703,-1569
-795,-1317,-266,-302,-216,1015,-656,-1420
-739,-1185,-248,-277,-216,1024,-612,-1280
-685,-1063,-231,-254,-215,1032,-571,-1153
-635,-952,-214,-235,-213,1040,-528,-1035
-588,-850,-197,-217,-211,1048,-490,-926
-542,-758,-180,-200,-209,1056,-451,-827
-499,-675,-164,-184,-208,1063,-413,-739
-458,-601,-150,-169,-208,1069,-380,-659
-420,-535,-138,-155,-207,1072,-349,-589
-385,-477,-126,-144,-204,1075,-319,-526
-352,-423,-115,-133,-202,1078,-290,-467
-322,-375,-104,-124,-202,1082,-263,-413
-293,-331,-93,-115,-202,1086,-236,-365
-267,-293,-83,-108,-202,1090,-213,-323
-242,-262,-73,-101,-202,1093,-191,-286
-220,-235,-65,-96,-200,1096,-169,-255
-200,-211,-58,-92,-198,1098,-151,-228
-181,-189,-52,-88,-197,1099,-131,-203
-163,-170,-46,-84,-196,1101,-114,-183
-148,-154,-40,-82,-196,1102,-100,-163
-135,-141,-35,-81,-195,1103,-86,-146
-122,-130,-29,-79,-194,1102,-74,-133
-111,-121,-24,-78,-193,1102,-63,-122
-100,-113,-20,-76,-193,1102,-51,-111
-90,-105,-17,-75,-193,1102,-41,-101
-82,-99,-14,-75,-192,1102,-31,-95
-75,-93,-11,-75,-191,1102,-24,-85
-68,-87,-7,-75,-192,1102,-17,-78
-61,-83,-4,-75,-191,1102,-7,-72
-55,-80,-1,-74,-190,1102,-2,-68
-51,-78,1,-74,-188,1102,2,-63
-46,-76,3,-75,-187,1102,9,-58
-42,-73,3,-75,-186,1102,13,-56
-38,-71,5,-74,-187,1100,17,-53
-35,-69,7,-73,-187,1098,20,-52
-33,-68,8,-73,-187,1097,23,-48
-31,-67,10,-74,-187,1097,24,-47
-28,-66,10,-76,-187,1097,29,-43
-26,-65,11,-76,-187,1097,31,-42
-25,-64,12,-75,-187,1095,32,-42
-25,-64,13,-73,-187,1094,32,-42
-25,-64,14,-72,-187,1092,30,-41
-24,-63,14,-72,-187,1092,31,-41
-22,-64,14,-73,-186,1091,36,-41
-20,-65,15,-74,-185,1091,39,-43
-18,-66,15,-74,-185,1091,40,-41
-18,-66,16,-72,-186,1091,39,-41
-19,-66,18,-71,-186,1090,36,-41
-19,-66,18,-70,-186,1089,36,-41
-18,-67,18,-71,-186,1087,40,-42
-17,-69,17,-71,-186,1087,39,-45
-16,-70,17,-71,-186,1087,39,-46
-16,-70,17,-72,-187,1087,41,-46
-16,-70,19,-72,-188,1087,41,-46
-16,-70,20,-73,-188,1087,41,-43
-16,-70,21,-73,-187,1087,43,-43
-16,-70,21,-73,-187,1087,41,-43
-17,-70,21,-72,-187,1087,41,-43
-16,-70,21,-73,-187,1087,41,-43
-15,-72,21,-73,-187,1087,45,-45
-15,-73,21,-72,-187,1087,42,-46
-15,-73,20,-71,-187,1087,43,-46
-14,-73,18,-70,-187,1087,41,-48
-14,-73,18,-69,-187,1087,41,-48
-14,-74,18,-70,-187,1087,41,-50
-15,-73,19,-70,-187,1087,40,-48
-15,-72,19,-70,-187,1087,40,-47
-15,-70,18,-69,-187,1087,40,-46
-14,-68,17,-70,-187,1087,41,-43
-12,-68,15,-71,-187,1089,43,-46
-12,-68,14,-72,-187,1091,43,-46
-12,-68,14,-73,-187,1092,43,-46
-12,-68,14,-72,-187,1092,43,-46
-11,-67,16,-71,-187,1092,43,-45
-9,-66,16,-71,-187,1092,46,-41
-8,-66,15,-71,-187,1092,47,-43
-8,-65,14,-71,-187,1092,47,-43
-9,-64,12,-70,-187,1092,46,-42
-8,-62,12,-70,-187,1092,45,-42
-7,-60,12,-70,-187,1092,46,-41
-6,-58,12,-70,-189,1092,47,-39
-6,-57,11,-69,-191,1092,46,-37
-8,-56,11,-68,-192,1092,45,-36
-8,-55,11,-68,-193,1092,45,-36
-8,-54,11,-69,-192,1092,45,-34
-8,-52,11,-69,-192,1094,45,-32
-7,-50,11,-69,-192,1096,46,-30
-7,-48,11,-68,-192,1097,46,-29
-6,-47,11,-66,-192,1096,43,-28
-5,-46,12,-65,-192,1096,45,-26
-4,-45,13,-65,-192,1095,46,-25
-4,-43,14,-65,-192,1095,46,-21
-4,-42,15,-65,-192,1096,46,-19
-5,-41,15,-65,-192,1096,46,-19
-5,-40,14,-65,-192,1097,45,-18
-5,-38,14,-65,-192,1096,46,-15
-4,-35,14,-65,-192,1094,46,-13
-3,-34,15,-65,-192,1092,48,-12
-3,-34,14,-65,-192,1092,48,-12
-2,-35,14,-66,-192,1092,48,-13
-2,-35,14,-65,-192,1092,48,-13
-2,-33,15,-65,-192,1092,48,-10
-3,-31,17,-63,-192,1092,48,-9
-2,-29,18,-62,-192,1092,48,-7
-2,-28,18,-62,-192,1093,48,-6
-1,-28,18,-62,-192,1092,48,-7
0,-28,18,-62,-192,1091,50,-6
0,-28,18,-62,-192,1089,51,-6
1,-26,19,-61,-193,1088,53,-2
2,-25,20,-61,-192,1087,53,0
1,-22,20,-60,-191,1086,52,1
0,-21,20,-61,-189,1084,52,2
1,-21,20,-60,-189,1082,52,3
3,-20,21,-60,-190,1082,52,3
5,-19,21,-59,-191,1083,53,4
5,-17,21,-59,-190,1083,54,7
5,-15,21,-59,-189,1082,53,8
5,-14,21,-59,-188,1081,53,9
5,-13,21,-59,-189,1079,53,10
5,-11,21,-59,-190,1077,54,13
6,-8,21,-59,-190,1077,56,15
7,-7,21,-59,-188,1078,56,17
8,-6,21,-59,-188,1077,57,18
8,-5,21,-59,-188,1076,57,18
8,-4,22,-59,-188,1074,57,19
7,-3,21,-59,-188,1072,56,21
6,-2,21,-59,-189,1072,54,21
6,-1,21,-59,-190,1073,54,23
6,-1,22,-59,-191,1073,54,23
5,0,22,-59,-192,1071,53,24
4,0,21,-58,-192,1069,53,24
4,2,21,-58,-191,1068,53,26
5,3,20,-57,-190,1067,53,28
7,4,21,-57,-188,1068,56,29
7,4,21,-58,-188,1068,56,29
5,2,22,-59,-189,1067,54,26
4,1,22,-59,-190,1067,53,25
4,0,21,-58,-191,1066,53,25
5,2,20,-58,-190,1066,53,26
6,2,20,-57,-189,1066,54,26
6,2,21,-58,-189,1064,54,26
5,0,21,-59,-190,1063,53,25
4,0,22,-59,-191,1063,53,24
5,0,21,-59,-192,1063,53,24
5,0,20,-59,-191,1063,54,24
5,0,18,-60,-191,1063,54,21
5,-2,16,-60,-192,1063,53,19
3,-3,15,-60,-193,1063,52,15
2,-4,15,-59,-194,1063,48,14
1,-4,15,-58,-195,1062,48,14
2,-3,15,-58,-194,1062,48,15
2,-5,15,-59,-194,1061,48,14
2,-7,14,-58,-192,1062,48,12
2,-11,14,-58,-192,1063,48,7
2,-14,15,-59,-193,1063,48,4
2,-14,16,-59,-194,1062,51,7
2,-15,17,-61,-194,1061,51,6
2,-17,17,-63,-194,1062,53,4
1,-19,16,-65,-194,1062,52,2
1,-21,15,-65,-194,1063,52,0
1,-23,14,-66,-194,1063,52,-2
0,-25,14,-65,-194,1063,52,-3
0,-27,14,-65,-194,1063,51,-4
0,-28,15,-65,-194,1063,51,-7
0,-29,14,-65,-194,1063,50,-7
-1,-31,14,-66,-194,1063,50,-9
-1,-34,14,-65,-194,1063,48,-12
-1,-36,16,-64,-194,1063,48,-14
-1,-38,17,-63,-194,1064,50,-17
-2,-39,17,-63,-194,1065,48,-17
-3,-40,16,-64,-194,1065,47,-19
-4,-41,16,-64,-194,1064,46,-19
-4,-43,17,-64,-194,1063,46,-20
-3,-44,19,-63,-194,1064,47,-19
-3,-46,19,-63,-194,1066,47,-21
-5,-47,18,-64,-193,1068,46,-23
-6,-49,17,-64,-193,1068,45,-26
-6,-51,18,-64,-193,1068,45,-29
-5,-53,19,-63,-194,1068,46,-29
-5,-54,19,-63,-194,1068,46,-30
-5,-57,20,-64,-193,1068,46,-32
-5,-58,20,-65,-193,1068,48,-34
-6,-59,21,-65,-193,1068,47,-34
-6,-59,21,-66,-193,1068,47,-35
-6,-59,21,-66,-193,1068,47,-35
-6,-58,21,-65,-193,1068,47,-34
-6,-58,21,-65,-193,1068,47,-34
-6,-59,21,-65,-193,1068,47,-35
-7,-61,21,-66,-193,1068,46,-36
-7,-64,21,-66,-193,1068,46,-39
-8,-65,21,-65,-193,1068,45,-41
-7,-66,21,-65,-193,1068,46,-41
-8,-65,21,-65,-193,1068,45,-41
-9,-66,21,-66,-194,1068,43,-41
-11,-67,20,-67,-194,1068,41,-42
-12,-68,20,-67,-194,1068,43,-43
-11,-69,21,-67,-193,1068,43,-45
-11,-71,21,-66,-194,1069,42,-46
-11,-72,21,-66,-195,1070,42,-48
-12,-74,19,-68,-196,1071,43,-50
-13,-76,18,-69,-197,1072,42,-51
-14,-78,18,-70,-197,1072,41,-53
-15,-80,20,-72,-197,1072,42,-53
-16,-81,21,-72,-196,1071,42,-54
-15,-83,21,-73,-197,1072,42,-56
-14,-84,21,-73,-198,1073,43,-57
-15,-86,21,-72,-198,1073,42,-58
-16,-87,21,-72,-198,1073,41,-61
-17,-89,21,-72,-198,1073,41,-62
-18,-91,21,-72,-198,1073,40,-64
-18,-93,21,-72,-198,1073,39,-67
-19,-96,20,-73,-198,1073,39,-69
-19,-98,18,-75,-198,1073,41,-74
-20,-100,18,-76,-198,1073,40,-75
-21,-102,18,-77,-198,1073,39,-78
-22,-104,17,-76,-198,1073,37,-80
-23,-105,17,-75,-198,1073,34,-80
-24,-106,15,-73,-198,1073,34,-81
-24,-108,14,-72,-198,1073,31,-85
-24,-110,14,-72,-198,1073,31,-87
-25,-112,14,-72,-198,1073,30,-90
-27,-115,14,-73,-198,1073,31,-92
-28,-116,13,-74,-200,1075,29,-95
-29,-118,12,-75,-201,1077,29,-96
-28,-119,11,-75,-201,1078,29,-97
-28,-121,11,-75,-199,1078,29,-100
-30,-123,10,-76,-200,1077,28,-101
-32,-125,10,-76,-201,1076,25,-103
-33,-128,10,-76,-202,1077,24,-106
-33,-131,10,-76,-203,1078,25,-109
-32,-133,11,-75,-203,1079,25,-112
-32,-135,11,-75,-202,1079,25,-113
-34,-136,11,-75,-202,1078,24,-114
-35,-138,10,-76,-203,1078,23,-118
-36,-140,10,-76,-202,1078,21,-120
-36,-143,10,-77,-202,1078,21,-123
-36,-144,9,-77,-202,1078,21,-124
-37,-145,9,-77,-202,1078,21,-126
-37,-146,10,-76,-202,1078,20,-126
-38,-148,10,-76,-202,1078,19,-128
-39,-149,9,-77,-202,1078,18,-129
-41,-151,8,-78,-202,1078,17,-131
-42,-153,7,-78,-202,1078,17,-134
-42,-155,5,-78,-202,1078,17,-137
-42,-156,5,-77,-202,1078,17,-139
-43,-157,5,-76,-202,1078,13,-140
-43,-159,4,-75,-202,1078,12,-141
-44,-159,4,-75,-202,1078,10,-142
-45,-160,3,-75,-202,1078,10,-144
-46,-161,4,-75,-202,1078,9,-144
-47,-162,4,-75,-202,1078,8,-145
-48,-164,4,-75,-202,1078,7,-147
-48,-165,4,-75,-202,1078,7,-148
-47,-166,3,-75,-202,1078,8,-148
-47,-165,3,-75,-202,1078,8,-148
-47,-165,4,-75,-203,1078,8,-148
-49,-166,4,-76,-202,1078,7,-148
-50,-167,4,-75,-202,1078,4,-150
-52,-168,3,-75,-202,1078,3,-151
-51,-168,0,-74,-203,1078,2,-153
-51,-168,0,-73,-204,1078,2,-153
-53,-166,0,-72,-204,1078,0,-152
-54,-165,0,-72,-204,1078,-1,-151
-57,-165,0,-73,-204,1078,-3,-151
-58,-166,-1,-74,-204,1078,-4,-153
-59,-166,-2,-75,-204,1078,-4,-153
-60,-166,-3,-75,-204,1078,-7,-153
-62,-166,-5,-73,-204,1078,-10,-156
-64,-166,-6,-72,-205,1079,-13,-156
-66,-166,-6,-72,-207,1079,-14,-156
-68,-166,-5,-72,-207,1079,-17,-156
-70,-166,-6,-72,-206,1079,-19,-157
-72,-168,-7,-71,-205,1079,-24,-158
-75,-169,-7,-69,-206,1079,-26,-162
-78,-171,-8,-68,-207,1079,-31,-163
-81,-173,-9,-68,-208,1079,-34,-166
-83,-174,-11,-68,-208,1079,-36,-169
-86,-177,-13,-68,-207,1078,-39,-173
-89,-181,-16,-68,-206,1078,-45,-179
-93,-185,-17,-69,-205,1079,-50,-183
-98,-189,-19,-70,-205,1080,-51,-187
-102,-194,-20,-70,-205,1082,-58,-195
-107,-200,-21,-69,-207,1082,-63,-200
-112,-206,-24,-68,-207,1082,-68,-209
-117,-213,-26,-68,-206,1082,-75,-216
-123,-220,-29,-69,-204,1081,-81,-225
-130,-230,-33,-69,-202,1081,-89,-238
-138,-241,-36,-69,-202,1082,-98,-251
-146,-253,-39,-69,-202,1083,-107,-263
-153,-265,-43,-70,-202,1083,-114,-277
-159,-278,-46,-71,-202,1083,-120,-292
-167,-292,-49,-73,-202,1083,-128,-307
-175,-309,-52,-74,-202,1083,-136,-327
-185,-327,-55,-76,-202,1083,-146,-346
-195,-346,-59,-78,-202,1083,-156,-368
-204,-365,-64,-80,-202,1083,-166,-390
-214,-388,-69,-82,-202,1083,-175,-415
-224,-412,-74,-84,-202,1085,-185,-441
-236,-439,-79,-86,-203,1087,-197,-471
-248,-466,-84,-87,-202,1088,-208,-500
-259,-495,-89,-90,-200,1088,-219,-532
-270,-525,-95,-93,-199,1087,-231,-563
-281,-557,-101,-96,-197,1087,-242,-599
-293,-591,-106,-99,-197,1089,-251,-636
-305,-627,-113,-102,-197,1091,-263,-676
-318,-663,-119,-105,-197,1093,-277,-715
-331,-700,-125,-110,-197,1093,-290,-754
-344,-739,-130,-115,-197,1093,-300,-795
-357,-778,-136,-120,-195,1092,-311,-837
-370,-818,-143,-125,-194,1092,-322,-878
-383,-859,-151,-129,-192,1092,-334,-925
-395,-901,-158,-132,-191,1094,-346,-972
-406,-943,-165,-135,-192,1096,-357,-1016
-419,-985,-171,-139,-192,1097,-369,-1062
-432,-1026,-176,-144,-192,1097,-380,-1104
-445,-1067,-182,-149,-191,1098,-391,-1147
-457,-1107,-188,-155,-188,1098,-401,-1190
-469,-1147,-194,-161,-187,1100,-410,-1232
-480,-1185,-200,-166,-187,1102,-419,-1273
-490,-1222,-205,-171,-187,1103,-427,-1313
-500,-1258,-210,-176,-186,1105,-434,-1351
-510,-1293,-216,-181,-185,1107,-444,-1389
-520,-1326,-220,-185,-183,1108,-451,-1422
-530,-1358,-224,-189,-182,1109,-458,-1455
-539,-1387,-228,-193,-181,1111,-468,-1486
