F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-57,-593,521,-408,596,1934,390,-229
-57,-624,540,-422,594,1934,406,-247
-55,-650,557,-433,591,1934,421,-262
-51,-672,571,-441,587,1935,437,-274
-47,-687,583,-448,584,1935,448,-281
-43,-698,593,-454,581,1935,458,-285
-39,-704,601,-458,577,1935,468,-286
-34,-706,607,-461,571,1936,478,-285
-27,-701,610,-461,565,1936,484,-278
-20,-689,611,-459,558,1937,491,-266
-13,-673,609,-455,553,1937,493,-251
-5,-651,606,-448,547,1937,496,-233
2,-625,602,-440,540,1938,496,-209
12,-593,595,-430,533,1938,496,-184
23,-555,585,-419,525,1937,498,-153
34,-512,572,-406,517,1936,495,-118
45,-465,557,-390,509,1935,489,-83
56,-412,540,-373,500,1935,482,-42
69,-354,520,-355,491,1935,474,1
83,-291,498,-336,483,1937,467,48
97,-225,474,-316,474,1937,461,97
110,-155,449,-295,466,1937,449,150
122,-82,422,-271,457,1936,437,203
134,-5,394,-246,449,1935,421,261
147,74,364,-220,440,1934,405,321
160,157,332,-195,431,1934,390,382
175,242,297,-169,421,1933,374,441
190,328,260,-141,412,1932,360,502
204,416,224,-113,404,1932,340,563
216,504,186,-85,398,1932,323,627
228,592,149,-58,390,1932,301,690
240,681,110,-30,383,1931,280,751
252,770,71,-2,375,1930,261,814
265,860,31,25,368,1929,240,876
276,949,-8,52,362,1927,220,938
287,1036,-47,79,357,1926,198,1001
297,1121,-87,105,350,1925,179,1058
307,1203,-126,131,343,1925,156,1114
316,1283,-166,155,337,1924,135,1167
325,1359,-206,179,332,1923,115,1218
333,1432,-245,201,328,1922,96,1265
340,1503,-282,222,326,1921,75,1312
346,1570,-318,241,324,1920,56,1355
351,1633,-353,258,321,1918,39,1395
355,1691,-386,274,319,1918,20,1434
358,1745,-418,289,317,1917,3,1464
361,1795,-449,302,317,1917,-10,1497
363,1841,-478,313,317,1915,-26,1523
363,1882,-505,320,317,1914,-41,1546
362,1916,-531,326,317,1914,-53,1566
359,1944,-554,331,318,1915,-65,1583
355,1969,-574,334,320,1915,-80,1595
349,1990,-592,335,323,1914,-90,1606
343,2006,-609,332,327,1913,-100,1611
337,2015,-624,326,332,1914,-106,1613
329,2019,-637,318,336,1915,-113,1612
319,2018,-648,307,341,1916,-118,1606
306,2012,-658,295,346,1915,-126,1597
292,2002,-665,279,352,1915,-130,1588
277,1987,-670,260,359,1916,-133,1573
262,1968,-673,238,368,1917,-134,1556
245,1944,-673,214,375,1919,-133,1534
226,1916,-670,189,382,1920,-131,1513
205,1884,-666,162,389,1921,-133,1489
184,1849,-662,130,397,1922,-129,1462
162,1812,-655,95,405,1923,-123,1434
140,1770,-646,58,415,1924,-115,1402
116,1726,-635,20,426,1926,-109,1373
89,1680,-621,-20,435,1928,-102,1341
61,1632,-607,-63,444,1931,-96,1308
32,1583,-592,-108,453,1933,-87,1274
2,1532,-574,-155,462,1936,-78,1242
-28,1478,-556,-204,471,1938,-69,1206
-60,1422,-538,-254,480,1942,-58,1169
-93,1365,-519,-307,490,1945,-47,1132
-128,1308,-497,-361,500,1948,-37,1098
-162,1251,-473,-415,510,1951,-24,1063
-196,1194,-448,-471,519,1954,-12,1031
-230,1137,-422,-527,527,1958,3,996
-265,1081,-399,-585,534,1962,15,964
-301,1024,-375,-643,541,1967,29,930
-337,968,-352,-701,549,1972,41,896
-373,912,-327,-758,557,1976,53,864
-408,857,-300,-816,564,1980,68,833
-442,804,-273,-873,571,1985,83,805
