F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4253,-10000,-6166,-6984,3913,9777,-1069,-10000
-4253,-10000,-6037,-6824,3879,9779,-1140,-10000
-4253,-10000,-5913,-6671,3845,9781,-1210,-10000
-4253,-10000,-5790,-6518,3810,9783,-1279,-10000
-4253,-10000,-5667,-6365,3773,9785,-1350,-10000
-4253,-10000,-5546,-6215,3736,9788,-1418,-10000
-4253,-10000,-5428,-6067,3699,9790,-1484,-10000
-4253,-10000,-5311,-5922,3661,9792,-1550,-10000
-4253,-10000,-5196,-5780,3624,9794,-1616,-10000
-4253,-10000,-5085,-5642,3587,9797,-1677,-10000
-4253,-10000,-4977,-5508,3549,9799,-1738,-10000
-4253,-10000,-4871,-5376,3512,9801,-1799,-10000
-4253,-10000,-4765,-5246,3476,9804,-1857,-10000
-4253,-10000,-4661,-5118,3439,9806,-1914,-10000
-4253,-10000,-4560,-4994,3404,9808,-1970,-10000
-4253,-10000,-4461,-4874,3371,9810,-2023,-10000
-4253,-10000,-4365,-4756,3338,9812,-2077,-10000
-4253,-10000,-4271,-4639,3305,9814,-2131,-10000
-4253,-10000,-4179,-4524,3272,9816,-2182,-10000
-4253,-10000,-4089,-4413,3239,9818,-2233,-10000
-4253,-10000,-4000,-4305,3207,9820,-2282,-10000
-4253,-10000,-3913,-4201,3178,9822,-2329,-10000
-4253,-10000,-3827,-4098,3150,9823,-2371,-10000
-4253,-10000,-3743,-3996,3123,9825,-2418,-10000
-4253,-10000,-3662,-3897,3096,9827,-2464,-10000
-4253,-10000,-3584,-3800,3069,9828,-2506,-10000
-4253,-10000,-3506,-3707,3042,9830,-2547,-10000
-4253,-10000,-3429,-3615,3017,9832,-2589,-10000
-4254,-10000,-3353,-3525,2993,9833,-2631,-10000
-4257,-10000,-3279,-3436,2971,9834,-2673,-10000
-4260,-10000,-3209,-3350,2950,9836,-2712,-10000
-4256,-10000,-3140,-3268,2928,9837,-2747,-10000
-4250,-10000,-3074,-3187,2906,9838,-2779,-10000
-4250,-10000,-3008,-3108,2885,9840,-2813,-10000
-4285,-10000,-2942,-3030,2865,9841,-2882,-10000
-4371,-10000,-2878,-2955,2846,9842,-3003,-10000
-4490,-10000,-2816,-2882,2828,9843,-3153,-10000
-4612,-10000,-2755,-2810,2811,9844,-3306,-10000
-4723,-10000,-2696,-2741,2794,9845,-3447,-10000
-4825,-10000,-2638,-2673,2778,9846,-3577,-10000
-4925,-10000,-2583,-2607,2762,9847,-3707,-10000
-5026,-10000,-2529,-2542,2745,9848,-3838,-10000
-5126,-10000,-2476,-2480,2729,9849,-3964,-10000
-5222,-10000,-2425,-2420,2714,9850,-4088,-10000
-5317,-10000,-2373,-2362,2700,9851,-4209,-10000
-5408,-10000,-2323,-2305,2686,9852,-4325,-10000
-5497,-10000,-2275,-2250,2671,9853,-4436,-10000
