F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-861,-990,-695,1048,171,2673,-1783,-1585
-1043,-1090,-796,1078,183,2662,-2014,-1748
-1251,-1208,-908,1103,196,2650,-2270,-1936
-1488,-1346,-1031,1123,209,2638,-2555,-2153
-1756,-1510,-1167,1140,225,2627,-2869,-2397
-2060,-1702,-1317,1149,242,2614,-3220,-2681
-2403,-1926,-1480,1149,261,2602,-3606,-3001
-2786,-2188,-1657,1139,281,2590,-4027,-3365
-3216,-2494,-1849,1120,303,2578,-4493,-3781
-3688,-2846,-2057,1091,328,2567,-4996,-4253
-4191,-3241,-2280,1049,356,2556,-5527,-4773
-4742,-3694,-2520,993,386,2545,-6100,-5356
-5387,-4233,-2777,921,419,2535,-6758,-6037
-6144,-4876,-3050,832,452,2526,-7518,-6828
-6912,-5575,-3339,726,487,2519,-8281,-7682
-7485,-6225,-3644,601,526,2514,-8843,-8489
-7706,-6748,-3965,457,570,2510,-9042,-9166
-7535,-7129,-4304,291,617,2509,-8844,-9700
-7308,-7554,-4660,103,666,2510,-8580,-10000
-7008,-8026,-5030,-108,719,2513,-8239,-10000
-6723,-8582,-5414,-343,774,2519,-7900,-10000
-6426,-9195,-5810,-603,833,2529,-7534,-10000
-6077,-9871,-6219,-888,896,2542,-7103,-10000
-5650,-10000,-6639,-1200,963,2560,-6578,-10000
-5150,-10000,-7066,-1534,1033,2582,-5968,-10000
-4652,-10000,-7493,-1885,1108,2609,-5346,-10000
-4281,-10000,-7922,-2257,1186,2643,-4836,-10000
-4133,-10000,-8373,-2672,1268,2683,-4526,-10000
-4133,-10000,-8849,-3131,1354,2730,-4340,-10000
-4142,-10000,-9298,-3587,1444,2783,-4157,-10000
-4160,-10000,-9624,-3952,1536,2843,-4012,-10000
-4149,-10000,-9766,-4166,1632,2910,-3891,-10000
-4136,-10000,-9725,-4232,1731,2987,-3819,-10000
-4134,-10000,-9656,-4295,1833,3073,-3752,-10000
-4136,-10000,-9563,-4358,1938,3168,-3682,-10000
-4136,-10000,-9483,-4455,2045,3273,-3590,-10000
-4136,-10000,-9399,-4567,2153,3388,-3485,-10000
-4136,-10000,-9297,-4683,2264,3515,-3372,-10000
-4136,-10000,-9182,-4805,2376,3652,-3250,-10000
-4136,-10000,-9060,-4936,2490,3798,-3121,-10000
-4136,-10000,-8929,-5076,2605,3956,-2984,-10000
-4136,-10000,-8792,-5224,2720,4124,-2838,-10000
