F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-584,-572,-160,-112,1944,9897,-540,-650
-563,-541,-154,-108,1944,9897,-521,-616
-542,-509,-148,-104,1945,9897,-500,-581
-521,-478,-142,-99,1945,9897,-482,-548
-501,-449,-137,-95,1945,9897,-466,-516
-482,-422,-132,-91,1943,9897,-448,-485
-464,-395,-126,-88,1941,9897,-429,-456
-446,-370,-120,-85,1940,9897,-415,-428
-428,-345,-115,-81,1940,9897,-396,-401
-410,-322,-110,-76,1940,9898,-382,-378
-393,-300,-106,-71,1938,9898,-367,-354
-376,-279,-102,-68,1936,9898,-354,-329
-361,-258,-98,-65,1935,9898,-339,-308
-347,-239,-94,-63,1935,9898,-325,-286
-333,-222,-90,-60,1935,9898,-311,-267
-319,-206,-86,-55,1935,9898,-300,-250
-306,-190,-82,-49,1933,9898,-289,-231
-295,-175,-77,-44,1931,9898,-281,-214
-285,-161,-72,-42,1930,9898,-272,-197
-275,-147,-68,-42,1930,9898,-262,-184
-266,-134,-65,-41,1930,9898,-253,-168
-256,-121,-63,-39,1930,9898,-244,-152
-247,-109,-61,-34,1929,9898,-238,-140
-238,-99,-58,-29,1928,9898,-231,-130
-230,-89,-56,-26,1927,9898,-225,-119
-221,-79,-54,-24,1926,9898,-219,-109
-213,-69,-53,-22,1925,9898,-212,-97
-206,-59,-52,-21,1925,9898,-205,-87
-199,-50,-50,-20,1925,9898,-197,-78
-193,-41,-46,-18,1925,9898,-191,-67
-187,-33,-43,-18,1925,9898,-186,-56
-181,-26,-39,-16,1925,9898,-180,-48
-175,-19,-38,-15,1925,9898,-174,-40
-169,-12,-37,-14,1925,9898,-169,-32
-163,-5,-36,-13,1925,9898,-166,-25
-157,0,-34,-11,1925,9898,-158,-19
-150,7,-32,-9,1926,9898,-152,-12
-145,13,-31,-9,1927,9898,-147,-3
-139,19,-30,-7,1928,9898,-142,2
-134,26,-28,-7,1929,9898,-136,9
-129,32,-28,-5,1930,9898,-134,15
-124,37,-26,-4,1930,9898,-129,20
-119,43,-25,-3,1930,9898,-124,29
-113,50,-23,-3,1930,9898,-119,36
-108,56,-20,-3,1930,9898,-112,45
-105,62,-18,-3,1930,9898,-108,50
-102,67,-17,-2,1930,9898,-106,56
-99,72,-16,-1,1930,9898,-104,61
-95,78,-15,0,1930,9898,-101,69
-90,83,-14,0,1930,9898,-96,74
-86,88,-12,2,1930,9898,-92,79
-82,93,-10,3,1930,9898,-87,84
-78,98,-10,3,1930,9898,-84,89
-75,102,-10,3,1930,9898,-81,93
-71,106,-10,3,1930,9898,-78,97
-68,109,-9,4,1930,9898,-78,102
-65,112,-7,6,1930,9898,-74,106
-62,115,-6,7,1929,9898,-72,109
-58,120,-6,7,1926,9898,-68,114
-54,123,-6,7,1925,9898,-64,118
-51,127,-5,8,1925,9898,-61,122
-48,131,-4,9,1925,9898,-57,125
-45,134,-3,10,1925,9898,-54,130
-43,137,-2,10,1925,9898,-52,134
-41,139,-2,10,1925,9898,-51,135
-38,141,-2,11,1925,9898,-51,137
-36,144,0,13,1924,9898,-48,141
-34,147,0,14,1923,9898,-46,144
-32,150,2,13,1922,9898,-45,150
-30,153,3,12,1921,9898,-40,152
-28,156,5,11,1920,9898,-37,156
-26,159,6,12,1920,9898,-36,161
-23,162,5,13,1920,9898,-34,162
-21,165,5,15,1920,9898,-34,164
-19,166,5,15,1920,9898,-31,166
-18,169,5,15,1920,9899,-30,168
-17,171,6,14,1920,9898,-28,170
-15,174,7,14,1922,9898,-25,175
-12,176,8,14,1923,9898,-23,178
-9,177,9,15,1923,9898,-20,179
-7,178,10,16,1922,9898,-20,180
-7,178,10,17,1922,9898,-19,180
-5,179,10,17,1923,9898,-18,181
-3,182,10,16,1925,9898,-15,184
-1,186,11,17,1926,9898,-14,187
0,187,12,18,1925,9898,-13,190
0,188,13,19,1925,9898,-13,192
0,187,14,20,1925,9898,-13,192
0,188,14,20,1926,9898,-12,192
2,189,14,20,1926,9898,-10,194
3,189,14,20,1927,9898,-9,194
3,190,14,20,1926,9898,-9,195
4,191,14,20,1927,9898,-8,196
5,193,14,20,1928,9898,-7,197
6,195,14,20,1930,9898,-6,200
6,195,14,20,1930,9898,-7,200
5,196,14,20,1930,9898,-7,201
5,196,15,21,1930,9898,-7,201
7,197,16,21,1930,9898,-6,202
8,198,15,21,1930,9898,-4,202
10,198,14,20,1930,9898,-3,203
10,199,14,20,1930,9898,-2,203
10,198,14,20,1930,9898,-2,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
10,198,14,20,1930,9898,-3,203
9,199,14,20,1930,9898,-3,203
9,199,14,20,1929,9898,-3,203
10,198,14,20,1926,9898,-2,203
10,198,14,20,1925,9898,-2,203
10,198,14,20,1925,9898,-3,203
8,199,14,20,1925,9898,-4,205
5,200,14,20,1925,9898,-7,205
3,200,14,20,1925,9898,-9,205
3,200,14,20,1925,9898,-9,205
4,199,14,20,1925,9898,-8,203
5,198,14,20,1925,9898,-8,202
5,197,14,20,1924,9898,-7,202
5,196,14,20,1923,9898,-7,201
5,196,14,20,1922,9898,-7,201
5,196,14,20,1922,9898,-7,201
5,196,14,20,1922,9898,-7,201
5,196,14,20,1922,9898,-7,201
5,196,14,20,1922,9898,-7,201
6,196,14,20,1922,9898,-7,201
6,196,14,20,1922,9898,-7,201
5,196,14,20,1923,9898,-7,201
4,195,14,20,1922,9898,-8,200
2,195,14,20,1922,9898,-10,200
1,194,14,20,1922,9898,-10,198
1,194,14,20,1923,9898,-12,198
1,194,14,20,1925,9898,-12,198
1,194,14,20,1926,9898,-10,198
1,194,14,20,1925,9898,-12,198
1,194,14,20,1925,9898,-12,198
1,194,14,20,1925,9898,-10,198
2,193,14,20,1926,9898,-10,197
3,191,13,19,1927,9898,-9,196
2,189,12,19,1928,9898,-10,191
1,188,11,19,1929,9898,-12,190
0,187,11,20,1930,9898,-15,190
0,187,11,19,1930,9898,-13,190
-2,187,11,18,1930,9898,-14,189
-3,186,11,17,1930,9898,-17,187
-4,185,11,16,1930,9898,-17,187
-4,185,10,16,1930,9898,-18,187
-5,185,10,17,1930,9898,-18,187
-6,184,10,18,1930,9898,-19,186
-7,184,10,18,1930,9898,-20,185
-9,183,9,18,1930,9898,-21,185
-9,183,9,18,1930,9898,-23,185
-10,182,8,19,1930,9898,-25,184
-10,180,8,20,1930,9898,-26,180
-11,177,7,20,1930,9898,-26,177
-12,175,7,18,1930,9898,-28,175
-13,174,7,15,1930,9898,-26,177
-15,174,7,14,1930,9898,-25,175
-17,173,6,13,1929,9898,-28,175
-19,173,6,14,1926,9898,-31,172
-19,172,5,16,1925,9898,-31,172
-18,170,4,16,1925,9898,-31,169
-18,169,5,15,1925,9898,-30,168
-18,167,7,14,1925,9898,-29,169
-20,166,8,14,1925,9898,-30,168
-21,165,8,14,1925,9898,-31,167
-21,164,8,14,1925,9898,-31,166
-20,162,7,14,1925,9898,-30,164
-19,161,7,13,1925,9898,-29,163
-20,160,7,13,1925,9898,-30,162
-22,159,7,13,1925,9898,-32,161
-24,159,7,13,1925,9898,-34,161
-24,159,7,13,1925,9898,-34,161
-23,158,7,13,1925,9898,-34,161
-23,159,7,13,1925,9898,-34,161
-23,159,7,13,1925,9898,-34,161
-23,158,7,13,1925,9898,-34,161
-25,158,7,13,1925,9898,-35,159
-26,157,7,13,1925,9898,-36,158
-28,156,7,13,1925,9898,-37,158
-28,156,7,13,1925,9898,-39,157
-28,156,7,13,1925,9898,-37,158
-28,156,7,14,1925,9898,-37,158
-28,156,7,13,1925,9898,-37,158
-28,156,6,12,1925,9898,-37,158
-28,156,4,11,1925,9898,-37,156
-28,156,4,11,1925,9898,-37,156
-27,155,6,12,1925,9898,-37,157
-26,153,7,13,1925,9898,-36,155
-25,151,7,14,1926,9898,-35,153
-25,151,7,14,1929,9898,-35,153
-26,153,7,13,1930,9898,-36,156
