F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-130,134,62,91,2131,9886,-179,151
-129,135,61,91,2132,9886,-178,152
-127,138,61,91,2133,9886,-177,155
-126,141,61,91,2132,9886,-175,158
-125,144,61,91,2131,9886,-174,161
-123,144,61,91,2130,9886,-172,161
-121,145,62,91,2130,9886,-170,162
-120,146,62,91,2131,9886,-169,162
-119,148,63,92,2133,9886,-168,164
-119,150,64,93,2135,9885,-168,167
-119,151,64,93,2135,9885,-168,168
-118,153,64,93,2135,9885,-168,169
-118,155,64,93,2134,9886,-167,172
-116,157,64,93,2133,9886,-166,174
-115,159,65,94,2133,9886,-168,175
-114,160,65,94,2133,9886,-167,179
-113,160,65,94,2133,9886,-166,179
-112,160,65,94,2132,9886,-164,177
-112,161,65,94,2130,9886,-163,178
-110,162,65,94,2129,9886,-162,181
-110,164,66,93,2129,9886,-159,184
-108,167,66,93,2130,9886,-158,186
-107,169,67,92,2130,9886,-157,187
-106,169,68,91,2131,9886,-153,187
-106,168,68,91,2132,9886,-153,190
-106,168,69,92,2133,9886,-153,190
-105,170,70,94,2132,9886,-155,191
-104,171,71,95,2131,9886,-153,194
-103,172,71,95,2130,9886,-152,194
-102,172,70,96,2130,9886,-152,194
-102,172,70,96,2130,9886,-152,194
-101,173,70,96,2130,9886,-153,192
-99,173,70,96,2130,9886,-152,192
-98,174,69,97,2130,9886,-150,194
-98,174,69,97,2130,9886,-150,194
-98,174,68,97,2130,9886,-151,194
-99,175,68,97,2130,9886,-151,195
-98,178,69,98,2130,9886,-151,197
-97,180,70,98,2130,9886,-150,200
-96,181,70,98,2130,9886,-148,201
-96,181,69,99,2130,9886,-148,200
-96,180,70,99,2130,9886,-148,200
-95,181,71,100,2131,9886,-147,201
-93,182,72,101,2132,9886,-147,205
-92,183,72,101,2133,9886,-146,205
-91,183,72,101,2134,9886,-146,205
-91,183,72,101,2134,9886,-146,205
-91,185,72,101,2135,9885,-146,207
-90,187,72,101,2135,9885,-146,209
-90,190,71,100,2135,9885,-145,212
-90,190,71,100,2134,9886,-145,209
-90,189,71,100,2133,9886,-145,208
-89,188,72,101,2133,9886,-145,209
-89,187,73,100,2134,9886,-141,209
-88,187,74,99,2134,9886,-141,209
-87,188,74,99,2134,9886,-140,211
-86,190,74,99,2133,9886,-139,212
-85,192,73,99,2133,9886,-137,214
-85,192,73,98,2134,9886,-137,214
-85,192,73,97,2135,9885,-137,214
-85,192,73,97,2135,9885,-137,214
-86,191,74,98,2135,9885,-139,213
-85,192,75,99,2135,9885,-137,214
-84,192,74,98,2135,9885,-136,214
-82,193,74,97,2134,9886,-133,218
-81,194,74,96,2133,9886,-131,216
-81,194,75,96,2133,9886,-131,219
-81,194,75,97,2133,9886,-131,219
-81,194,75,97,2133,9886,-131,218
-81,194,75,97,2131,9886,-131,219
-81,194,75,97,2130,9886,-131,219
-81,194,75,97,2131,9886,-131,219
-81,194,75,97,2133,9886,-131,218
-81,194,75,97,2135,9885,-131,218
-82,196,75,97,2135,9885,-131,220
-82,198,75,97,2133,9886,-131,223
-80,200,75,97,2131,9886,-130,224
-79,200,75,97,2130,9886,-129,224
-78,199,75,97,2129,9886,-128,224
-78,199,75,97,2130,9886,-129,224
-79,200,75,97,2130,9886,-129,225
-79,201,75,97,2130,9886,-130,225
-79,201,75,97,2130,9886,-129,225
-78,201,76,97,2130,9886,-129,225
-77,202,76,96,2130,9886,-128,227
-76,202,77,96,2130,9886,-126,227
-75,202,76,96,2130,9886,-126,227
-75,203,75,97,2130,9886,-125,228
-75,203,75,97,2130,9886,-125,228
-75,203,75,97,2129,9886,-125,228
-75,203,76,96,2130,9886,-125,228
-75,203,77,96,2131,9886,-125,228
-75,203,77,95,2133,9886,-123,228
-75,203,77,95,2135,9885,-123,228
-75,203,77,95,2135,9885,-123,228
-75,203,77,96,2133,9886,-125,228
-75,203,77,97,2132,9886,-125,228
-75,203,78,100,2133,9886,-128,228
-74,203,79,101,2135,9885,-128,228
-75,203,79,101,2135,9885,-128,228
-75,204,79,101,2135,9885,-129,229
-77,206,79,101,2134,9886,-130,230
-77,207,79,101,2132,9886,-130,231
-76,209,79,101,2132,9886,-129,233
-74,209,79,101,2132,9886,-126,234
-73,209,79,101,2132,9886,-126,234
-74,209,79,101,2132,9886,-126,234
-74,209,79,101,2134,9886,-126,233
-74,209,79,101,2135,9885,-126,233
-73,209,79,101,2135,9885,-126,234
-72,210,79,101,2133,9886,-125,234
-72,209,79,101,2131,9886,-125,234
-73,209,79,101,2130,9886,-126,234
-73,209,79,101,2131,9886,-125,234
-72,210,79,101,2133,9886,-124,235
-69,211,79,101,2133,9886,-123,236
-68,212,79,101,2133,9886,-122,236
-68,212,79,101,2133,9886,-120,236
-68,212,79,101,2134,9886,-122,236
-68,212,79,101,2135,9885,-122,236
-68,212,79,101,2135,9885,-122,236
-68,212,79,101,2135,9885,-122,236
-68,212,79,101,2135,9885,-122,238
-68,212,79,101,2135,9885,-122,236
-68,211,80,101,2135,9885,-122,239
-68,212,81,102,2135,9885,-122,239
-69,213,80,101,2135,9885,-122,240
-70,215,79,101,2135,9885,-123,240
-71,216,79,101,2135,9885,-124,241
-71,217,80,101,2135,9885,-124,241
-71,216,81,102,2135,9885,-124,244
-71,216,81,102,2135,9885,-124,244
-71,216,81,102,2135,9885,-124,244
-71,216,80,101,2135,9885,-124,244
-71,216,79,101,2135,9885,-124,241
-69,216,79,101,2135,9885,-122,240
-66,215,79,101,2135,9885,-119,240
-64,214,79,101,2135,9885,-117,239
-64,214,79,101,2135,9885,-117,239
-64,214,79,101,2135,9885,-117,239
-64,214,79,101,2135,9885,-117,239
-64,214,79,101,2135,9885,-117,239
-64,214,79,101,2133,9886,-117,239
-64,214,78,101,2131,9886,-117,239
-64,214,78,102,2132,9886,-117,239
-64,214,78,101,2133,9886,-117,239
-64,214,79,101,2134,9886,-117,239
-64,214,79,101,2134,9886,-117,239
-64,214,79,101,2133,9886,-117,239
-64,214,79,101,2132,9886,-117,239
-64,214,79,101,2132,9886,-117,239
-64,214,79,101,2132,9886,-117,239
-65,214,79,101,2132,9886,-118,239
-64,214,79,101,2132,9886,-117,239
-62,215,79,101,2132,9886,-115,240
-61,216,79,101,2131,9886,-114,240
-61,216,80,101,2130,9886,-114,242
-62,215,81,102,2130,9886,-115,242
-62,215,80,101,2131,9886,-115,242
-62,215,79,101,2132,9886,-114,240
-61,216,79,101,2132,9886,-114,240
-61,216,80,101,2132,9886,-114,244
-61,216,81,102,2133,9886,-114,244
-60,216,80,101,2133,9886,-113,244
-60,216,79,101,2133,9886,-113,241
-60,217,79,101,2132,9886,-113,241
-60,217,80,101,2130,9886,-113,242
-61,218,81,102,2129,9886,-114,246
-61,219,82,103,2129,9886,-114,246
-61,220,82,103,2130,9886,-114,247
-62,220,82,103,2132,9886,-115,247
-62,221,82,103,2132,9886,-115,249
-62,221,82,103,2131,9886,-115,249
-62,221,81,102,2130,9886,-115,249
-62,221,82,103,2130,9886,-115,249
-62,220,82,103,2130,9886,-115,247
-63,220,83,104,2130,9886,-117,247
-64,220,83,104,2130,9886,-117,247
-63,220,83,104,2130,9886,-117,247
-62,220,83,104,2131,9886,-115,247
-62,221,83,104,2132,9886,-115,249
-62,221,83,104,2131,9886,-115,249
-62,220,83,104,2130,9886,-115,247
-62,220,83,104,2130,9886,-115,247
-62,220,83,104,2130,9886,-115,247
-62,221,83,104,2130,9886,-115,249
-62,220,83,104,2130,9886,-115,247
-62,220,83,104,2130,9886,-115,247
-62,221,83,104,2131,9886,-115,249
-62,221,83,104,2132,9886,-115,249
-62,221,83,104,2132,9886,-115,249
-62,220,83,104,2132,9886,-115,247
-62,220,83,104,2132,9886,-115,247
-62,221,83,104,2132,9886,-115,249
-61,221,83,104,2132,9886,-114,249
-59,222,83,104,2132,9886,-112,250
-58,223,83,104,2132,9886,-111,250
-57,223,81,103,2132,9886,-111,251
-57,223,80,101,2133,9886,-111,250
-58,223,80,101,2135,9885,-111,250
-58,223,81,102,2135,9885,-111,250
-58,223,83,104,2135,9885,-111,250
-57,223,83,104,2133,9886,-111,250
-58,223,83,104,2132,9886,-111,250
-58,223,83,103,2132,9886,-111,250
-58,223,83,101,2132,9886,-108,250
