F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-5921,-10000,-1919,-1929,2710,9850,-4940,-10000
-6025,-9945,-1864,-1864,2695,9851,-5073,-10000
-6131,-9768,-1810,-1803,2680,9852,-5206,-10000
-6224,-9594,-1758,-1745,2666,9853,-5326,-10000
-6272,-9405,-1708,-1688,2653,9854,-5401,-10000
-6199,-9160,-1660,-1633,2640,9855,-5356,-9885
-6037,-8876,-1614,-1578,2627,9855,-5223,-9585
-5843,-8582,-1569,-1525,2614,9856,-5059,-9270
-5666,-8303,-1525,-1476,2603,9857,-4909,-8974
-5515,-8044,-1483,-1429,2592,9858,-4786,-8697
-5374,-7797,-1442,-1382,2581,9858,-4669,-8434
-5230,-7555,-1403,-1337,2570,9859,-4552,-8176
-5084,-7318,-1365,-1293,2559,9859,-4430,-7925
-4940,-7088,-1326,-1251,2549,9860,-4309,-7678
-4800,-6864,-1289,-1212,2539,9861,-4188,-7436
-4665,-6648,-1253,-1175,2528,9862,-4073,-7206
-4534,-6439,-1219,-1137,2518,9862,-3963,-6983
-4408,-6238,-1186,-1100,2509,9863,-3858,-6767
-4286,-6043,-1155,-1063,2500,9863,-3757,-6562
-4169,-5855,-1124,-1028,2490,9864,-3658,-6360
-4055,-5674,-1095,-996,2481,9864,-3563,-6167
-3946,-5499,-1066,-965,2472,9865,-3471,-5980
-3840,-5330,-1038,-935,2464,9865,-3381,-5800
-3737,-5169,-1011,-905,2456,9866,-3295,-5627
-3638,-5013,-985,-876,2449,9866,-3211,-5461
-3541,-4863,-960,-850,2442,9867,-3127,-5300
-3448,-4719,-936,-824,2435,9867,-3049,-5144
-3357,-4580,-913,-799,2428,9868,-2971,-4996
-3271,-4447,-891,-775,2422,9868,-2899,-4856
-3188,-4320,-869,-752,2417,9868,-2828,-4716
-3109,-4198,-847,-730,2413,9869,-2761,-4586
-3033,-4080,-826,-708,2408,9869,-2696,-4460
-2958,-3966,-806,-687,2402,9869,-2631,-4338
-2886,-3856,-787,-668,2396,9869,-2572,-4218
-2817,-3749,-768,-649,2391,9870,-2512,-4104
-2750,-3647,-750,-630,2387,9870,-2454,-3994
-2685,-3550,-733,-611,2383,9870,-2398,-3890
-2623,-3456,-715,-594,2379,9871,-2346,-3789
-2562,-3365,-699,-578,2375,9871,-2293,-3691
-2504,-3277,-683,-563,2372,9871,-2241,-3595
-2446,-3191,-667,-549,2368,9871,-2192,-3501
-2390,-3108,-652,-533,2364,9872,-2146,-3411
-2336,-3026,-638,-517,2360,9872,-2098,-3325
-2284,-2946,-625,-502,2358,9872,-2055,-3238
-2234,-2869,-611,-489,2355,9872,-2011,-3155
-2185,-2794,-596,-476,2353,9872,-1967,-3076
-2135,-2721,-583,-464,2349,9872,-1925,-2994
-2087,-2649,-570,-451,2346,9873,-1883,-2917
-2040,-2579,-559,-439,2343,9873,-1844,-2844
-1993,-2510,-548,-426,2341,9873,-1804,-2768
-1947,-2443,-536,-413,2338,9873,-1763,-2700
-1903,-2378,-524,-401,2336,9873,-1726,-2629
-1860,-2314,-512,-390,2333,9873,-1688,-2558
-1818,-2250,-500,-379,2331,9873,-1652,-2490
-1777,-2189,-488,-369,2328,9874,-1616,-2423
-1737,-2130,-478,-359,2326,9874,-1582,-2358
-1698,-2072,-468,-349,2324,9874,-1547,-2297
-1659,-2015,-458,-338,2321,9874,-1516,-2235
-1621,-1958,-448,-327,2318,9874,-1483,-2175
-1583,-1904,-438,-317,2315,9874,-1451,-2115
-1547,-1853,-428,-307,2312,9875,-1418,-2061
-1512,-1802,-419,-299,2310,9875,-1386,-2005
-1478,-1752,-411,-290,2309,9875,-1359,-1951
-1446,-1702,-402,-281,2307,9875,-1333,-1899
-1414,-1654,-393,-272,2304,9875,-1304,-1845
-1383,-1608,-383,-263,2302,9875,-1276,-1796
-1352,-1564,-374,-256,2300,9875,-1251,-1748
-1320,-1522,-366,-248,2299,9876,-1223,-1702
-1290,-1480,-358,-240,2297,9876,-1195,-1657
-1261,-1438,-350,-233,2296,9876,-1169,-1611
-1233,-1398,-342,-226,2294,9876,-1147,-1568
-1207,-1360,-335,-219,2292,9876,-1125,-1527
-1181,-1324,-328,-212,2289,9876,-1102,-1488
-1155,-1288,-321,-206,2287,9876,-1079,-1449
-1130,-1253,-315,-200,2286,9876,-1057,-1411
-1105,-1219,-309,-195,2285,9876,-1035,-1374
-1082,-1187,-303,-189,2284,9877,-1015,-1340
-1060,-1156,-296,-183,2282,9877,-993,-1306
-1038,-1125,-290,-177,2281,9877,-974,-1272
-1016,-1094,-284,-171,2281,9877,-955,-1237
-994,-1065,-278,-165,2281,9877,-937,-1206
-974,-1037,-272,-161,2280,9877,-919,-1175
-954,-1010,-266,-157,2277,9877,-900,-1146
-934,-983,-260,-154,2276,9877,-883,-1116
-916,-956,-256,-149,2276,9877,-865,-1086
-898,-930,-251,-144,2276,9877,-850,-1058
-881,-904,-245,-138,2275,9877,-836,-1031
-864,-881,-239,-133,2273,9877,-822,-1005
-848,-858,-234,-129,2271,9877,-809,-980
-832,-836,-229,-125,2271,9877,-793,-954
-816,-813,-226,-122,2271,9877,-781,-930
-801,-792,-222,-119,2270,9877,-765,-908
-785,-772,-218,-116,2268,9877,-750,-885
-770,-751,-213,-112,2266,9877,-738,-863
-755,-731,-208,-107,2266,9877,-726,-839
-740,-710,-203,-102,2266,9877,-714,-819
-727,-690,-199,-99,2266,9877,-701,-795
-715,-672,-196,-96,2267,9877,-692,-775
-702,-655,-193,-93,2266,9877,-679,-758
-689,-639,-189,-89,2265,9877,-668,-738
-675,-622,-186,-86,2263,9878,-655,-721
-661,-605,-183,-84,2261,9878,-642,-703
-649,-589,-180,-83,2261,9878,-632,-686
-637,-572,-177,-81,2261,9878,-621,-666
-625,-556,-174,-78,2262,9878,-609,-650
-613,-541,-173,-74,2262,9878,-600,-634
-602,-525,-171,-71,2260,9878,-592,-616
-592,-509,-168,-69,2258,9878,-582,-600
-581,-495,-164,-67,2256,9878,-571,-583
-571,-481,-158,-65,2256,9878,-561,-567
-560,-467,-154,-63,2256,9878,-550,-550
-549,-454,-151,-61,2257,9878,-540,-537
-538,-441,-149,-59,2257,9878,-532,-521
-528,-430,-148,-57,2256,9878,-522,-510
-518,-418,-145,-56,2255,9878,-512,-498
-510,-405,-143,-53,2253,9878,-506,-483
-502,-392,-140,-50,2252,9878,-499,-469
-494,-380,-137,-47,2253,9878,-494,-457
-486,-368,-134,-45,2253,9878,-485,-443
-477,-358,-131,-44,2253,9878,-477,-432
-467,-348,-127,-43,2252,9878,-467,-419
-457,-337,-124,-43,2251,9878,-457,-406
-449,-325,-122,-41,2251,9878,-450,-394
-442,-314,-121,-39,2251,9878,-443,-383
-436,-303,-120,-36,2252,9878,-439,-372
-429,-293,-119,-34,2252,9878,-433,-360
-422,-284,-115,-32,2251,9878,-426,-350
-413,-275,-112,-31,2250,9878,-419,-339
-406,-265,-110,-29,2248,9879,-412,-329
-399,-256,-108,-28,2247,9879,-406,-317
-393,-247,-107,-26,2248,9879,-400,-308
-387,-238,-105,-24,2248,9879,-396,-299
-381,-229,-103,-22,2248,9879,-390,-290
-374,-221,-101,-21,2247,9879,-384,-279
-367,-213,-100,-19,2246,9879,-377,-271
-360,-206,-98,-18,2246,9879,-373,-263
-354,-198,-96,-16,2247,9879,-367,-253
-349,-191,-94,-14,2247,9879,-362,-246
-343,-184,-92,-12,2246,9879,-356,-239
-337,-177,-91,-11,2245,9879,-352,-233
-331,-170,-90,-10,2244,9879,-346,-224
-326,-162,-88,-9,2244,9879,-341,-214
-321,-154,-86,-7,2244,9879,-338,-206
-316,-147,-84,-5,2244,9879,-334,-200
-310,-140,-83,-3,2244,9879,-329,-190
-306,-134,-82,-3,2244,9879,-324,-184
-301,-127,-81,-3,2244,9879,-321,-177
-296,-120,-80,-1,2243,9879,-316,-170
-291,-114,-79,0,2242,9879,-311,-163
-286,-108,-78,0,2242,9879,-308,-157
-281,-101,-76,1,2242,9879,-303,-148
-276,-96,-75,2,2242,9879,-299,-142
-272,-90,-74,3,2242,9879,-294,-137
-268,-85,-73,5,2242,9879,-290,-131
-263,-79,-71,7,2242,9879,-288,-125
-258,-72,-69,8,2242,9879,-283,-117
-253,-66,-67,8,2242,9879,-278,-111
-249,-61,-65,8,2242,9879,-272,-102
-246,-57,-63,8,2242,9879,-268,-98
-242,-53,-61,8,2242,9879,-266,-93
-238,-47,-61,9,2242,9879,-261,-86
-233,-42,-60,10,2242,9879,-256,-80
-229,-37,-59,11,2242,9879,-255,-75
-225,-32,-58,12,2242,9879,-251,-72
-222,-28,-57,12,2242,9879,-249,-67
-219,-23,-57,13,2242,9879,-245,-62
-216,-19,-55,14,2242,9879,-242,-57
-213,-15,-54,15,2242,9879,-239,-51
-209,-11,-54,16,2242,9879,-235,-47
-205,-8,-53,17,2242,9879,-231,-43
-202,-3,-52,18,2242,9879,-230,-40
-199,0,-51,18,2242,9879,-228,-35
-196,5,-50,19,2242,9879,-224,-30
-193,9,-50,20,2242,9879,-222,-25
-191,13,-48,21,2242,9879,-219,-19
-188,17,-47,22,2242,9879,-217,-15
-186,21,-47,22,2242,9879,-216,-10
-184,25,-46,23,2242,9879,-216,-7
-181,29,-45,25,2242,9879,-212,-3
-177,32,-43,25,2241,9879,-209,0
-174,36,-43,25,2240,9879,-206,6
-172,39,-43,25,2240,9879,-201,9
-170,43,-42,25,2240,9879,-200,13
-168,47,-40,26,2241,9879,-200,17
-165,50,-38,27,2242,9879,-197,19
-162,52,-36,28,2242,9879,-194,24
-159,54,-36,29,2242,9879,-191,26
-157,57,-35,31,2242,9879,-190,30
-156,60,-35,32,2242,9879,-191,32
-154,64,-36,32,2242,9879,-189,36
-151,67,-35,31,2242,9879,-184,40
-148,69,-35,29,2242,9879,-180,42
-145,72,-33,29,2242,9879,-178,45
-143,75,-32,29,2242,9879,-175,50
-141,78,-31,30,2242,9879,-174,53
-139,80,-30,32,2242,9879,-172,56
-136,82,-28,33,2242,9879,-169,57
-133,83,-27,34,2242,9879,-166,58
-130,85,-26,35,2242,9879,-166,63
-128,88,-25,36,2242,9879,-163,65
-126,91,-26,35,2242,9879,-162,69
-124,94,-26,35,2242,9879,-159,72
-121,95,-26,35,2242,9879,-156,73
-118,97,-26,35,2240,9879,-153,75
-115,100,-25,36,2238,9879,-151,78
-114,103,-23,37,2237,9879,-150,81
-112,105,-22,38,2237,9879,-148,83
-111,107,-22,39,2237,9879,-146,85
-109,109,-22,39,2237,9879,-145,87
-108,112,-22,38,2237,9879,-144,90
-106,114,-22,38,2237,9879,-142,92
-104,115,-23,38,2237,9879,-140,93
-102,117,-22,39,2237,9879,-137,95
-100,119,-21,39,2237,9879,-136,97
-100,121,-20,41,2237,9879,-135,102
-99,124,-19,42,2237,9879,-137,104
-98,126,-18,42,2237,9879,-137,107
-98,128,-18,42,2237,9879,-136,109
-97,130,-19,42,2237,9879,-136,111
-97,131,-19,42,2237,9879,-135,112
-96,133,-18,42,2237,9879,-135,113
-96,135,-18,42,2237,9879,-134,115
-95,137,-19,42,2237,9879,-134,117
-93,138,-19,41,2236,9879,-133,119
-93,140,-18,42,2235,9879,-131,120
-91,143,-18,43,2236,9879,-130,124
-89,145,-16,44,2237,9879,-128,125
-87,146,-15,45,2237,9879,-126,126
-86,148,-16,44,2237,9879,-124,128
-85,149,-16,44,2236,9879,-124,130
-85,152,-16,44,2235,9879,-124,133
-83,154,-15,45,2235,9879,-123,135
-82,156,-15,45,2237,9879,-120,136
-79,156,-15,45,2237,9879,-118,137
-76,157,-15,45,2237,9879,-115,139
-75,159,-15,45,2237,9879,-114,140
-74,161,-14,46,2237,9879,-113,141
-74,163,-13,47,2236,9879,-115,147
-73,165,-12,48,2235,9879,-114,148
-72,166,-11,49,2236,9879,-113,150
-70,167,-12,49,2237,9879,-112,150
-68,167,-12,49,2237,9879,-111,151
-66,169,-12,48,2237,9879,-107,152
-64,170,-10,47,2237,9879,-103,153
-64,172,-9,47,2237,9879,-103,158
-65,174,-8,47,2237,9879,-104,159
