F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-3451,-4753,-924,-840,2363,9872,-3037,-5171
-3366,-4621,-901,-815,2357,9872,-2965,-5028
-3284,-4493,-879,-791,2352,9872,-2896,-4891
-3204,-4370,-858,-768,2345,9873,-2829,-4759
-3126,-4251,-837,-747,2340,9873,-2760,-4632
-3050,-4134,-816,-727,2334,9873,-2696,-4504
-2977,-4022,-797,-707,2330,9873,-2631,-4383
-2905,-3913,-778,-687,2326,9874,-2573,-4266
-2836,-3807,-759,-668,2323,9874,-2513,-4155
-2768,-3705,-741,-650,2320,9874,-2454,-4044
-2702,-3605,-724,-632,2315,9874,-2397,-3936
-2638,-3509,-707,-615,2310,9875,-2342,-3834
-2576,-3415,-691,-598,2305,9875,-2290,-3731
-2517,-3324,-675,-582,2302,9875,-2240,-3635
-2458,-3236,-661,-567,2299,9876,-2190,-3541
-2401,-3150,-646,-551,2295,9876,-2138,-3447
-2344,-3066,-632,-536,2292,9876,-2091,-3358
-2289,-2985,-617,-521,2289,9876,-2044,-3270
-2236,-2905,-601,-507,2287,9876,-1998,-3183
-2185,-2829,-586,-493,2284,9876,-1953,-3100
-2135,-2756,-572,-480,2281,9877,-1909,-3022
-2086,-2685,-560,-467,2276,9877,-1870,-2945
-2038,-2615,-550,-455,2272,9877,-1827,-2872
-1992,-2547,-538,-442,2270,9877,-1787,-2799
-1947,-2482,-526,-430,2268,9877,-1749,-2728
-1904,-2417,-513,-418,2265,9877,-1711,-2658
-1862,-2355,-500,-407,2261,9878,-1676,-2590
-1820,-2294,-489,-396,2258,9878,-1640,-2524
-1780,-2235,-479,-387,2256,9878,-1602,-2462
-1740,-2178,-469,-377,2255,9878,-1569,-2398
-1702,-2123,-458,-367,2253,9878,-1534,-2338
-1664,-2069,-447,-357,2251,9878,-1502,-2279
-1626,-2016,-437,-347,2248,9879,-1470,-2224
-1590,-1965,-427,-338,2245,9879,-1438,-2166
-1555,-1915,-417,-329,2243,9879,-1408,-2113
-1521,-1866,-408,-320,2242,9879,-1379,-2059
-1489,-1818,-399,-312,2240,9879,-1348,-2009
-1456,-1772,-390,-303,2238,9879,-1323,-1956
-1425,-1727,-382,-295,2236,9879,-1295,-1909
-1395,-1683,-373,-288,2233,9880,-1268,-1861
-1366,-1640,-365,-281,2232,9880,-1242,-1814
-1338,-1599,-357,-274,2231,9880,-1217,-1770
-1311,-1559,-350,-266,2229,9880,-1195,-1727
-1283,-1519,-343,-256,2226,9880,-1174,-1684
-1257,-1479,-335,-248,2224,9880,-1151,-1641
-1231,-1440,-328,-241,2222,9880,-1127,-1600
-1205,-1403,-320,-235,2221,9880,-1105,-1557
-1181,-1368,-313,-229,2219,9880,-1084,-1519
-1157,-1334,-307,-224,2217,9880,-1063,-1481
-1133,-1299,-300,-218,2215,9880,-1042,-1444
-1109,-1264,-294,-213,2215,9880,-1019,-1407
-1086,-1231,-287,-207,2214,9881,-999,-1370
-1064,-1199,-280,-201,2211,9881,-980,-1336
-1044,-1170,-274,-196,2209,9881,-963,-1304
-1022,-1140,-270,-191,2208,9881,-944,-1272
-1001,-1111,-264,-186,2208,9881,-926,-1240
-980,-1082,-259,-181,2206,9881,-905,-1210
-959,-1054,-253,-176,2204,9881,-887,-1179
-940,-1028,-248,-171,2203,9881,-871,-1151
-922,-1003,-242,-166,2203,9881,-856,-1123
-905,-978,-238,-161,2203,9881,-842,-1096
-888,-953,-233,-157,2202,9881,-825,-1068
-870,-928,-229,-153,2200,9881,-810,-1042
-852,-905,-225,-149,2198,9882,-795,-1016
-836,-881,-220,-145,2198,9882,-780,-991
-820,-860,-215,-140,2198,9882,-766,-969
-804,-838,-210,-136,2198,9882,-753,-943
