F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
21,-33,10,-68,616,892,75,-14
20,-37,10,-68,617,895,74,-18
19,-41,10,-70,617,897,73,-21
18,-43,8,-71,617,900,72,-24
17,-45,7,-72,616,902,70,-29
17,-47,7,-72,615,905,73,-30
15,-50,7,-72,615,907,69,-31
13,-55,8,-72,616,910,67,-35
11,-58,7,-72,616,912,68,-39
9,-61,6,-73,615,914,65,-43
8,-64,4,-73,614,917,62,-46
7,-66,2,-73,614,920,61,-52
6,-69,2,-74,613,922,61,-54
5,-72,2,-74,614,925,58,-57
2,-73,3,-74,614,927,58,-56
1,-75,3,-74,614,929,54,-61
0,-79,2,-74,614,931,53,-64
0,-83,2,-73,614,932,53,-68
0,-87,2,-73,614,934,53,-73
-1,-90,1,-73,613,937,51,-75
-3,-92,0,-73,613,939,51,-78
-3,-94,-1,-74,613,941,50,-83
-3,-98,-1,-76,614,942,50,-85
-4,-102,0,-78,615,943,51,-87
-5,-107,0,-79,615,945,53,-92
-5,-110,1,-79,615,947,52,-95
-6,-113,0,-78,615,949,50,-98
-7,-117,0,-78,615,950,48,-102
-8,-121,-1,-78,614,950,47,-107
-8,-125,-2,-80,612,950,50,-111
-8,-128,-3,-82,610,950,50,-114
-9,-131,-3,-83,610,950,48,-117
-10,-135,-2,-82,610,950,48,-120
-11,-140,-2,-82,610,950,46,-125
-13,-144,-2,-82,611,950,45,-129
-14,-147,-2,-82,612,950,43,-133
-16,-150,-2,-82,612,950,42,-135
-16,-154,-3,-83,611,950,41,-141
-16,-158,-5,-84,611,950,41,-146
-17,-162,-6,-85,611,950,43,-150
-18,-165,-7,-86,612,950,41,-152
-20,-167,-6,-86,612,950,40,-155
-22,-170,-6,-86,611,950,39,-158
-24,-175,-6,-86,610,949,36,-163
-25,-179,-6,-85,610,947,36,-167
-25,-183,-6,-86,610,946,35,-170
-26,-186,-7,-86,610,943,34,-174
-27,-189,-8,-88,610,942,34,-177
-28,-192,-8,-90,610,941,34,-180
-29,-195,-8,-91,610,941,34,-183
-30,-199,-7,-91,609,940,32,-187
-31,-203,-7,-91,609,939,31,-190
-32,-206,-7,-91,610,937,30,-194
-33,-208,-8,-91,611,936,29,-196
-34,-210,-9,-90,613,935,29,-197
-34,-212,-9,-89,612,936,26,-202
-35,-214,-8,-89,611,936,28,-202
-35,-216,-7,-91,610,934,28,-205
-37,-219,-7,-93,610,932,29,-207
-38,-222,-8,-95,612,930,26,-209
-40,-225,-9,-96,613,930,25,-213
-41,-227,-10,-96,613,931,24,-216
-42,-229,-10,-96,612,931,23,-217
-43,-230,-11,-94,611,929,21,-218
-44,-232,-12,-93,610,927,19,-222
-44,-234,-13,-93,611,926,19,-224
-44,-238,-12,-93,612,925,18,-228
-46,-241,-12,-93,613,925,17,-231
-48,-244,-12,-93,612,926,14,-234
-51,-246,-14,-93,611,926,12,-236
-53,-248,-16,-94,610,926,9,-241
-54,-251,-17,-95,610,924,8,-244
-56,-254,-17,-96,610,923,7,-246
-57,-256,-17,-96,610,922,6,-249
-58,-259,-17,-95,612,922,4,-252
-59,-263,-16,-95,612,922,4,-256
-60,-266,-17,-95,612,921,2,-258
-63,-268,-18,-97,612,921,2,-261
-65,-271,-19,-98,612,921,0,-263
-67,-273,-21,-98,611,921,-4,-268
-68,-276,-23,-97,610,921,-4,-271
-70,-278,-23,-95,609,921,-7,-273
-73,-280,-24,-94,608,921,-12,-278
-77,-283,-24,-95,608,921,-15,-280
-79,-287,-25,-96,608,921,-15,-285
-80,-291,-26,-97,608,921,-17,-289
-81,-294,-27,-99,609,921,-17,-291
-82,-296,-27,-99,610,921,-19,-294
-85,-299,-27,-98,610,922,-21,-296
-89,-302,-28,-97,610,922,-25,-302
-91,-305,-31,-97,609,923,-30,-305
-93,-308,-33,-97,608,923,-32,-310
-95,-311,-34,-98,608,925,-34,-313
-98,-315,-35,-98,609,925,-37,-317
-101,-319,-36,-98,610,926,-40,-322
-104,-324,-39,-98,611,926,-46,-329
-108,-329,-40,-98,610,927,-48,-334
-112,-334,-41,-98,609,929,-53,-341
-117,-339,-42,-99,609,931,-58,-346
-121,-344,-44,-99,609,931,-63,-351
-124,-349,-47,-99,609,931,-65,-358
-128,-355,-49,-99,609,931,-70,-366
-133,-363,-50,-100,609,931,-76,-375
-137,-372,-52,-100,609,931,-81,-384
-142,-380,-55,-100,609,931,-85,-395
-147,-388,-58,-101,609,932,-91,-402
-155,-397,-61,-103,611,934,-98,-415
-162,-407,-64,-104,611,936,-107,-427
-170,-419,-67,-105,611,936,-114,-439
-177,-433,-70,-104,610,936,-122,-455
-183,-447,-72,-105,609,935,-129,-471
-190,-462,-76,-106,609,936,-136,-487
-198,-477,-79,-108,610,937,-144,-505
-207,-495,-83,-110,612,939,-153,-524
-216,-516,-86,-112,613,940,-159,-548
-225,-537,-90,-113,614,941,-168,-568
-233,-558,-93,-113,614,941,-179,-593
-242,-580,-98,-115,614,940,-187,-617
-252,-604,-103,-117,615,940,-197,-643
-262,-630,-107,-120,614,940,-206,-671
-273,-658,-111,-123,614,940,-217,-703
-283,-687,-117,-126,614,942,-227,-733
-294,-717,-122,-130,614,944,-235,-766
-305,-747,-128,-133,615,945,-246,-798
-316,-779,-133,-136,616,945,-257,-832
-326,-813,-138,-140,618,945,-266,-869
-336,-849,-144,-142,620,945,-275,-908
-347,-885,-149,-146,620,945,-286,-947
-359,-923,-155,-151,620,945,-296,-986
-371,-961,-160,-156,619,945,-305,-1026
-382,-998,-167,-161,620,945,-316,-1069
-392,-1037,-175,-165,621,945,-324,-1110
-402,-1076,-180,-168,623,945,-334,-1152
-413,-1116,-185,-172,625,945,-343,-1195
-425,-1156,-190,-177,625,945,-354,-1237
-436,-1196,-196,-182,625,945,-363,-1279
-446,-1235,-202,-187,626,944,-371,-1320
-457,-1272,-209,-191,628,944,-380,-1359
-467,-1310,-213,-195,629,945,-389,-1400
-477,-1347,-217,-199,630,945,-396,-1440
-485,-1384,-223,-204,629,944,-405,-1479
-493,-1417,-228,-208,629,943,-410,-1516
-502,-1448,-234,-211,629,942,-418,-1549
-511,-1477,-238,-215,630,943,-426,-1579
-520,-1505,-242,-219,632,944,-434,-1607
-528,-1531,-246,-223,634,944,-440,-1635
-533,-1555,-250,-227,636,942,-443,-1662
-537,-1576,-254,-230,638,940,-446,-1683
-541,-1593,-257,-233,639,939,-449,-1704
-546,-1608,-259,-234,639,940,-454,-1718
-550,-1621,-261,-236,639,942,-457,-1733
-553,-1629,-262,-238,641,944,-458,-1741
-556,-1635,-263,-241,642,944,-461,-1748
-558,-1638,-264,-244,643,942,-461,-1750
-560,-1637,-265,-244,644,940,-462,-1750
-559,-1633,-266,-244,646,939,-461,-1745
-557,-1626,-266,-243,647,941,-460,-1738
-554,-1615,-265,-242,648,943,-458,-1728
-551,-1602,-263,-242,650,944,-454,-1715
-547,-1586,-260,-241,651,943,-450,-1696
-542,-1566,-258,-240,652,943,-445,-1673
-537,-1542,-256,-238,653,943,-441,-1650
-531,-1515,-253,-236,654,942,-437,-1623
-525,-1486,-249,-233,656,943,-429,-1591
-516,-1454,-246,-229,657,944,-424,-1557
-507,-1420,-242,-225,658,946,-417,-1522
-495,-1382,-238,-222,659,947,-405,-1481
-484,-1342,-232,-218,659,948,-395,-1440
-472,-1299,-225,-214,661,948,-384,-1392
-461,-1255,-217,-209,662,947,-375,-1345
-450,-1208,-210,-203,663,946,-365,-1296
-438,-1159,-203,-196,664,947,-357,-1245
-426,-1108,-198,-190,666,948,-347,-1191
-412,-1055,-191,-185,667,950,-336,-1136
-398,-1002,-184,-178,668,952,-324,-1079
-384,-949,-176,-171,669,952,-313,-1022
-368,-895,-167,-164,669,951,-300,-963
-353,-839,-158,-158,670,952,-285,-903
-338,-783,-150,-153,672,953,-272,-844
-322,-726,-143,-147,674,955,-258,-786
-306,-672,-136,-140,675,956,-245,-726
-289,-618,-128,-132,674,956,-231,-668
-273,-564,-119,-124,673,956,-219,-612
-257,-511,-111,-116,674,958,-206,-555
-242,-459,-104,-109,676,960,-192,-500
-225,-409,-96,-103,678,961,-179,-449
-209,-360,-88,-97,679,961,-164,-395
-192,-312,-80,-92,679,961,-148,-341
-177,-266,-72,-86,680,962,-136,-292
-163,-222,-64,-80,681,964,-124,-246
-148,-180,-57,-73,683,965,-112,-200
-135,-140,-51,-67,684,966,-101,-158
-122,-103,-46,-62,685,967,-90,-117
-109,-67,-40,-58,685,969,-80,-79
-95,-35,-34,-54,685,970,-65,-45
-82,-5,-27,-50,685,971,-53,-13
-69,22,-21,-46,685,970,-42,17
-59,49,-15,-42,685,970,-31,46
-49,73,-11,-37,684,970,-24,73
-40,95,-7,-33,685,972,-18,97
-31,113,-4,-30,686,973,-12,115
-21,129,-1,-27,688,974,-2,134
-12,143,2,-26,690,975,7,151
-4,156,6,-25,690,976,14,166
2,166,9,-23,690,978,21,177
7,174,12,-22,690,979,26,186
13,180,12,-21,690,980,32,192
18,183,13,-20,690,980,39,195
23,186,14,-19,690,981,42,197
26,187,15,-18,690,983,43,200
28,187,16,-18,690,985,46,200
32,185,16,-19,690,985,51,200
35,182,15,-21,691,984,54,194
37,177,14,-23,692,984,59,189
