F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4138,-10000,-3115,-3202,3023,9831,-2603,-10000
-4133,-10000,-3056,-3133,3006,9832,-2629,-10000
-4133,-10000,-2997,-3066,2989,9833,-2661,-10000
-4163,-10000,-2939,-3000,2973,9834,-2721,-10000
-4235,-10000,-2883,-2936,2957,9835,-2823,-10000
-4336,-10000,-2829,-2872,2940,9836,-2952,-10000
-4443,-10000,-2778,-2811,2924,9837,-3088,-10000
-4540,-10000,-2727,-2751,2909,9838,-3212,-10000
-4631,-10000,-2676,-2693,2894,9839,-3330,-10000
-4719,-10000,-2626,-2635,2880,9840,-3446,-10000
-4809,-10000,-2577,-2579,2867,9841,-3559,-10000
-4897,-10000,-2530,-2524,2855,9841,-3671,-10000
-4981,-10000,-2485,-2472,2841,9842,-3781,-10000
-5064,-10000,-2441,-2423,2827,9843,-3885,-10000
-5143,-10000,-2398,-2374,2813,9844,-3986,-10000
-5220,-10000,-2356,-2325,2800,9845,-4085,-10000
-5295,-10000,-2315,-2279,2789,9845,-4183,-10000
-5368,-10000,-2274,-2234,2778,9846,-4276,-10000
-5439,-10000,-2235,-2190,2767,9847,-4366,-10000
-5508,-10000,-2197,-2147,2755,9848,-4454,-10000
-5575,-10000,-2161,-2105,2744,9848,-4541,-10000
-5640,-10000,-2125,-2064,2733,9849,-4622,-10000
-5702,-10000,-2089,-2025,2723,9850,-4702,-10000
-5763,-10000,-2053,-1986,2713,9850,-4780,-10000
-5822,-10000,-2019,-1949,2702,9851,-4857,-10000
-5880,-10000,-1987,-1913,2693,9851,-4931,-10000
-5937,-10000,-1957,-1878,2684,9852,-5002,-10000
-5993,-10000,-1927,-1843,2676,9852,-5075,-10000
-6047,-9922,-1896,-1810,2668,9853,-5145,-10000
-6097,-9820,-1865,-1777,2660,9853,-5210,-10000
-6146,-9721,-1836,-1745,2651,9854,-5269,-10000
-6200,-9628,-1807,-1714,2642,9855,-5338,-10000
-6254,-9537,-1779,-1684,2633,9855,-5405,-10000
-6302,-9447,-1751,-1654,2625,9855,-5467,-10000
-6316,-9338,-1723,-1625,2618,9856,-5493,-10000
-6265,-9198,-1695,-1596,2611,9856,-5457,-9952
-6171,-9036,-1669,-1568,2604,9857,-5379,-9779
-6063,-8868,-1644,-1539,2596,9857,-5287,-9599
-5961,-8705,-1619,-1512,2589,9858,-5200,-9425
-5867,-8549,-1594,-1485,2583,9858,-5121,-9260
-5774,-8394,-1570,-1458,2578,9859,-5042,-9094
-5680,-8239,-1546,-1433,2572,9859,-4961,-8930
-5586,-8086,-1522,-1407,2565,9859,-4882,-8766
-5495,-7936,-1497,-1381,2558,9860,-4806,-8606
-5404,-7790,-1472,-1355,2552,9860,-4727,-8449
-5315,-7645,-1448,-1330,2545,9860,-4651,-8294
-5227,-7502,-1425,-1305,2540,9861,-4578,-8141
-5141,-7361,-1403,-1281,2535,9861,-4504,-7990
-5056,-7223,-1381,-1257,2529,9861,-4434,-7844
-4972,-7088,-1360,-1234,2523,9862,-4362,-7700
-4889,-6956,-1337,-1211,2516,9862,-4292,-7557
-4807,-6826,-1315,-1189,2510,9862,-4222,-7418
-4727,-6699,-1294,-1167,2505,9863,-4151,-7282
-4650,-6574,-1274,-1145,2500,9863,-4087,-7149
-4574,-6451,-1254,-1124,2496,9863,-4022,-7018
-4498,-6329,-1234,-1102,2489,9864,-3958,-6888
-4423,-6210,-1214,-1080,2482,9864,-3896,-6760
-4350,-6095,-1195,-1058,2476,9865,-3834,-6637
-4278,-5984,-1176,-1038,2472,9865,-3774,-6517
-4207,-5874,-1157,-1019,2469,9865,-3713,-6400
-4139,-5766,-1139,-1001,2466,9865,-3654,-6285
-4072,-5661,-1121,-983,2462,9866,-3597,-6172
-4007,-5558,-1103,-964,2457,9866,-3540,-6060
-3942,-5458,-1086,-946,2451,9866,-3487,-5952
-3878,-5360,-1068,-929,2446,9866,-3430,-5848
-3815,-5264,-1051,-912,2442,9867,-3376,-5744
-3753,-5169,-1034,-896,2438,9867,-3324,-5641
-3692,-5075,-1018,-880,2435,9867,-3271,-5540
-3632,-4983,-1002,-863,2432,9867,-3219,-5440
-3574,-4893,-986,-848,2427,9868,-3169,-5344
-3516,-4805,-971,-832,2422,9868,-3120,-5251
-3460,-4719,-956,-817,2418,9868,-3070,-5157
-3404,-4635,-940,-803,2415,9868,-3021,-5067
-3350,-4551,-925,-790,2413,9869,-2976,-4975
-3297,-4470,-910,-776,2409,9869,-2929,-4887
-3244,-4389,-898,-762,2406,9869,-2885,-4802
-3192,-4310,-885,-747,2402,9869,-2839,-4718
-3142,-4232,-871,-732,2399,9869,-2797,-4633
-3092,-4156,-857,-719,2396,9869,-2755,-4552
-3043,-4081,-844,-706,2394,9869,-2711,-4471
-2995,-4009,-831,-694,2392,9870,-2669,-4394
-2948,-3939,-818,-682,2388,9870,-2629,-4317
-2901,-3870,-805,-670,2385,9870,-2587,-4243
-2855,-3801,-792,-658,2382,9870,-2548,-4168
-2810,-3733,-779,-646,2380,9870,-2509,-4095
-2765,-3667,-768,-633,2377,9871,-2471,-4023
-2722,-3603,-757,-621,2375,9871,-2436,-3953
-2680,-3540,-747,-610,2372,9871,-2398,-3888
-2640,-3478,-736,-601,2370,9871,-2364,-3820
-2600,-3417,-725,-591,2368,9871,-2327,-3753
-2560,-3358,-713,-581,2365,9871,-2293,-3691
-2520,-3300,-703,-569,2362,9872,-2259,-3629
-2482,-3245,-692,-558,2359,9872,-2227,-3568
-2445,-3189,-682,-549,2356,9872,-2193,-3509
-2409,-3134,-672,-540,2354,9872,-2164,-3448
-2374,-3081,-663,-531,2352,9872,-2132,-3392
-2338,-3028,-653,-522,2351,9872,-2102,-3335
-2303,-2977,-643,-512,2348,9873,-2071,-3277
-2270,-2926,-633,-503,2345,9873,-2043,-3223
-2237,-2876,-625,-495,2343,9873,-2013,-3171
