F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-4046,-4506,3262,9817,-1949,-10000
-4136,-10000,-3926,-4362,3216,9819,-2017,-10000
-4136,-10000,-3811,-4222,3173,9822,-2083,-10000
-4136,-10000,-3700,-4087,3130,9825,-2147,-10000
-4136,-10000,-3592,-3955,3090,9827,-2208,-10000
-4135,-10000,-3487,-3827,3050,9830,-2266,-10000
-4137,-10000,-3384,-3703,3012,9832,-2326,-10000
-4141,-10000,-3284,-3585,2976,9834,-2385,-10000
-4144,-10000,-3187,-3470,2942,9836,-2441,-10000
-4136,-10000,-3094,-3359,2910,9838,-2484,-10000
-4133,-10000,-3003,-3250,2879,9840,-2531,-10000
-4133,-10000,-2915,-3145,2848,9842,-2580,-10000
-4204,-10000,-2829,-3043,2818,9844,-2699,-10000
-4344,-10000,-2748,-2944,2792,9845,-2885,-10000
-4520,-10000,-2668,-2849,2768,9847,-3105,-10000
-4688,-10000,-2591,-2757,2744,9848,-3317,-10000
-4830,-10000,-2515,-2670,2721,9850,-3498,-10000
-4954,-10000,-2443,-2584,2698,9851,-3661,-10000
-5076,-10000,-2372,-2502,2677,9852,-3822,-10000
-5200,-10000,-2303,-2421,2658,9854,-3983,-10000
-5322,-10000,-2237,-2343,2640,9855,-4140,-10000
-5439,-10000,-2173,-2268,2621,9856,-4292,-10000
-5552,-10000,-2111,-2197,2603,9857,-4437,-10000
-5662,-10000,-2052,-2127,2586,9858,-4578,-10000
-5767,-10000,-1995,-2060,2570,9859,-4716,-10000
-5864,-10000,-1939,-1995,2555,9860,-4842,-10000
-5954,-10000,-1886,-1932,2540,9861,-4961,-10000
-6049,-9901,-1834,-1872,2526,9862,-5083,-10000
-6147,-9739,-1785,-1815,2513,9862,-5207,-10000
-6232,-9579,-1738,-1760,2500,9863,-5317,-10000
-6278,-9406,-1692,-1706,2487,9864,-5388,-10000
-6216,-9183,-1647,-1656,2475,9865,-5351,-9898
-6073,-8924,-1603,-1608,2463,9866,-5234,-9620
-5899,-8655,-1561,-1560,2451,9866,-5088,-9335
