F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-73,738,-405,241,338,1784,-372,468
-81,724,-417,239,343,1783,-382,446
-88,704,-426,235,348,1783,-389,422
-95,679,-431,228,354,1784,-393,396
-103,648,-431,219,361,1785,-393,366
-111,612,-427,207,369,1787,-390,334
-118,570,-419,194,376,1788,-385,300
-125,523,-408,180,384,1789,-378,261
-130,473,-393,163,393,1791,-366,223
-135,419,-374,145,402,1793,-354,183
-141,360,-350,125,411,1795,-336,139
-146,296,-323,104,419,1797,-317,95
-151,229,-293,80,427,1799,-296,48
-156,160,-260,55,437,1801,-273,2
-159,90,-226,29,447,1803,-246,-43
-162,18,-189,2,457,1804,-217,-90
-166,-54,-149,-25,465,1807,-190,-135
-169,-128,-108,-53,472,1810,-158,-183
-173,-203,-65,-82,479,1813,-130,-227
-177,-276,-21,-111,486,1815,-100,-271
-180,-348,23,-140,493,1817,-67,-313
-181,-418,66,-169,499,1818,-36,-354
-182,-486,108,-196,503,1819,-4,-394
-182,-550,149,-223,507,1820,26,-428
-182,-610,188,-249,512,1822,57,-462
-183,-665,226,-274,515,1824,86,-493
-182,-715,262,-296,517,1825,114,-517
-182,-760,295,-317,518,1826,140,-540
-180,-800,325,-336,517,1827,164,-560
-176,-833,350,-351,516,1827,187,-576
-172,-859,372,-365,514,1827,206,-587
-168,-877,390,-376,511,1827,225,-593
-164,-887,406,-385,507,1827,239,-593
-160,-889,418,-390,502,1827,250,-588
-154,-884,425,-394,498,1828,261,-577
-147,-872,428,-393,493,1828,267,-565
-139,-850,424,-390,487,1828,272,-545
-131,-821,416,-383,478,1829,272,-521
-124,-783,403,-375,469,1830,269,-493
-115,-739,386,-365,458,1830,266,-458
-107,-687,365,-354,449,1829,258,-422
-98,-629,340,-339,439,1828,250,-378
-90,-564,312,-320,429,1828,235,-333
-82,-493,280,-299,419,1827,218,-284
-73,-418,244,-278,409,1827,198,-231
-65,-338,203,-255,400,1826,179,-179
-56,-255,158,-231,390,1825,157,-125
-49,-169,112,-207,380,1825,133,-69
-43,-82,63,-182,370,1824,106,-14
-38,6,14,-157,360,1823,78,41
-34,94,-35,-133,352,1822,47,97
-29,181,-87,-108,344,1822,18,152
-26,268,-140,-84,337,1821,-10,205
-23,353,-194,-62,329,1820,-40,257
-22,434,-246,-43,322,1819,-69,303
-22,511,-298,-25,318,1819,-100,351
-23,584,-348,-10,314,1819,-125,391
-26,650,-397,2,311,1820,-153,427
-32,710,-444,10,308,1820,-179,460
-40,764,-489,16,306,1821,-205,489
-50,810,-529,19,307,1823,-230,513
-61,851,-566,18,308,1826,-251,532
-74,884,-599,13,310,1828,-269,548
-90,909,-631,2,313,1830,-288,557
-108,927,-658,-14,318,1832,-301,562
-129,936,-681,-35,323,1835,-314,562
-151,939,-699,-59,330,1838,-325,560
-177,934,-712,-87,337,1842,-335,552
-204,922,-721,-119,344,1847,-340,540
-234,903,-726,-157,352,1853,-346,526
-266,876,-727,-200,362,1859,-346,506
-300,844,-723,-248,373,1866,-345,484
-334,806,-714,-299,383,1874,-340,458
-370,763,-700,-356,393,1882,-332,435
-410,716,-682,-415,403,1889,-324,407
-451,665,-661,-477,414,1897,-313,379
-492,611,-637,-542,424,1906,-301,350
-535,556,-610,-610,434,1916,-286,321
-578,498,-581,-681,445,1927,-271,290
-621,438,-548,-753,455,1938,-252,262
-664,378,-513,-825,466,1948,-231,235
-707,319,-477,-898,477,1960,-213,207
-751,259,-440,-971,486,1973,-192,183
-793,201,-402,-1042,492,1986,-173,157
-833,144,-363,-1113,498,2000,-152,134
-871,91,-324,-1181,504,2014,-128,115
-906,41,-285,-1247,510,2029,-104,97
-940,-7,-246,-1309,514,2045,-83,81
-973,-52,-209,-1369,517,2062,-61,68
-1002,-94,-171,-1426,517,2080,-39,56
-1028,-132,-135,-1479,516,2097,-15,47
-1050,-165,-102,-1527,514,2115,6,41
-1069,-195,-71,-1569,511,2133,24,36
-1084,-222,-43,-1605,506,2152,42,31
-1095,-245,-16,-1635,501,2170,63,29
-1101,-263,7,-1660,494,2190,81,28
-1103,-276,29,-1677,485,2210,97,30
-1102,-285,48,-1689,475,2230,113,34
-1096,-291,64,-1693,464,2251,125,37
-1085,-295,78,-1692,451,2272,139,41
-1071,-296,88,-1685,437,2294,153,45
-1053,-294,96,-1671,421,2316,162,50
-1032,-287,101,-1650,405,2337,169,57
-1008,-278,104,-1622,388,2358,174,62
-980,-266,106,-1590,371,2380,180,68
-948,-254,106,-1552,354,2403,185,75
-914,-241,102,-1510,335,2425,186,79
-879,-226,97,-1463,315,2446,187,81
-842,-208,90,-1411,295,2466,186,87
-802,-190,82,-1355,275,2487,184,91
-761,-172,74,-1296,255,2508,181,95
-719,-155,64,-1235,237,2529,177,96
-676,-140,53,-1171,219,2549,172,95
-632,-124,42,-1105,200,2568,164,92
-588,-107,32,-1039,181,2587,159,92
-543,-91,22,-972,162,2607,152,91
-500,-77,12,-902,144,2625,142,87
-458,-66,2,-831,127,2643,133,80
-417,-57,-7,-760,112,2659,120,72
-377,-49,-16,-690,96,2674,107,62
-338,-42,-24,-622,81,2689,97,53
-300,-37,-30,-556,67,2705,86,43
-264,-35,-35,-491,53,2720,74,31
-229,-35,-40,-426,41,2733,61,17
-196,-36,-44,-361,30,2745,47,1
-165,-37,-47,-299,21,2756,35,-13
-136,-41,-49,-240,14,2767,19,-26
-110,-46,-48,-183,7,2778,7,-41
-85,-54,-48,-126,0,2788,-8,-58
-62,-62,-47,-70,-8,2796,-24,-78
-40,-72,-45,-17,-14,2803,-39,-95
-20,-82,-42,34,-19,2810,-54,-112
-1,-93,-39,83,-22,2817,-69,-130
14,-104,-37,133,-24,2823,-87,-150
28,-115,-35,181,-26,2827,-107,-168
40,-127,-32,227,-27,2830,-126,-186
50,-140,-30,271,-27,2832,-147,-206
58,-153,-29,314,-27,2835,-169,-227
64,-166,-32,359,-27,2837,-196,-250
68,-179,-37,403,-26,2838,-224,-274
69,-193,-43,447,-26,2837,-255,-297
69,-206,-49,490,-24,2835,-289,-323
65,-219,-58,533,-21,2833,-323,-350
57,-234,-70,577,-17,2831,-368,-379
43,-251,-86,621,-13,2828,-417,-412
25,-270,-107,664,-10,2823,-472,-451
0,-291,-132,708,-7,2817,-533,-496
-30,-314,-161,751,-2,2811,-601,-542
-69,-339,-195,794,3,2805,-682,-595
-118,-367,-234,837,9,2798,-771,-654
-177,-400,-281,880,14,2792,-874,-721
-249,-440,-334,922,20,2785,-990,-802
-333,-486,-394,963,27,2776,-1119,-889
-433,-540,-462,1003,35,2766,-1265,-990
-549,-603,-538,1041,42,2755,-1429,-1104
-685,-677,-621,1076,51,2745,-1613,-1234
-842,-766,-715,1109,62,2735,-1818,-1384
-1021,-869,-819,1139,74,2724,-2047,-1552
-1225,-990,-933,1165,87,2714,-2298,-1743
-1458,-1129,-1057,1185,101,2702,-2579,-1961
-1721,-1294,-1193,1198,116,2689,-2887,-2207
-2018,-1486,-1342,1205,133,2677,-3228,-2489
-2352,-1711,-1505,1204,153,2664,-3604,-2810
-2725,-1971,-1682,1196,172,2651,-4018,-3172
-3141,-2272,-1872,1178,193,2639,-4469,-3584
-3601,-2618,-2075,1148,216,2627,-4959,-4043
-4095,-3007,-2291,1106,243,2616,-5478,-4554
-4624,-3447,-2522,1051,272,2606,-6028,-5121
