F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-4136,-10000,-9925,-3968,1490,1962,-4066,-10000
-4136,-10000,-9854,-4066,1592,2043,-3975,-10000
-4136,-10000,-9770,-4174,1695,2132,-3873,-10000
-4136,-10000,-9669,-4285,1800,2228,-3765,-10000
-4136,-10000,-9556,-4403,1906,2332,-3648,-10000
-4136,-10000,-9436,-4532,2014,2446,-3521,-10000
-4136,-10000,-9308,-4670,2125,2569,-3385,-10000
-4136,-10000,-9172,-4816,2236,2703,-3241,-10000
-4136,-10000,-9030,-4968,2349,2846,-3092,-10000
-4136,-10000,-8883,-5125,2461,3001,-2935,-10000
-4136,-10000,-8731,-5288,2574,3165,-2774,-10000
-4136,-10000,-8576,-5455,2686,3340,-2611,-10000
-4136,-10000,-8417,-5625,2797,3523,-2442,-10000
-4136,-10000,-8257,-5797,2908,3717,-2274,-10000
-4136,-10000,-8096,-5970,3017,3920,-2103,-10000
-4136,-10000,-7935,-6143,3125,4136,-1932,-10000
-4136,-10000,-7775,-6313,3230,4362,-1763,-10000
-4136,-10000,-7618,-6482,3333,4599,-1597,-10000
-4136,-10000,-7465,-6647,3436,4844,-1434,-10000
-4136,-10000,-7316,-6806,3536,5099,-1278,-10000
-4136,-10000,-7173,-6959,3633,5362,-1126,-10000
-4136,-10000,-7036,-7106,3724,5634,-982,-10000
-4136,-10000,-6906,-7245,3812,5916,-845,-10000
-4136,-10000,-6783,-7378,3895,6205,-714,-10000
-4136,-10000,-6667,-7502,3976,6500,-592,-10000
-4136,-10000,-6561,-7615,4053,6802,-479,-10000
-4136,-10000,-6465,-7719,4126,7110,-379,-10000
-4136,-10000,-6379,-7811,4194,7426,-286,-10000
-4136,-10000,-6302,-7893,4257,7743,-206,-10000
-4136,-10000,-6234,-7966,4316,8057,-135,-10000
-4136,-10000,-6176,-8029,4369,8372,-72,-10000
-4136,-10000,-6127,-8081,4419,8702,-20,-10000
-4136,-10000,-6088,-8123,4465,9049,20,-10000
-4136,-10000,-6059,-8154,4504,9375,50,-10000
-4136,-10000,-6039,-8175,4533,9618,72,-10000
-4136,-10000,-6028,-8187,4550,9737,84,-10000
-4136,-10000,-6026,-8190,4555,9739,86,-10000
-4136,-10000,-6031,-8184,4556,9736,81,-10000
-4136,-10000,-6043,-8171,4550,9724,67,-10000
-4136,-10000,-6061,-8152,4540,9729,50,-10000
-4136,-10000,-6085,-8126,4524,9738,23,-10000
-4136,-10000,-6115,-8093,4503,9742,-8,-10000
-4136,-10000,-6152,-8056,4478,9743,-45,-10000
-4136,-10000,-6190,-8013,4448,9744,-86,-10000
-4136,-10000,-6223,-7960,4414,9746,-135,-10000
-4136,-10000,-6259,-7904,4374,9749,-186,-10000
-4136,-10000,-6317,-7864,4329,9751,-230,-10000
-4136,-10000,-6376,-7824,4281,9754,-277,-10000
-4136,-10000,-6425,-7772,4230,9757,-328,-10000
-4136,-10000,-6377,-7629,4175,9761,-416,-10000
-4136,-10000,-6171,-7336,4117,9764,-565,-10000
-4136,-10000,-5872,-6957,4055,9768,-745,-10000
-4136,-10000,-5572,-6580,3992,9772,-924,-10000
-4136,-10000,-5323,-6253,3926,9776,-1082,-10000
