F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-3500,-10000,-1218,-1899,-278,3064,-2406,-10000
-3483,-10000,-1211,-1886,-278,3074,-2395,-10000
-3465,-10000,-1203,-1872,-279,3083,-2384,-10000
-3446,-10000,-1192,-1856,-279,3092,-2371,-10000
-3425,-10000,-1183,-1838,-279,3100,-2359,-10000
-3401,-10000,-1173,-1818,-279,3107,-2346,-10000
-3375,-10000,-1163,-1799,-279,3114,-2329,-10000
-3347,-10000,-1152,-1779,-278,3121,-2308,-10000
-3318,-10000,-1140,-1760,-278,3129,-2287,-10000
-3287,-9905,-1127,-1738,-277,3136,-2269,-10000
-3256,-9764,-1115,-1714,-275,3143,-2249,-10000
-3224,-9616,-1101,-1688,-273,3150,-2232,-10000
-3188,-9463,-1087,-1662,-271,3156,-2213,-10000
-3151,-9304,-1073,-1636,-271,3163,-2191,-9841
-3113,-9141,-1058,-1611,-270,3169,-2169,-9671
-3074,-8974,-1044,-1584,-270,3175,-2149,-9497
-3034,-8803,-1029,-1555,-270,3180,-2127,-9319
-2992,-8627,-1013,-1525,-270,3186,-2104,-9134
-2949,-8449,-996,-1495,-269,3192,-2080,-8948
-2905,-8266,-979,-1466,-267,3198,-2054,-8757
-2859,-8080,-962,-1436,-265,3205,-2026,-8562
-2813,-7892,-946,-1405,-264,3210,-2002,-8365
-2767,-7701,-930,-1374,-264,3215,-1975,-8167
-2721,-7510,-913,-1343,-264,3219,-1947,-7968
-2674,-7318,-894,-1311,-263,3224,-1921,-7766
-2625,-7124,-876,-1279,-262,3230,-1892,-7564
-2575,-6929,-857,-1245,-260,3235,-1864,-7359
-2524,-6733,-839,-1212,-259,3240,-1834,-7155
-2473,-6537,-822,-1180,-258,3245,-1803,-6952
-2422,-6341,-804,-1149,-257,3250,-1771,-6744
-2372,-6144,-786,-1116,-256,3255,-1741,-6540
-2320,-5948,-767,-1083,-255,3261,-1710,-6334
-2268,-5754,-749,-1051,-253,3267,-1679,-6131
-2215,-5563,-730,-1019,-251,3271,-1645,-5930
-2162,-5374,-711,-987,-249,3274,-1611,-5730
-2109,-5186,-693,-954,-249,3277,-1579,-5534
-2056,-4999,-675,-922,-249,3282,-1545,-5340
