F1-X,F1-Y,F2-X,F2-Y,F3-X,F3-Y,MIX1-X,MIX1-Y
-6298,-9451,-7065,-815,389,1476,-7625,-10000
-6105,-9813,-7260,-967,418,1480,-7383,-10000
-5903,-10000,-7456,-1123,448,1485,-7126,-10000
-5693,-10000,-7654,-1284,480,1491,-6860,-10000
-5478,-10000,-7852,-1450,512,1499,-6587,-10000
-5258,-10000,-8049,-1620,543,1507,-6303,-10000
-5021,-10000,-8247,-1797,575,1517,-6001,-10000
-4762,-10000,-8444,-1978,607,1527,-5670,-10000
-4500,-10000,-8643,-2162,641,1538,-5335,-10000
-4285,-10000,-8841,-2351,676,1550,-5045,-10000
-4159,-10000,-9037,-2541,711,1562,-4841,-10000
-4133,-10000,-9228,-2732,746,1576,-4736,-10000
-4133,-10000,-9420,-2930,781,1590,-4651,-10000
-4145,-10000,-9622,-3140,816,1604,-4572,-10000
-4145,-10000,-9830,-3361,853,1620,-4478,-10000
-4139,-10000,-10000,-3562,890,1639,-4378,-10000
-4135,-10000,-10000,-3705,928,1658,-4276,-10000
-4136,-10000,-10000,-3771,967,1678,-4227,-10000
-4136,-10000,-10000,-3795,1004,1698,-4210,-10000
-4136,-10000,-10000,-3812,1042,1718,-4198,-10000
-4136,-10000,-10000,-3835,1080,1739,-4183,-10000
-4136,-10000,-10000,-3870,1120,1763,-4159,-10000
-4136,-10000,-10000,-3906,1160,1789,-4132,-10000
-4136,-10000,-9989,-3940,1201,1816,-4105,-10000
-4136,-10000,-9955,-3976,1242,1844,-4068,-10000
-4136,-10000,-9920,-4014,1283,1873,-4032,-10000
-4136,-10000,-9883,-4054,1324,1901,-3993,-10000
-4136,-10000,-9844,-4095,1365,1931,-3951,-10000
-4136,-10000,-9805,-4137,1405,1962,-3910,-10000
-4136,-10000,-9764,-4181,1445,1994,-3868,-10000
-4136,-10000,-9722,-4226,1485,2028,-3822,-10000
-4136,-10000,-9678,-4273,1525,2063,-3775,-10000
-4136,-10000,-9633,-4321,1565,2099,-3729,-10000
-4136,-10000,-9588,-4370,1607,2136,-3680,-10000
-4136,-10000,-9541,-4420,1649,2173,-3631,-10000
-4136,-10000,-9493,-4471,1691,2211,-3580,-10000
-4136,-10000,-9445,-4523,1731,2251,-3529,-10000
-4136,-10000,-9395,-4576,1771,2292,-3477,-10000
-4136,-10000,-9345,-4630,1812,2334,-3424,-10000
-4136,-10000,-9295,-4684,1852,2378,-3370,-10000
-4136,-10000,-9243,-4739,1893,2422,-3316,-10000
-4136,-10000,-9191,-4795,1934,2468,-3260,-10000
-4136,-10000,-9139,-4851,1974,2515,-3206,-10000
-4136,-10000,-9086,-4908,2015,2563,-3150,-10000
-4136,-10000,-9031,-4966,2056,2612,-3092,-10000
-4136,-10000,-8976,-5026,2097,2664,-3033,-10000
-4136,-10000,-8921,-5085,2138,2718,-2974,-10000
-4136,-10000,-8865,-5145,2179,2775,-2916,-10000
-4136,-10000,-8808,-5206,2222,2833,-2857,-10000
-4136,-10000,-8751,-5267,2264,2891,-2796,-10000
-4136,-10000,-8693,-5329,2306,2949,-2735,-10000
-4136,-10000,-8635,-5392,2347,3010,-2672,-10000
